evaluations raw_y
1 28.0000000000
7 34.0000000000
19 35.0000000000
355 37.0000000000
423 39.0000000000
64527 40.0000000000
125000 20.0000000000
evaluations raw_y
1 23.0000000000
2 27.0000000000
11 28.0000000000
30 29.0000000000
57 30.0000000000
62 32.0000000000
145 37.0000000000
5885 40.0000000000
125000 27.0000000000
evaluations raw_y
1 26.0000000000
3 31.0000000000
11 32.0000000000
39 33.0000000000
209 35.0000000000
697 36.0000000000
1032 37.0000000000
1277 38.0000000000
14651 39.0000000000
125000 22.0000000000
evaluations raw_y
1 22.0000000000
4 26.0000000000
6 29.0000000000
20 30.0000000000
37 33.0000000000
40 35.0000000000
1018 36.0000000000
1239 37.0000000000
1758 38.0000000000
6919 40.0000000000
125000 28.0000000000
evaluations raw_y
1 28.0000000000
9 29.0000000000
14 31.0000000000
29 32.0000000000
48 34.0000000000
784 35.0000000000
860 37.0000000000
8935 38.0000000000
33257 39.0000000000
125000 24.0000000000
evaluations raw_y
1 31.0000000000
48 33.0000000000
69 34.0000000000
1073 36.0000000000
1608 38.0000000000
25157 39.0000000000
84632 40.0000000000
125000 27.0000000000
evaluations raw_y
1 22.0000000000
2 30.0000000000
4 32.0000000000
13 35.0000000000
193 36.0000000000
1679 37.0000000000
22049 38.0000000000
74948 39.0000000000
125000 29.0000000000
evaluations raw_y
1 27.0000000000
3 30.0000000000
30 31.0000000000
49 32.0000000000
118 33.0000000000
274 34.0000000000
778 38.0000000000
72908 40.0000000000
125000 29.0000000000
evaluations raw_y
1 16.0000000000
2 23.0000000000
3 26.0000000000
4 30.0000000000
5 33.0000000000
376 34.0000000000
496 37.0000000000
7780 38.0000000000
68709 40.0000000000
71019 41.0000000000
125000 21.0000000000
evaluations raw_y
1 33.0000000000
215 34.0000000000
575 36.0000000000
1257 37.0000000000
3862 40.0000000000
125000 22.0000000000
