evaluations raw_y
1 0.0000000000
4 1.0000000000
6 3.0000000000
15 4.0000000000
40 5.0000000000
60 6.0000000000
533 8.0000000000
1265 9.0000000000
2267 10.0000000000
5796 11.0000000000
7192 13.0000000000
10804 16.0000000000
125000 1.0000000000
evaluations raw_y
1 0.0000000000
2 4.0000000000
43 6.0000000000
193 8.0000000000
888 9.0000000000
1248 15.0000000000
41123 17.0000000000
125000 3.0000000000
evaluations raw_y
1 4.0000000000
51 6.0000000000
54 7.0000000000
83 8.0000000000
1179 9.0000000000
2472 13.0000000000
3063 15.0000000000
71039 17.0000000000
125000 1.0000000000
evaluations raw_y
1 0.0000000000
3 2.0000000000
10 6.0000000000
16 7.0000000000
109 9.0000000000
908 11.0000000000
2659 12.0000000000
26713 13.0000000000
44864 14.0000000000
47634 15.0000000000
125000 1.0000000000
evaluations raw_y
1 2.0000000000
2 6.0000000000
108 8.0000000000
177 9.0000000000
3691 11.0000000000
4679 16.0000000000
125000 3.0000000000
evaluations raw_y
1 0.0000000000
4 1.0000000000
7 4.0000000000
54 5.0000000000
119 6.0000000000
555 10.0000000000
2590 12.0000000000
15773 13.0000000000
48879 15.0000000000
52178 18.0000000000
125000 2.0000000000
evaluations raw_y
1 0.0000000000
2 5.0000000000
123 6.0000000000
175 8.0000000000
1453 11.0000000000
5125 14.0000000000
9601 15.0000000000
100727 16.0000000000
125000 0.0000000000
evaluations raw_y
1 2.0000000000
4 19.0000000000
125000 1.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
5 2.0000000000
7 3.0000000000
18 4.0000000000
96 6.0000000000
99 7.0000000000
376 8.0000000000
533 10.0000000000
579 11.0000000000
726 12.0000000000
1394 17.0000000000
108615 18.0000000000
125000 11.0000000000
evaluations raw_y
1 0.0000000000
9 1.0000000000
14 3.0000000000
32 4.0000000000
36 5.0000000000
60 7.0000000000
366 9.0000000000
3501 10.0000000000
10786 11.0000000000
12452 13.0000000000
30150 15.0000000000
90452 17.0000000000
125000 1.0000000000
