evaluations raw_y
1 1.0780508840
2 1.3594344753
6 1.4766686356
10 1.6393442623
65 1.6523463318
104 1.6677785190
106 1.6722408027
110 1.8839487566
122 1.8953752843
129 1.9607843137
181 1.9669551534
206 1.9700551615
210 2.1758050479
222 2.1910604733
245 2.2706630336
305 2.2831050228
310 2.4533856722
329 2.5025025025
422 2.6123301985
502 2.6455026455
522 2.9103608847
610 3.0303030303
687 3.0599755202
710 3.2258064516
824 3.3738191633
930 3.4199726402
1066 3.4674063800
1201 3.5161744023
1236 3.5460992908
1278 3.5868005739
8251 3.6710719530
11403 3.9001560062
11509 3.9619651347
13025 3.9745627981
13053 4.0257648953
13125 4.4091710758
13230 4.6904315197
100975 3.2938076416
evaluations raw_y
1 0.8226390260
2 1.1933174224
10 1.2248897599
17 1.3638843426
53 1.4164305949
109 1.4442518775
117 1.5752993069
130 1.6118633140
158 1.6677785190
216 1.6744809109
217 1.8155410312
230 1.8698578908
282 1.9577133908
313 1.9607843137
317 2.0242914980
318 2.0712510356
329 2.1061499579
334 2.3342670401
417 2.3386342376
426 2.3923444976
447 2.5588536336
512 2.6399155227
524 2.8058361392
636 2.9726516052
723 3.0084235860
772 3.0376670717
1912 3.1525851198
1916 3.1847133758
2018 3.2425421530
2123 3.2851511170
2146 3.3200531208
2150 3.4293552812
2228 3.7257824143
7235 3.7593984962
13142 3.7821482602
15722 4.0916530278
17321 4.1186161450
17483 4.3327556326
17504 4.6904315197
101073 3.4013605442
evaluations raw_y
1 1.1831519167
33 1.2165450122
42 1.2481278083
61 1.2840267078
107 1.3974287311
110 1.4068655037
114 1.4526438117
133 1.5234613041
207 1.5634771732
210 1.6545334216
214 1.6812373907
223 1.7088174983
251 1.7470300489
254 1.7717930546
307 1.7844396859
310 1.7998560115
314 1.8422991894
323 1.8587360595
331 1.9040365575
351 1.9394879752
407 1.9607843137
414 2.1061499579
522 2.1385799829
523 2.2222222222
532 2.3741690408
623 2.4826216485
644 2.6624068158
722 2.6910656620
727 2.7746947836
741 2.8376844495
831 2.8702640643
876 2.9239766082
882 2.9655990510
916 2.9726516052
928 3.0012004802
966 3.1847133758
1024 3.2765399738
1181 3.3557046980
1194 3.5460992908
1223 3.6818851252
1313 3.9246467818
1431 4.0916530278
9893 4.1736227045
9972 4.2158516020
10015 4.2301184433
10097 4.3478260870
10115 4.5871559633
10244 4.6382189239
101372 2.8441410694
evaluations raw_y
1 0.9574875527
2 0.9885330170
3 1.0780508840
6 1.1047282369
20 1.1106175033
40 1.1600928074
62 1.2531328321
103 1.3234515617
106 1.3491635186
115 1.4068655037
171 1.4492753623
203 1.5403573629
206 1.5713387806
220 1.6414970453
303 1.7494751575
306 1.7743080199
328 1.7793594306
351 1.7998560115
399 1.8811136193
403 1.9425019425
406 1.9920318725
415 2.0177562550
451 2.0990764064
503 2.2301516503
