evaluations raw_y
1 54.0000000000
718 55.0000000000
820 56.0000000000
921 57.0000000000
1022 58.0000000000
1126 59.0000000000
1227 60.0000000000
1328 61.0000000000
1430 62.0000000000
1531 63.0000000000
1632 64.0000000000
1735 65.0000000000
1836 66.0000000000
1937 67.0000000000
2041 68.0000000000
2142 69.0000000000
2244 70.0000000000
2345 71.0000000000
2446 72.0000000000
2548 73.0000000000
2655 74.0000000000
2756 75.0000000000
2860 76.0000000000
2962 77.0000000000
3063 78.0000000000
3165 79.0000000000
3266 80.0000000000
3367 81.0000000000
3469 82.0000000000
3570 83.0000000000
3671 84.0000000000
3774 85.0000000000
3876 86.0000000000
3978 87.0000000000
4081 88.0000000000
4183 89.0000000000
4286 90.0000000000
4388 91.0000000000
4489 92.0000000000
4591 93.0000000000
4692 94.0000000000
4793 95.0000000000
4894 96.0000000000
4997 97.0000000000
5098 98.0000000000
5200 99.0000000000
5301 100.0000000000
104922 99.0000000000
evaluations raw_y
1 43.0000000000
2 52.0000000000
5 53.0000000000
106 54.0000000000
207 55.0000000000
312 56.0000000000
416 57.0000000000
520 58.0000000000
621 59.0000000000
723 60.0000000000
825 61.0000000000
927 62.0000000000
1028 63.0000000000
1129 64.0000000000
1232 65.0000000000
1334 66.0000000000
1435 67.0000000000
1536 68.0000000000
1639 69.0000000000
1742 70.0000000000
1843 71.0000000000
1946 72.0000000000
2047 73.0000000000
2148 74.0000000000
2250 75.0000000000
2352 76.0000000000
2454 77.0000000000
2555 78.0000000000
2656 79.0000000000
2759 80.0000000000
2860 81.0000000000
2961 82.0000000000
3063 83.0000000000
3164 84.0000000000
3266 85.0000000000
3367 86.0000000000
3470 87.0000000000
3571 88.0000000000
3672 89.0000000000
3774 90.0000000000
3877 91.0000000000
3981 92.0000000000
4082 93.0000000000
4184 94.0000000000
4288 95.0000000000
4390 96.0000000000
4491 97.0000000000
4596 98.0000000000
4700 99.0000000000
4801 100.0000000000
104222 99.0000000000
evaluations raw_y
1 59.0000000000
1127 60.0000000000
1228 61.0000000000
1330 62.0000000000
1435 63.0000000000
1537 64.0000000000
1638 65.0000000000
1742 66.0000000000
1845 67.0000000000
1947 68.0000000000
2048 69.0000000000
2151 70.0000000000
2252 71.0000000000
2353 72.0000000000
2456 73.0000000000
2557 74.0000000000
2658 75.0000000000
2759 76.0000000000
2860 77.0000000000
2961 78.0000000000
3062 79.0000000000
3163 80.0000000000
3264 81.0000000000
3366 82.0000000000
3467 83.0000000000
3571 84.0000000000
3673 85.0000000000
3776 86.0000000000
3877 87.0000000000
3978 88.0000000000
4079 89.0000000000
4180 90.0000000000
4281 91.0000000000
4383 92.0000000000
4487 93.0000000000
4590 94.0000000000
4693 95.0000000000
4794 96.0000000000
4898 97.0000000000
5000 98.0000000000
5101 99.0000000000
5202 100.0000000000
102221 99.0000000000
evaluations raw_y
1 51.0000000000
2 57.0000000000
3 58.0000000000
104 59.0000000000
208 60.0000000000
311 61.0000000000
413 62.0000000000
514 63.0000000000
618 64.0000000000
719 65.0000000000
820 66.0000000000
922 67.0000000000
1026 68.0000000000
1129 69.0000000000
1230 70.0000000000
1331 71.0000000000
1432 72.0000000000
1536 73.0000000000
1638 74.0000000000
1740 75.0000000000
1843 76.0000000000
1944 77.0000000000
2045 78.0000000000
2155 79.0000000000
2257 80.0000000000
2358 81.0000000000
2460 82.0000000000
2561 83.0000000000
2664 84.0000000000
2765 85.0000000000
2869 86.0000000000
2970 87.0000000000
3071 88.0000000000
3176 89.0000000000
3277 90.0000000000
3380 91.0000000000
3483 92.0000000000
3584 93.0000000000
3686 94.0000000000
3788 95.0000000000
3893 96.0000000000
3996 97.0000000000
4099 98.0000000000
4200 99.0000000000
4301 100.0000000000
102421 99.0000000000
evaluations raw_y
1 51.0000000000
513 52.0000000000
614 53.0000000000
715 54.0000000000
816 55.0000000000
918 56.0000000000
1020 57.0000000000
1121 58.0000000000
1222 59.0000000000
1324 60.0000000000
1427 61.0000000000
1529 62.0000000000
1630 63.0000000000
1734 64.0000000000
1836 65.0000000000
1938 66.0000000000
2039 67.0000000000
2141 68.0000000000
2242 69.0000000000
2344 70.0000000000
2445 71.0000000000
2546 72.0000000000
2650 73.0000000000
2751 74.0000000000
2853 75.0000000000
2954 76.0000000000
3055 77.0000000000
3158 78.0000000000
3260 79.0000000000
3362 80.0000000000
3466 81.0000000000
3570 82.0000000000
3671 83.0000000000
3774 84.0000000000
3875 85.0000000000
3976 86.0000000000
4077 87.0000000000
4179 88.0000000000
4281 89.0000000000
4382 90.0000000000
4483 91.0000000000
4584 92.0000000000
4685 93.0000000000
4786 94.0000000000
4889 95.0000000000
4990 96.0000000000
5092 97.0000000000
5195 98.0000000000
5301 99.0000000000
5402 100.0000000000
101921 99.0000000000
evaluations raw_y
1 53.0000000000
2 54.0000000000
3 55.0000000000
105 56.0000000000
206 57.0000000000
307 58.0000000000
408 59.0000000000
510 60.0000000000
611 61.0000000000
713 62.0000000000
815 63.0000000000
916 64.0000000000
1018 65.0000000000
1121 66.0000000000
1224 67.0000000000
1325 68.0000000000
1426 69.0000000000
1527 70.0000000000
1628 71.0000000000
1730 72.0000000000
1831 73.0000000000
1934 74.0000000000
2036 75.0000000000
2141 76.0000000000
2242 77.0000000000
2343 78.0000000000
2446 79.0000000000
2548 80.0000000000
2651 81.0000000000
2754 82.0000000000
2855 83.0000000000
2958 84.0000000000
3059 85.0000000000
3160 86.0000000000
3262 87.0000000000
3367 88.0000000000
3470 89.0000000000
3574 90.0000000000
3676 91.0000000000
3778 92.0000000000
3881 93.0000000000
3982 94.0000000000
4083 95.0000000000
4195 96.0000000000
4296 97.0000000000
4397 98.0000000000
4500 99.0000000000
4602 100.0000000000
102921 99.0000000000
evaluations raw_y
1 56.0000000000
515 57.0000000000
618 58.0000000000
719 59.0000000000
820 60.0000000000
922 61.0000000000
1024 62.0000000000
1125 63.0000000000
1228 64.0000000000
1329 65.0000000000
1430 66.0000000000
1531 67.0000000000
1634 68.0000000000
1735 69.0000000000
1838 70.0000000000
1939 71.0000000000
2040 72.0000000000
2141 73.0000000000
2244 74.0000000000
2352 75.0000000000
2455 76.0000000000
2556 77.0000000000
2659 78.0000000000
2762 79.0000000000
2863 80.0000000000
2964 81.0000000000
3066 82.0000000000
3167 83.0000000000
3268 84.0000000000
3369 85.0000000000
3471 86.0000000000
3574 87.0000000000
3677 88.0000000000
3779 89.0000000000
3882 90.0000000000
3983 91.0000000000
4084 92.0000000000
4186 93.0000000000
4292 94.0000000000
4393 95.0000000000
4494 96.0000000000
4598 97.0000000000
4699 98.0000000000
4800 99.0000000000
4902 100.0000000000
104622 99.0000000000
evaluations raw_y
1 51.0000000000
106 52.0000000000
208 53.0000000000
309 54.0000000000
410 55.0000000000
513 56.0000000000
614 57.0000000000
715 58.0000000000
816 59.0000000000
917 60.0000000000
1022 61.0000000000
1134 62.0000000000
1237 63.0000000000
1338 64.0000000000
1439 65.0000000000
1541 66.0000000000
1642 67.0000000000
1743 68.0000000000
1846 69.0000000000
1947 70.0000000000
2048 71.0000000000
2150 72.0000000000
2251 73.0000000000
2354 74.0000000000
2455 75.0000000000
2559 76.0000000000
2661 77.0000000000
2762 78.0000000000
2863 79.0000000000
2965 80.0000000000
3068 81.0000000000
3169 82.0000000000
3271 83.0000000000
3372 84.0000000000
3475 85.0000000000
3576 86.0000000000
3678 87.0000000000
