evaluations raw_y
1 -1653.0000000000
2 -961.0000000000
4 -932.0000000000
9 -922.0000000000
104 -893.0000000000
110 -883.0000000000
204 -854.0000000000
217 -844.0000000000
304 -815.0000000000
319 -805.0000000000
404 -776.0000000000
425 -766.0000000000
504 -737.0000000000
526 -727.0000000000
604 -698.0000000000
628 -688.0000000000
704 -659.0000000000
735 -649.0000000000
804 -620.0000000000
847 -610.0000000000
904 -581.0000000000
955 -571.0000000000
1004 -542.0000000000
1058 -532.0000000000
1104 -503.0000000000
1160 -493.0000000000
1204 -464.0000000000
1264 -454.0000000000
1304 -425.0000000000
1366 -415.0000000000
1404 -386.0000000000
1471 -376.0000000000
1504 -347.0000000000
1580 -337.0000000000
1604 -308.0000000000
1690 -298.0000000000
1704 -269.0000000000
1812 -250.0000000000
1820 -240.0000000000
1912 -221.0000000000
1922 -211.0000000000
2012 -192.0000000000
2033 -182.0000000000
2112 -163.0000000000
2141 -153.0000000000
2212 -134.0000000000
2243 -124.0000000000
2312 -105.0000000000
2393 -95.0000000000
2412 -86.0000000000
2432 -76.0000000000
2512 -67.0000000000
2544 -57.0000000000
2612 -48.0000000000
2673 -38.0000000000
2712 -29.0000000000
2872 -20.0000000000
2996 -11.0000000000
3006 -10.0000000000
3097 -2.0000000000
3106 -1.0000000000
3198 7.0000000000
3206 8.0000000000
11706 9.0000000000
85176 10.0000000000
100922 -21.0000000000
evaluations raw_y
1 -1595.0000000000
2 -1244.0000000000
3 -1215.0000000000
7 -1205.0000000000
103 -1176.0000000000
109 -1166.0000000000
203 -1137.0000000000
215 -1127.0000000000
303 -1098.0000000000
318 -1088.0000000000
403 -1059.0000000000
419 -1049.0000000000
503 -1020.0000000000
524 -1010.0000000000
603 -981.0000000000
625 -971.0000000000
703 -942.0000000000
726 -932.0000000000
803 -903.0000000000
828 -893.0000000000
903 -864.0000000000
929 -854.0000000000
1003 -825.0000000000
1030 -815.0000000000
1103 -786.0000000000
1137 -776.0000000000
1203 -747.0000000000
1244 -737.0000000000
1303 -708.0000000000
1347 -698.0000000000
1403 -669.0000000000
1448 -659.0000000000
1503 -630.0000000000
1551 -620.0000000000
1603 -591.0000000000
1655 -581.0000000000
1703 -552.0000000000
1767 -542.0000000000
1803 -513.0000000000
1868 -503.0000000000
1903 -474.0000000000
1969 -464.0000000000
2003 -435.0000000000
2082 -425.0000000000
2103 -396.0000000000
2205 -377.0000000000
2212 -367.0000000000
2305 -358.0000000000
2320 -338.0000000000
2405 -329.0000000000
2431 -319.0000000000
2433 -309.0000000000
2505 -300.0000000000
2531 -290.0000000000
2534 -280.0000000000
2605 -271.0000000000
2631 -261.0000000000
2653 -251.0000000000
2705 -242.0000000000
2731 -232.0000000000
2772 -222.0000000000
2805 -213.0000000000
2831 -203.0000000000
2876 -193.0000000000
2905 -184.0000000000
2941 -174.0000000000
2989 -164.0000000000
3005 -155.0000000000
3041 -145.0000000000
3091 -135.0000000000
3105 -126.0000000000
3141 -116.0000000000
3195 -106.0000000000
3205 -97.0000000000
3241 -87.0000000000
3305 -78.0000000000
3383 -68.0000000000
3405 -59.0000000000
3488 -49.0000000000
3505 -40.0000000000
3592 -30.0000000000
3605 -21.0000000000
3702 -11.0000000000
3705 -2.0000000000
3808 -1.0000000000
3893 7.0000000000
3903 8.0000000000
4038 9.0000000000
103723 -21.0000000000
evaluations raw_y
1 -1518.0000000000
2 -1390.0000000000
3 -1361.0000000000
10 -1351.0000000000
103 -1322.0000000000
111 -1312.0000000000
203 -1283.0000000000
216 -1273.0000000000
303 -1244.0000000000
319 -1234.0000000000
403 -1205.0000000000
426 -1195.0000000000
503 -1166.0000000000
527 -1156.0000000000
603 -1127.0000000000
636 -1117.0000000000
703 -1088.0000000000
737 -1078.0000000000
803 -1049.0000000000
839 -1039.0000000000
903 -1010.0000000000
940 -1000.0000000000
1003 -971.0000000000
1048 -961.0000000000
1103 -932.0000000000
1150 -922.0000000000
1203 -893.0000000000
1251 -883.0000000000
1303 -854.0000000000
1354 -844.0000000000
1403 -815.0000000000
1456 -805.0000000000
1503 -776.0000000000
1557 -766.0000000000
1603 -737.0000000000
1658 -727.0000000000
1703 -698.0000000000
1759 -688.0000000000
1803 -659.0000000000
1861 -649.0000000000
1903 -620.0000000000
1965 -610.0000000000
2003 -581.0000000000
2070 -571.0000000000
2103 -542.0000000000
2175 -532.0000000000
2203 -503.0000000000
2276 -493.0000000000
2303 -464.0000000000
2381 -454.0000000000
2403 -425.0000000000
2485 -415.0000000000
2503 -386.0000000000
2586 -376.0000000000
2603 -347.0000000000
2697 -337.0000000000
2703 -308.0000000000
2804 -279.0000000000
2912 -260.0000000000
2921 -250.0000000000
3012 -241.0000000000
3015 -231.0000000000
3022 -221.0000000000
3112 -212.0000000000
3115 -202.0000000000
3138 -192.0000000000
3212 -183.0000000000
3215 -173.0000000000
3263 -163.0000000000
3312 -154.0000000000
3315 -144.0000000000
3379 -134.0000000000
3412 -125.0000000000
3415 -115.0000000000
3492 -105.0000000000
3512 -96.0000000000
3520 -86.0000000000
3602 -76.0000000000
3612 -67.0000000000
3620 -57.0000000000
3712 -48.0000000000
3773 -38.0000000000
3812 -29.0000000000
3894 -19.0000000000
3912 -10.0000000000
4010 -9.0000000000
4052 -1.0000000000
4110 0.0000000000
4196 8.0000000000
4210 9.0000000000
32944 10.0000000000
102122 -21.0000000000
evaluations raw_y
1 -1634.0000000000
2 -1234.0000000000
3 -1205.0000000000
7 -1195.0000000000
103 -1166.0000000000
108 -1156.0000000000
203 -1127.0000000000
209 -1117.0000000000
303 -1088.0000000000
325 -1078.0000000000
403 -1049.0000000000
426 -1039.0000000000
503 -1010.0000000000
