evaluations raw_y
1 5.8000000000
2 6.8000000000
3 7.0000000000
6 7.8000000000
110 8.0000000000
127 8.8000000000
210 9.0000000000
276 9.8000000000
310 10.0000000000
399 10.0000000000
410 10.2000000000
512 10.4000000000
538 10.4000000000
612 10.6000000000
648 10.6000000000
712 10.8000000000
813 11.0000000000
916 11.2000000000
1020 11.4000000000
1121 11.6000000000
1228 11.8000000000
1329 12.0000000000
1432 12.2000000000
1533 12.4000000000
1636 12.6000000000
1658 12.6000000000
1736 12.8000000000
1837 13.0000000000
1945 13.2000000000
2047 13.4000000000
2150 13.6000000000
2251 13.8000000000
2360 14.0000000000
2461 14.2000000000
2563 14.4000000000
2667 14.6000000000
2768 14.8000000000
2869 15.0000000000
2978 15.2000000000
3081 15.4000000000
3183 15.6000000000
3284 15.8000000000
3394 16.0000000000
3400 16.0000000000
3494 16.2000000000
3596 16.4000000000
3701 16.6000000000
7498 16.8000000000
23306 17.0000000000
38606 17.2000000000
44803 17.4000000000
44912 17.6000000000
101127 16.6000000000
evaluations raw_y
1 8.4000000000
132 9.0000000000
203 9.2000000000
213 9.2000000000
248 10.0000000000
303 10.2000000000
385 10.2000000000
397 11.0000000000
403 11.2000000000
485 11.2000000000
503 11.4000000000
591 11.4000000000
603 11.6000000000
704 11.8000000000
778 11.8000000000
804 12.0000000000
905 12.2000000000
1009 12.4000000000
1113 12.6000000000
1216 12.8000000000
1317 13.0000000000
1363 13.0000000000
1417 13.2000000000
1519 13.4000000000
1621 13.6000000000
1722 13.8000000000
1834 14.0000000000
1937 14.2000000000
2043 14.4000000000
2145 14.6000000000
2255 14.8000000000
2356 15.0000000000
2459 15.2000000000
2562 15.4000000000
2664 15.6000000000
2766 15.8000000000
2870 16.0000000000
2898 16.0000000000
2970 16.2000000000
3072 16.4000000000
3173 16.6000000000
3276 16.8000000000
3399 17.0000000000
61906 17.2000000000
100927 16.8000000000
evaluations raw_y
1 5.6000000000
2 6.2000000000
3 6.4000000000
4 7.2000000000
110 7.4000000000
145 8.2000000000
210 8.4000000000
253 9.2000000000
310 9.4000000000
384 10.2000000000
410 10.4000000000
491 10.4000000000
510 10.6000000000
593 10.6000000000
610 10.8000000000
711 11.0000000000
812 11.2000000000
916 11.4000000000
1018 11.6000000000
1123 11.8000000000
1226 12.0000000000
1329 12.2000000000
1431 12.4000000000
1459 12.4000000000
1531 12.6000000000
1632 12.8000000000
1736 13.0000000000
1840 13.2000000000
1848 13.2000000000
1940 13.4000000000
2042 13.6000000000
2150 13.8000000000
2251 14.0000000000
2360 14.2000000000
2462 14.4000000000
2563 14.6000000000
2667 14.8000000000
2768 15.0000000000
2870 15.2000000000
2975 15.4000000000
3077 15.6000000000
3181 15.8000000000
3282 16.0000000000
3394 16.2000000000
3398 16.2000000000
3494 16.4000000000
3597 16.6000000000
3702 16.8000000000
7695 17.0000000000
7801 17.2000000000
36908 17.4000000000
74303 17.6000000000
74406 17.8000000000
101528 16.4000000000
evaluations raw_y
1 8.0000000000
243 8.4000000000
303 8.6000000000
364 9.4000000000
403 9.6000000000
504 9.8000000000
514 9.8000000000
595 9.8000000000
604 10.0000000000
614 10.0000000000
704 10.2000000000
789 10.2000000000
804 10.4000000000
907 10.6000000000
958 10.6000000000
1007 10.8000000000
1069 10.8000000000
1107 11.0000000000
1178 11.0000000000
1207 11.2000000000
1309 11.4000000000
1315 11.4000000000
1409 11.6000000000
1474 11.6000000000
1509 11.8000000000
1612 12.0000000000
1716 12.2000000000
1818 12.4000000000
1924 12.6000000000
2026 12.8000000000
2127 13.0000000000
2228 13.2000000000
2329 13.4000000000
2430 13.6000000000
2533 13.8000000000
2554 13.8000000000
2633 14.0000000000
2737 14.2000000000
2848 14.4000000000
2856 14.4000000000
2948 14.6000000000
3051 14.8000000000
3159 15.0000000000
3262 15.2000000000
3375 15.4000000000
3477 15.6000000000
3580 15.8000000000
3682 16.0000000000
3785 16.2000000000
3886 16.4000000000
3996 16.6000000000
4097 16.8000000000
11797 17.0000000000
11899 17.2000000000
47608 17.2000000000
47713 17.4000000000
100727 16.4000000000
evaluations raw_y
1 5.2000000000
2 6.4000000000
4 6.6000000000
17 7.4000000000
104 7.6000000000
135 8.4000000000
204 8.6000000000
270 9.4000000000
294 9.4000000000
304 9.6000000000
370 10.4000000000
404 10.6000000000
507 10.8000000000
608 11.0000000000
709 11.2000000000
821 11.4000000000
922 11.6000000000
1023 11.8000000000
1124 12.0000000000
1226 12.2000000000
1329 12.4000000000
1349 12.4000000000
1429 12.6000000000
1530 12.8000000000
1640 13.0000000000
1659 13.0000000000
1740 13.2000000000
1842 13.4000000000
1944 13.6000000000
1953 13.6000000000
2044 13.8000000000
2146 14.0000000000
2250 14.2000000000
2257 14.2000000000
2350 14.4000000000
2452 14.6000000000
2560 14.8000000000
2662 15.0000000000
2763 15.2000000000
2865 15.4000000000
2976 15.6000000000
3077 15.8000000000
3178 16.0000000000
3281 16.2000000000
3383 16.4000000000
3398 16.4000000000
3483 16.6000000000
3584 16.8000000000
3702 17.0000000000
29599 17.2000000000
29701 17.4000000000
29802 17.6000000000
102128 17.0000000000
evaluations raw_y
1 6.4000000000
42 7.0000000000
73 7.0000000000
105 7.2000000000
142 8.0000000000
205 8.2000000000
306 8.4000000000
325 8.4000000000
406 8.6000000000
498 8.6000000000
506 8.8000000000
607 9.0000000000
709 9.2000000000
788 9.2000000000
809 9.4000000000
910 9.6000000000
945 9.6000000000
984 9.6000000000
1010 9.8000000000
1045 9.8000000000
1110 10.0000000000
1148 10.0000000000
1210 10.2000000000
1278 10.2000000000
1310 10.4000000000
1411 10.6000000000
1518 10.8000000000
1621 11.0000000000
1626 11.0000000000
1721 11.2000000000
1829 11.4000000000
1930 11.6000000000
1934 11.6000000000
2030 11.8000000000
2131 12.0000000000
2246 12.2000000000
2257 12.2000000000
2346 12.4000000000
2360 12.4000000000
2446 12.6000000000
2547 12.8000000000
2651 13.0000000000
2752 13.2000000000
2861 13.4000000000
2962 13.6000000000
3065 13.8000000000
3167 14.0000000000
3270 14.2000000000
3371 14.4000000000
3480 14.6000000000
3582 14.8000000000
3686 15.0000000000
3787 15.2000000000
3890 15.4000000000
3991 15.6000000000
4093 15.8000000000
4196 16.0000000000
4299 16.2000000000
4401 16.4000000000
7685 16.6000000000
7700 16.6000000000
7785 16.8000000000
7887 17.0000000000
8001 17.2000000000
100127 16.0000000000
evaluations raw_y
1 8.4000000000
110 8.6000000000
124 9.4000000000
210 9.6000000000
