evaluations raw_y
1 -0.5335400160
2 -0.5192415828
3 -0.5146972503
9 -0.5145466552
10 -0.5111421516
14 -0.5083661107
31 -0.5033797230
93 -0.5023921840
103 -0.4978478516
109 -0.4976972565
110 -0.4942927529
114 -0.4915167120
131 -0.4865303243
203 -0.4819859918
209 -0.4818353967
210 -0.4784308932
214 -0.4756548522
303 -0.4711105198
309 -0.4709599247
310 -0.4675554211
320 -0.4654180597
394 -0.4651661701
403 -0.4606218377
409 -0.4604712426
410 -0.4570667390
420 -0.4549293776
503 -0.4503850451
509 -0.4502344501
510 -0.4468299465
573 -0.4450110791
603 -0.4404667466
609 -0.4403161516
610 -0.4369116480
703 -0.4323673155
712 -0.4315127060
734 -0.4302213336
758 -0.4292324558
769 -0.4288183619
803 -0.4242740295
834 -0.4221280476
858 -0.4211391698
884 -0.4207958154
903 -0.4162514829
934 -0.4141055010
958 -0.4131166232
1003 -0.4085722908
1034 -0.4064263089
1087 -0.4061754099
1103 -0.4016310774
1134 -0.3994850955
1203 -0.3949407631
1248 -0.3931963971
1271 -0.3928397703
1303 -0.3882954378
1348 -0.3865510718
1374 -0.3863881389
1403 -0.3818438065
1448 -0.3800994405
1503 -0.3755551080
1551 -0.3752879090
1577 -0.3743969563
1603 -0.3698526238
1651 -0.3695854249
1703 -0.3650410924
1804 -0.3617157350
1844 -0.3611774846
1904 -0.3578521271
1950 -0.3556321553
2004 -0.3523067979
2076 -0.3520538620
2104 -0.3487285046
2190 -0.3487191530
2204 -0.3453937956
2305 -0.3436224166
2315 -0.3427532697
2316 -0.3424008139
2362 -0.3415742382
2405 -0.3398028592
2415 -0.3389337123
2416 -0.3385812565
2505 -0.3368098775
2515 -0.3359407306
2605 -0.3341693516
2617 -0.3335766433
2705 -0.3318052643
2724 -0.3312140224
2805 -0.3294426434
2826 -0.3289530884
2905 -0.3271817094
2941 -0.3239990998
3005 -0.3222277208
3060 -0.3221961474
3105 -0.3204247684
3206 -0.3199446484
3229 -0.3197287176
3245 -0.3196837510
3252 -0.3189507738
3279 -0.3187138729
3306 -0.3182337529
3329 -0.3180178221
3330 -0.3177128325
3352 -0.3172398783
3406 -0.3167597583
3429 -0.3165438275
3430 -0.3162388380
3498 -0.3159993447
3506 -0.3155192247
3529 -0.3153032939
3530 -0.3149983044
3606 -0.3145181843
3629 -0.3143022535
3645 -0.3142572870
3685 -0.3142202128
3706 -0.3137400928
3722 -0.3089005769
3806 -0.3084204569
3829 -0.3082045261
3845 -0.3081595596
3906 -0.3076794396
3929 -0.3074635087
4006 -0.3069833887
4064 -0.3068469265
4106 -0.3063668065
4266 -0.3059521611
11806 -0.3013017262
11908 -0.3008216062
12068 -0.3004069608
12188 -0.3003498980
12192 -0.3002147794
12288 -0.3001577166
12401 -0.3001493315
81741 -0.3000747977
81840 -0.2947551619
103125 -0.3082450281
evaluations raw_y
1 -0.5245433178
32 -0.5224839963
83 -0.5209592885
103 -0.5201535389
105 -0.5191879094
107 -0.5091509046
127 -0.5075283241
132 -0.5050666842
203 -0.5042609346
205 -0.5032953052
212 -0.4976379475
223 -0.4971470040
227 -0.4916357198
303 -0.4908299702
305 -0.4898643408
312 -0.4842069832
331 -0.4823059921
348 -0.4819152830
403 -0.4811095334
405 -0.4801439040
412 -0.4744865463
431 -0.4725855553
503 -0.4717798057
505 -0.4708141762
512 -0.4651568186
540 -0.4645891223
544 -0.4637063609
605 -0.4619349819
612 -0.4562776242
640 -0.4557099279
669 -0.4549516263
705 -0.4531802473
716 -0.4489060967
726 -0.4482994011
736 -0.4475746089
740 -0.4469551934
784 -0.4469290797
801 -0.4463181921
805 -0.4445468131
816 -0.4402726625
826 -0.4396659669
836 -0.4389411747
840 -0.4383217591
884 -0.4382956455
905 -0.4365242665
916 -0.4322501159
926 -0.4316434203
936 -0.4309186281
940 -0.4302992126
