evaluations raw_y
1 0.0000000000
3 2.0000000000
105 4.0000000000
207 7.0000000000
310 11.0000000000
414 14.0000000000
517 15.0000000000
618 17.0000000000
720 24.0000000000
827 25.0000000000
928 26.0000000000
1029 28.0000000000
1131 29.0000000000
1232 30.0000000000
1333 31.0000000000
1434 32.0000000000
1535 33.0000000000
1636 35.0000000000
1738 36.0000000000
1839 38.0000000000
1941 40.0000000000
2043 44.0000000000
2147 47.0000000000
2250 48.0000000000
2351 49.0000000000
2452 51.0000000000
2554 52.0000000000
2655 54.0000000000
2757 55.0000000000
2858 58.0000000000
2961 59.0000000000
3062 60.0000000000
3163 61.0000000000
3264 67.0000000000
3370 71.0000000000
3474 73.0000000000
3576 74.0000000000
3677 76.0000000000
3779 80.0000000000
3883 81.0000000000
3984 82.0000000000
4085 83.0000000000
4186 89.0000000000
4292 90.0000000000
4393 92.0000000000
4495 96.0000000000
4599 97.0000000000
4700 99.0000000000
4802 100.0000000000
103822 99.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
4 2.0000000000
105 3.0000000000
206 4.0000000000
307 7.0000000000
410 11.0000000000
514 15.0000000000
618 18.0000000000
721 22.0000000000
825 26.0000000000
929 27.0000000000
1030 31.0000000000
1134 32.0000000000
1235 35.0000000000
1338 41.0000000000
1444 42.0000000000
1545 43.0000000000
1646 44.0000000000
1747 48.0000000000
1851 54.0000000000
1957 57.0000000000
2060 61.0000000000
2164 64.0000000000
2267 67.0000000000
2370 68.0000000000
2471 69.0000000000
2572 71.0000000000
2674 72.0000000000
2775 74.0000000000
2877 75.0000000000
2978 77.0000000000
3080 78.0000000000
3181 82.0000000000
3285 83.0000000000
3386 85.0000000000
3488 86.0000000000
3589 93.0000000000
3696 94.0000000000
3797 95.0000000000
3898 96.0000000000
3999 99.0000000000
4102 100.0000000000
100921 99.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
5 3.0000000000
106 5.0000000000
208 6.0000000000
309 7.0000000000
410 9.0000000000
512 10.0000000000
613 12.0000000000
715 13.0000000000
816 14.0000000000
917 15.0000000000
1018 19.0000000000
1122 22.0000000000
1225 23.0000000000
1326 24.0000000000
1427 25.0000000000
1528 27.0000000000
1630 31.0000000000
1734 32.0000000000
1835 33.0000000000
1936 35.0000000000
2038 41.0000000000
2144 42.0000000000
2245 43.0000000000
2346 44.0000000000
2447 49.0000000000
2552 51.0000000000
2654 52.0000000000
2755 54.0000000000
2857 55.0000000000
2958 56.0000000000
3059 57.0000000000
3160 58.0000000000
3261 60.0000000000
3363 62.0000000000
3465 64.0000000000
3567 67.0000000000
3670 68.0000000000
3771 70.0000000000
3873 71.0000000000
3974 73.0000000000
4076 75.0000000000
4178 77.0000000000
4280 79.0000000000
4382 80.0000000000
4483 85.0000000000
4588 88.0000000000
4691 90.0000000000
4793 92.0000000000
4895 93.0000000000
4996 96.0000000000
5099 100.0000000000
102921 99.0000000000
evaluations raw_y
1 1.0000000000
4 2.0000000000
105 5.0000000000
208 9.0000000000
312 11.0000000000
414 12.0000000000
515 15.0000000000
618 17.0000000000
720 18.0000000000
821 20.0000000000
923 21.0000000000
1024 23.0000000000
1126 24.0000000000
1227 25.0000000000
1328 26.0000000000
1429 27.0000000000
1530 33.0000000000
1636 34.0000000000
1737 36.0000000000
1839 37.0000000000
1940 38.0000000000
2041 40.0000000000
2143 46.0000000000
2249 47.0000000000
2350 48.0000000000
2451 49.0000000000
2552 50.0000000000
2653 51.0000000000
2754 56.0000000000
2859 57.0000000000
2960 58.0000000000
3061 61.0000000000
3164 65.0000000000
3268 69.0000000000
3372 70.0000000000
3473 74.0000000000
3577 78.0000000000
3681 82.0000000000
3785 83.0000000000
3886 84.0000000000
3987 89.0000000000
4092 91.0000000000
4194 92.0000000000
4295 93.0000000000
4396 98.0000000000
4501 100.0000000000
100821 99.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
4 3.0000000000
106 4.0000000000
207 6.0000000000
309 11.0000000000
414 13.0000000000
516 14.0000000000
617 16.0000000000
719 17.0000000000
820 18.0000000000
921 21.0000000000
1024 25.0000000000
1128 29.0000000000
1232 31.0000000000
1334 32.0000000000
1435 35.0000000000
1538 45.0000000000
1648 46.0000000000
1749 47.0000000000
1850 49.0000000000
1952 50.0000000000
2053 57.0000000000
2160 58.0000000000
2261 59.0000000000
2362 60.0000000000
2463 63.0000000000
2566 65.0000000000
2668 66.0000000000
2769 68.0000000000
2871 70.0000000000
2973 71.0000000000
3074 72.0000000000
3175 73.0000000000
3276 74.0000000000
3377 75.0000000000
3478 76.0000000000
3579 77.0000000000
3680 79.0000000000
3782 80.0000000000
3883 83.0000000000
3986 86.0000000000
4089 88.0000000000
4191 89.0000000000
4292 92.0000000000
4395 96.0000000000
4499 97.0000000000
4600 99.0000000000
4702 100.0000000000
103222 99.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
104 5.0000000000
208 7.0000000000
310 8.0000000000
411 10.0000000000
513 14.0000000000
617 15.0000000000
718 17.0000000000
820 19.0000000000
922 20.0000000000
1023 22.0000000000
1125 27.0000000000
1230 30.0000000000
1333 32.0000000000
1435 34.0000000000
1537 35.0000000000
1638 41.0000000000
1744 42.0000000000
1845 43.0000000000
1946 44.0000000000
2047 46.0000000000
2149 48.0000000000
2251 53.0000000000
2356 55.0000000000
2458 56.0000000000
2559 58.0000000000
2661 60.0000000000
2763 61.0000000000
2864 63.0000000000
2966 64.0000000000
3067 67.0000000000
3170 70.0000000000
3273 71.0000000000
3374 74.0000000000
3477 76.0000000000
3579 78.0000000000
3681 79.0000000000
3782 83.0000000000
3886 85.0000000000
3988 87.0000000000
4090 88.0000000000
4191 92.0000000000
4295 96.0000000000
4399 100.0000000000
103121 99.0000000000
evaluations raw_y
1 2.0000000000
105 6.0000000000
209 7.0000000000
310 8.0000000000
411 9.0000000000
512 10.0000000000
613 11.0000000000
714 12.0000000000
815 20.0000000000
923 21.0000000000
1024 24.0000000000
1127 25.0000000000
1228 26.0000000000
1329 28.0000000000
1431 30.0000000000
1533 31.0000000000
1634 33.0000000000
1736 34.0000000000
1837 35.0000000000
1938 36.0000000000
2039 37.0000000000
2140 39.0000000000
2242 40.0000000000
2343 42.0000000000
2445 43.0000000000
2546 44.0000000000
2647 45.0000000000
2748 47.0000000000
2850 48.0000000000
2951 52.0000000000
3055 57.0000000000
3160 58.0000000000
3261 59.0000000000
3362 60.0000000000
3463 62.0000000000
3565 63.0000000000
3666 64.0000000000
3767 65.0000000000
3868 66.0000000000
3969 71.0000000000
4074 73.0000000000
4176 74.0000000000
4277 75.0000000000
4378 76.0000000000
4479 78.0000000000
4581 79.0000000000
4682 80.0000000000
4783 81.0000000000
4884 82.0000000000
4985 84.0000000000
5087 85.0000000000
5188 86.0000000000
5289 87.0000000000
5390 89.0000000000
5492 90.0000000000
5593 91.0000000000
5694 92.0000000000
5795 95.0000000000
5898 96.0000000000
5999 98.0000000000
6101 99.0000000000
6202 100.0000000000
100120 99.0000000000
evaluations raw_y
1 0.0000000000
3 9.0000000000
112 11.0000000000
214 14.0000000000
317 16.0000000000
419 17.0000000000
520 18.0000000000
621 25.0000000000
728 30.0000000000
833 31.0000000000
934 32.0000000000
1035 34.0000000000
1137 35.0000000000
1238 41.0000000000
1344 43.0000000000
1446 47.0000000000
1550 48.0000000000
1651 50.0000000000
