evaluations raw_y
1 1.3743815283
206 1.5087507544
237 1.5271838729
253 1.5499070056
306 1.7135023989
352 1.8181818182
406 1.9516003123
469 1.9762845850
506 2.0644095789
516 2.0712510356
517 2.1061499579
587 2.1204410517
598 2.1422450728
606 2.1758050479
617 2.2789425706
635 2.3562676720
647 2.3741690408
670 2.3832221163
706 2.4154589372
717 2.4925224327
735 2.5025025025
778 2.6511134677
835 2.9036004646
917 3.1133250311
947 3.2594524120
1017 3.3200531208
1140 3.4965034965
1286 3.5460992908
1304 3.6075036075
2746 3.7936267071
2786 3.9123630673
2846 4.1322314050
20579 4.2301184433
20717 4.5207956600
43490 4.7080979284
43555 5.1124744376
43704 5.3995680346
100124 3.3025099075
evaluations raw_y
1 1.0309278351
203 1.0517458982
205 1.1853959222
233 1.2272950417
303 1.2456402591
305 1.4116318464
368 1.4409221902
373 1.4749262537
404 1.5124016939
405 1.6700066800
438 1.7253278123
504 1.8234865062
505 1.9364833462
570 1.9485580670
605 2.1312872975
648 2.1533161068
704 2.2583559169
729 2.2914757104
767 2.3084025854
813 2.3832221163
829 2.4975024975
908 2.7085590466
1024 2.8121484814
1060 2.8506271380
1113 2.8968713789
1137 3.0084235860
1213 3.0156815440
1223 3.2851511170
1333 3.3112582781
2617 3.4106412005
2711 3.4770514604
2724 3.5561877667
2725 3.6179450072
2727 3.6390101892
6525 3.7593984962
7779 3.8051750381
7826 3.9370078740
7922 4.0000000000
7928 4.0257648953
17872 4.2881646655
23493 4.3327556326
101128 3.4770514604
evaluations raw_y
1 0.9932459277
2 1.2285012285
3 1.5271838729
9 1.6118633140
11 1.7229496899
100 1.7667844523
109 1.8155410312
111 2.0210185934
184 2.0341741253
209 2.0712510356
211 2.1349274125
222 2.1720243267
242 2.2665457842
311 2.3041474654
331 2.3923444976
392 2.4485798237
420 2.4925224327
426 2.5025025025
489 2.5960539979
515 2.7502750275
590 2.8121484814
615 2.8312570781
617 2.9797377831
712 3.0303030303
715 3.1367628607
812 3.3647375505
911 3.4674063800
1073 3.4770514604
1154 3.4867503487
1255 3.7037037037
1392 3.8051750381
8427 3.8402457757
10968 3.9494470774
13910 3.9619651347
13929 4.0518638574
37891 4.0916530278
41901 4.1050903120
41989 4.5372050817
100620 3.2341526520
evaluations raw_y
1 0.8098477486
3 1.2481278083
4 1.5234613041
210 1.5576323988
212 1.5933715743
214 1.6056518947
225 1.6097875080
229 1.6972165648
310 1.7041581459
311 1.7667844523
314 1.9127773527
339 1.9669551534
411 2.0016012810
414 2.0955574183
425 2.1026072330
426 2.1385799829
480 2.2461814915
511 2.4533856722
563 2.5853154085
611 2.7746947836
696 2.8248587571
711 3.0826140567
857 3.2010243278
881 3.4482758621
994 3.7481259370
1057 3.7593984962
1069 3.9001560062
13115 4.3029259897
20353 4.4563279857
59690 4.6040515654
100127 3.0450669915
evaluations raw_y
1 1.7494751575
215 1.8811136193
227 1.9888623707
304 2.0712510356
310 2.0920502092
315 2.2104332449
384 2.2261798753
404 2.3041474654
413 2.3474178404
415 2.4679170780
504 2.6288117771
577 2.6399155227
604 2.7502750275
610 2.7624309392
613 2.7870680045
654 3.0450669915
704 3.3467202142
807 3.3738191633
829 3.4674063800
849 3.5063113604
2494 3.7707390649
2527 3.9001560062
5596 3.9745627981
18708 4.0128410915
20003 4.0650406504
20097 4.1876046901
20124 4.4247787611
20197 4.6382189239
20307 4.7258979206
20342 4.7801147228
101125 2.5025025025
evaluations raw_y
1 0.8599931201
2 0.8899964400
4 1.2285012285
29 1.2468827930
34 1.2493753123
40 1.3319126265
51 1.3347570742
107 1.4343086632
112 1.4475969890
120 1.4611338399
129 1.5441630636
140 1.5873015873
207 1.6223231668
212 1.7064846416
220 1.7158544955
229 1.7844396859
259 1.9516003123
312 2.0920502092
329 2.1570319241
334 2.1720243267
407 2.1834061135
412 2.3741690408
429 2.4108003857
499 2.4875621891
506 2.5227043391
529 2.6968716289
614 2.7382256298
641 2.7746947836
686 2.8506271380
714 2.9377203290
841 2.9446407538
874 3.0902348578
939 3.2765399738
996 3.2938076416
1007 3.3200531208
1041 3.5260930889
1107 3.5765379113
1139 3.6603221083
