evaluations raw_y
1 55.0000000000
2 61.0000000000
6 62.0000000000
109 63.0000000000
210 64.0000000000
311 65.0000000000
416 66.0000000000
519 67.0000000000
621 68.0000000000
727 69.0000000000
828 70.0000000000
931 71.0000000000
1035 72.0000000000
1138 73.0000000000
1239 74.0000000000
1340 75.0000000000
1441 76.0000000000
1544 77.0000000000
1645 78.0000000000
1747 79.0000000000
1848 80.0000000000
1950 81.0000000000
2052 82.0000000000
2153 83.0000000000
2255 84.0000000000
2357 85.0000000000
2459 86.0000000000
2567 87.0000000000
2670 88.0000000000
2773 89.0000000000
2874 90.0000000000
2976 91.0000000000
3077 92.0000000000
3183 93.0000000000
3284 94.0000000000
3385 95.0000000000
3487 96.0000000000
3589 97.0000000000
3692 98.0000000000
3799 99.0000000000
3901 100.0000000000
105140 99.0000000000
evaluations raw_y
1 51.0000000000
2 52.0000000000
1026 53.0000000000
1127 54.0000000000
1228 55.0000000000
1331 56.0000000000
1432 57.0000000000
1533 58.0000000000
1634 59.0000000000
1736 60.0000000000
1837 61.0000000000
1938 62.0000000000
2039 63.0000000000
2140 64.0000000000
2241 65.0000000000
2344 66.0000000000
2445 67.0000000000
2549 68.0000000000
2650 69.0000000000
2751 70.0000000000
2854 71.0000000000
2956 72.0000000000
3058 73.0000000000
3159 74.0000000000
3263 75.0000000000
3364 76.0000000000
3465 77.0000000000
3567 78.0000000000
3669 79.0000000000
3770 80.0000000000
3871 81.0000000000
3972 82.0000000000
4075 83.0000000000
4176 84.0000000000
4277 85.0000000000
4378 86.0000000000
4479 87.0000000000
4580 88.0000000000
4681 89.0000000000
4785 90.0000000000
4886 91.0000000000
4987 92.0000000000
5090 93.0000000000
5195 94.0000000000
5296 95.0000000000
5397 96.0000000000
5499 97.0000000000
5600 98.0000000000
5702 99.0000000000
5803 100.0000000000
104036 99.0000000000
evaluations raw_y
1 52.0000000000
2 55.0000000000
5 56.0000000000
108 57.0000000000
213 58.0000000000
315 59.0000000000
416 60.0000000000
520 61.0000000000
621 62.0000000000
722 63.0000000000
823 64.0000000000
927 65.0000000000
1029 66.0000000000
1134 67.0000000000
1235 68.0000000000
1337 69.0000000000
1440 70.0000000000
1542 71.0000000000
1643 72.0000000000
1746 73.0000000000
1848 74.0000000000
1949 75.0000000000
2050 76.0000000000
2151 77.0000000000
2252 78.0000000000
2354 79.0000000000
2455 80.0000000000
2560 81.0000000000
2661 82.0000000000
2764 83.0000000000
2868 84.0000000000
2972 85.0000000000
3075 86.0000000000
3177 87.0000000000
3278 88.0000000000
3380 89.0000000000
3481 90.0000000000
3585 91.0000000000
3686 92.0000000000
3788 93.0000000000
3889 94.0000000000
3992 95.0000000000
4094 96.0000000000
4199 97.0000000000
4300 98.0000000000
4401 99.0000000000
4502 100.0000000000
101534 99.0000000000
evaluations raw_y
1 48.0000000000
2 50.0000000000
3 51.0000000000
106 52.0000000000
207 53.0000000000
308 54.0000000000
410 55.0000000000
512 56.0000000000
613 57.0000000000
716 58.0000000000
817 59.0000000000
926 60.0000000000
1027 61.0000000000
1130 62.0000000000
1233 63.0000000000
1338 64.0000000000
1440 65.0000000000
1541 66.0000000000
1642 67.0000000000
1743 68.0000000000
1844 69.0000000000
1945 70.0000000000
2050 71.0000000000
2152 72.0000000000
2253 73.0000000000
2358 74.0000000000
2460 75.0000000000
2561 76.0000000000
2662 77.0000000000
2764 78.0000000000
2865 79.0000000000
2969 80.0000000000
3071 81.0000000000
3174 82.0000000000
3275 83.0000000000
3376 84.0000000000
3478 85.0000000000
3579 86.0000000000
3680 87.0000000000
3782 88.0000000000
3883 89.0000000000
3984 90.0000000000
4087 91.0000000000
4188 92.0000000000
4289 93.0000000000
4393 94.0000000000
4494 95.0000000000
4595 96.0000000000
4696 97.0000000000
4800 98.0000000000
4901 99.0000000000
5002 100.0000000000
101533 99.0000000000
evaluations raw_y
1 47.0000000000
3 55.0000000000
4 58.0000000000
716 59.0000000000
822 60.0000000000
923 61.0000000000
1027 62.0000000000
1132 63.0000000000
1233 64.0000000000
1336 65.0000000000
1440 66.0000000000
1542 67.0000000000
1643 68.0000000000
1744 69.0000000000
1847 70.0000000000
1949 71.0000000000
2052 72.0000000000
2154 73.0000000000
2256 74.0000000000
2357 75.0000000000
2458 76.0000000000
2560 77.0000000000
2661 78.0000000000
2764 79.0000000000
2866 80.0000000000
2968 81.0000000000
3069 82.0000000000
3170 83.0000000000
3271 84.0000000000
3372 85.0000000000
3474 86.0000000000
3575 87.0000000000
3676 88.0000000000
3777 89.0000000000
3880 90.0000000000
3981 91.0000000000
4087 92.0000000000
4189 93.0000000000
4290 94.0000000000
4392 95.0000000000
4493 96.0000000000
4594 97.0000000000
4695 98.0000000000
4797 99.0000000000
4904 100.0000000000
100438 99.0000000000
evaluations raw_y
1 49.0000000000
2 54.0000000000
1227 55.0000000000
1328 56.0000000000
1430 57.0000000000
1531 58.0000000000
1633 59.0000000000
1736 60.0000000000
1837 61.0000000000
1938 62.0000000000
2039 63.0000000000
2140 64.0000000000
2241 65.0000000000
2344 66.0000000000
2447 67.0000000000
2548 68.0000000000
2650 69.0000000000
2751 70.0000000000
2852 71.0000000000
