evaluations raw_y
1 -1400.0000000000
2 -1225.0000000000
8 -1186.0000000000
110 -1157.0000000000
116 -1147.0000000000
210 -1118.0000000000
218 -1108.0000000000
310 -1079.0000000000
319 -1069.0000000000
410 -1040.0000000000
420 -1030.0000000000
510 -1001.0000000000
526 -991.0000000000
610 -962.0000000000
632 -952.0000000000
710 -933.0000000000
714 -923.0000000000
737 -913.0000000000
810 -894.0000000000
814 -884.0000000000
845 -874.0000000000
910 -855.0000000000
914 -845.0000000000
946 -835.0000000000
1010 -816.0000000000
1014 -806.0000000000
1047 -796.0000000000
1110 -777.0000000000
1114 -767.0000000000
1158 -757.0000000000
1210 -738.0000000000
1214 -728.0000000000
1259 -718.0000000000
1310 -699.0000000000
1314 -689.0000000000
1367 -679.0000000000
1410 -660.0000000000
1414 -650.0000000000
1475 -640.0000000000
1510 -621.0000000000
1514 -611.0000000000
1576 -601.0000000000
1610 -582.0000000000
1614 -572.0000000000
1678 -562.0000000000
1710 -543.0000000000
1714 -533.0000000000
1785 -523.0000000000
1810 -504.0000000000
1814 -494.0000000000
1886 -484.0000000000
1910 -465.0000000000
1914 -455.0000000000
1989 -445.0000000000
2010 -426.0000000000
2014 -416.0000000000
2091 -406.0000000000
2110 -387.0000000000
2114 -377.0000000000
2192 -367.0000000000
2210 -348.0000000000
2214 -338.0000000000
2310 -319.0000000000
2341 -309.0000000000
2410 -290.0000000000
2443 -280.0000000000
2510 -261.0000000000
2550 -251.0000000000
2610 -232.0000000000
2655 -222.0000000000
2710 -213.0000000000
2722 -203.0000000000
2762 -193.0000000000
2810 -184.0000000000
2822 -174.0000000000
2863 -164.0000000000
2910 -155.0000000000
2922 -145.0000000000
2996 -135.0000000000
3010 -126.0000000000
3022 -116.0000000000
3110 -107.0000000000
3124 -97.0000000000
3210 -88.0000000000
3242 -78.0000000000
3310 -69.0000000000
3393 -59.0000000000
3410 -50.0000000000
3498 -40.0000000000
3510 -31.0000000000
3600 -21.0000000000
3610 -12.0000000000
3706 -11.0000000000
3795 -3.0000000000
3806 -2.0000000000
3901 6.0000000000
3906 7.0000000000
4018 8.0000000000
4141 9.0000000000
74159 10.0000000000
101639 -10.0000000000
evaluations raw_y
1 -1215.0000000000
513 -1196.0000000000
520 -1186.0000000000
526 -1176.0000000000
613 -1157.0000000000
620 -1147.0000000000
630 -1137.0000000000
713 -1118.0000000000
720 -1108.0000000000
731 -1098.0000000000
813 -1079.0000000000
820 -1069.0000000000
837 -1059.0000000000
913 -1040.0000000000
920 -1030.0000000000
942 -1020.0000000000
1013 -1001.0000000000
1023 -991.0000000000
1045 -981.0000000000
1113 -962.0000000000
1123 -952.0000000000
1148 -942.0000000000
1213 -923.0000000000
1223 -913.0000000000
1251 -903.0000000000
1313 -884.0000000000
1323 -874.0000000000
1357 -864.0000000000
1413 -845.0000000000
1423 -835.0000000000
1459 -825.0000000000
1513 -806.0000000000
1523 -796.0000000000
1568 -786.0000000000
1613 -767.0000000000
1623 -757.0000000000
1669 -747.0000000000
1713 -728.0000000000
1723 -718.0000000000
1771 -708.0000000000
1813 -689.0000000000
1823 -679.0000000000
1876 -669.0000000000
1913 -650.0000000000
1923 -640.0000000000
1978 -630.0000000000
2013 -611.0000000000
2023 -601.0000000000
2079 -591.0000000000
2113 -572.0000000000
2123 -562.0000000000
2181 -552.0000000000
2213 -533.0000000000
2223 -523.0000000000
2282 -513.0000000000
2313 -494.0000000000
2323 -484.0000000000
2386 -474.0000000000
2413 -455.0000000000
2424 -445.0000000000
2487 -435.0000000000
2513 -416.0000000000
2524 -406.0000000000
2592 -396.0000000000
2613 -377.0000000000
2624 -367.0000000000
2713 -348.0000000000
2734 -338.0000000000
2813 -319.0000000000
2844 -309.0000000000
2913 -290.0000000000
2955 -280.0000000000
3013 -261.0000000000
3062 -251.0000000000
3113 -232.0000000000
3189 -222.0000000000
3213 -203.0000000000
3290 -193.0000000000
3313 -174.0000000000
3393 -164.0000000000
3413 -145.0000000000
3520 -126.0000000000
3623 -117.0000000000
3643 -107.0000000000
3723 -98.0000000000
3752 -88.0000000000
3823 -79.0000000000
3883 -69.0000000000
3923 -60.0000000000
3998 -50.0000000000
4008 -49.0000000000
4023 -41.0000000000
4103 -31.0000000000
4108 -30.0000000000
4123 -22.0000000000
4208 -21.0000000000
4297 -13.0000000000
4307 -12.0000000000
4400 -4.0000000000
4407 -3.0000000000
4501 5.0000000000
4507 6.0000000000
4619 7.0000000000
4738 8.0000000000
4850 9.0000000000
4981 10.0000000000
102439 -11.0000000000
evaluations raw_y
1 -1283.0000000000
2 -1166.0000000000
3 -1099.0000000000
5 -1060.0000000000
109 -1031.0000000000
111 -1021.0000000000
209 -992.0000000000
212 -982.0000000000
309 -963.0000000000
314 -953.0000000000
325 -943.0000000000
409 -924.0000000000
414 -914.0000000000
426 -904.0000000000
509 -885.0000000000
514 -875.0000000000
529 -865.0000000000
609 -846.0000000000
614 -836.0000000000
631 -826.0000000000
709 -807.0000000000
714 -797.0000000000
735 -787.0000000000
809 -768.0000000000
814 -758.0000000000
838 -748.0000000000
909 -729.0000000000
914 -719.0000000000
939 -709.0000000000
1009 -690.0000000000
1014 -680.0000000000
1041 -670.0000000000
1109 -651.0000000000
1114 -641.0000000000
1142 -631.0000000000
1209 -612.0000000000
1214 -602.0000000000
1248 -592.0000000000
1309 -573.0000000000
1314 -563.0000000000
1353 -553.0000000000
1409 -544.0000000000
1414 -524.0000000000
1459 -514.0000000000
1509 -505.0000000000
1514 -485.0000000000
1560 -475.0000000000
1609 -466.0000000000
1614 -446.0000000000
1662 -436.0000000000
1709 -427.0000000000
1714 -407.0000000000
1765 -397.0000000000
1809 -388.0000000000
1814 -368.0000000000
1869 -358.0000000000
1909 -349.0000000000
1914 -329.0000000000
1970 -319.0000000000
2009 -310.0000000000
2014 -290.0000000000
2088 -280.0000000000
2109 -271.0000000000
2114 -251.0000000000
2209 -242.0000000000
2222 -222.0000000000
2309 -213.0000000000
2334 -203.0000000000
2352 -193.0000000000
2409 -184.0000000000
2434 -174.0000000000
2457 -164.0000000000
2509 -155.0000000000
2534 -145.0000000000
2574 -135.0000000000
2609 -126.0000000000
2634 -116.0000000000
2676 -106.0000000000
2709 -97.0000000000
2734 -87.0000000000
2789 -77.0000000000
2823 -68.0000000000
2873 -58.0000000000
