evaluations raw_y
1 6.2000000000
2 7.2000000000
3 7.4000000000
40 8.2000000000
103 8.4000000000
176 9.2000000000
203 9.4000000000
297 10.2000000000
303 10.4000000000
410 10.6000000000
436 10.6000000000
510 10.8000000000
544 10.8000000000
588 10.8000000000
610 11.0000000000
644 11.0000000000
710 11.2000000000
759 11.2000000000
786 11.2000000000
810 11.4000000000
859 11.4000000000
910 11.6000000000
969 11.6000000000
1010 11.8000000000
1078 11.8000000000
1110 12.0000000000
1212 12.2000000000
1313 12.4000000000
1415 12.6000000000
1516 12.8000000000
1618 13.0000000000
1720 13.2000000000
1823 13.4000000000
1924 13.6000000000
2025 13.8000000000
2130 14.0000000000
2231 14.2000000000
2260 14.2000000000
2331 14.4000000000
2432 14.6000000000
2545 14.8000000000
2561 14.8000000000
2645 15.0000000000
2746 15.2000000000
2849 15.4000000000
2853 15.4000000000
2949 15.6000000000
3051 15.8000000000
3155 16.0000000000
3279 16.2000000000
3382 16.4000000000
3489 16.6000000000
3590 16.8000000000
6793 17.0000000000
6898 17.2000000000
6999 17.4000000000
100152 16.0000000000
evaluations raw_y
1 6.0000000000
4 7.2000000000
12 7.4000000000
62 8.2000000000
103 8.2000000000
112 8.4000000000
162 9.2000000000
212 9.4000000000
314 9.6000000000
417 9.8000000000
491 9.8000000000
517 10.0000000000
621 10.2000000000
722 10.4000000000
737 10.4000000000
822 10.6000000000
880 10.6000000000
922 10.8000000000
1025 11.0000000000
1127 11.2000000000
1170 11.2000000000
1227 11.4000000000
1331 11.6000000000
1433 11.8000000000
1441 11.8000000000
1533 12.0000000000
1634 12.2000000000
1742 12.4000000000
1844 12.6000000000
1945 12.8000000000
2047 13.0000000000
2051 13.0000000000
2147 13.2000000000
2249 13.4000000000
2353 13.6000000000
2454 13.8000000000
2555 14.0000000000
2656 14.2000000000
2759 14.4000000000
2871 14.6000000000
2973 14.8000000000
3077 15.0000000000
3179 15.2000000000
3282 15.4000000000
3383 15.6000000000
3485 15.8000000000
3587 16.0000000000
3692 16.2000000000
3793 16.4000000000
3895 16.6000000000
3997 16.8000000000
7599 17.0000000000
7701 17.2000000000
58622 17.2000000000
102545 16.4000000000
evaluations raw_y
1 5.8000000000
2 6.4000000000
3 8.0000000000
8 8.2000000000
115 8.4000000000
117 9.2000000000
221 9.4000000000
229 10.2000000000
321 10.4000000000
356 11.2000000000
421 11.4000000000
494 12.2000000000
521 12.4000000000
597 13.2000000000
621 13.4000000000
722 13.6000000000
735 13.6000000000
772 13.6000000000
822 13.8000000000
835 13.8000000000
877 13.8000000000
922 14.0000000000
935 14.0000000000
986 14.0000000000
1022 14.2000000000
1035 14.2000000000
1122 14.4000000000
1168 14.4000000000
1222 14.6000000000
1330 14.8000000000
1433 15.0000000000
1536 15.2000000000
1546 15.2000000000
1636 15.4000000000
1650 15.4000000000
1736 15.6000000000
1838 15.8000000000
1948 16.0000000000
2049 16.2000000000
2151 16.4000000000
2254 16.6000000000
2362 16.8000000000
2464 17.0000000000
2581 17.2000000000
2684 17.4000000000
55595 17.4000000000
55728 17.6000000000
55835 17.8000000000
101267 15.6000000000
evaluations raw_y
1 6.2000000000
3 6.8000000000
4 7.0000000000
38 7.8000000000
104 8.0000000000
170 8.8000000000
196 8.8000000000
204 9.0000000000
270 9.8000000000
304 10.0000000000
375 10.8000000000
404 11.0000000000
509 11.2000000000
586 11.2000000000
609 11.4000000000
689 11.4000000000
709 11.6000000000
802 11.6000000000
809 11.8000000000
910 12.0000000000
931 12.0000000000
1010 12.2000000000
1057 12.2000000000
1110 12.4000000000
1211 12.6000000000
1314 12.8000000000
1417 13.0000000000
1518 13.2000000000
1626 13.4000000000
1727 13.6000000000
1732 13.6000000000
1827 13.8000000000
1868 13.8000000000
1927 14.0000000000
2028 14.2000000000
2139 14.4000000000
2243 14.6000000000
2345 14.8000000000
2448 15.0000000000
2551 15.2000000000
2653 15.4000000000
2762 15.6000000000
2863 15.8000000000
2979 16.0000000000
3083 16.2000000000
3187 16.4000000000
3288 16.6000000000
3390 16.8000000000
3493 17.0000000000
6999 17.2000000000
7105 17.4000000000
46523 17.4000000000
100450 16.8000000000
evaluations raw_y
1 6.2000000000
2 8.0000000000
3 8.2000000000
35 9.0000000000
74 9.0000000000
103 9.2000000000
135 10.0000000000
203 10.2000000000
308 10.4000000000
313 10.4000000000
408 10.6000000000
488 10.6000000000
508 10.8000000000
600 10.8000000000
608 11.0000000000
710 11.2000000000
817 11.4000000000
919 11.6000000000
1021 11.8000000000
1024 11.8000000000
1121 12.0000000000
1227 12.2000000000
1329 12.4000000000
1431 12.6000000000
1538 12.8000000000
1568 12.8000000000
1638 13.0000000000
1740 13.2000000000
1763 13.2000000000
1840 13.4000000000
1941 13.6000000000
2044 13.8000000000
2149 14.0000000000
2253 14.2000000000
2354 14.4000000000
2455 14.6000000000
2558 14.8000000000
2660 15.0000000000
2764 15.2000000000
2866 15.4000000000
2969 15.6000000000
