evaluations raw_y
1 -0.4723745423
105 -0.4721259523
109 -0.4699802112
110 -0.4673024977
112 -0.4672464021
114 -0.4644402523
150 -0.4635293498
205 -0.4609801634
209 -0.4588344223
210 -0.4561567088
212 -0.4561006132
214 -0.4532944634
274 -0.4529331361
305 -0.4503839497
309 -0.4482382085
310 -0.4455604950
312 -0.4455043995
314 -0.4426982496
405 -0.4401490632
409 -0.4380033221
410 -0.4353256086
412 -0.4352695130
437 -0.4332138929
473 -0.4327799511
505 -0.4302307647
509 -0.4280850236
510 -0.4254073101
512 -0.4253512145
537 -0.4232955944
605 -0.4207464080
609 -0.4186006668
610 -0.4159229533
612 -0.4158668578
669 -0.4145408598
705 -0.4119916734
709 -0.4098459323
710 -0.4071682188
780 -0.4060268374
805 -0.4034776510
809 -0.4013319099
810 -0.3986541963
905 -0.3961050099
916 -0.3956612147
918 -0.3921207932
1005 -0.3895716068
1016 -0.3891278115
1021 -0.3876069056
1051 -0.3873092618
1070 -0.3871675307
1071 -0.3858327409
1085 -0.3857431499
1105 -0.3831939635
1116 -0.3827501682
1121 -0.3812292623
1151 -0.3809316185
1170 -0.3807898874
1171 -0.3794550976
1205 -0.3769059112
1216 -0.3764621159
1221 -0.3749412100
1251 -0.3746435662
1270 -0.3745018351
1291 -0.3738098189
1292 -0.3733141408
1305 -0.3715427617
1316 -0.3703211591
1321 -0.3688002531
1351 -0.3685026093
1370 -0.3683608782
1391 -0.3676688620
1402 -0.3669385990
1405 -0.3651672200
1416 -0.3639456173
1421 -0.3624247114
1451 -0.3621270675
1470 -0.3619853365
1491 -0.3612933202
1505 -0.3595219412
1516 -0.3583003385
1521 -0.3567794326
1551 -0.3564817888
1570 -0.3563400577
1605 -0.3545686787
1616 -0.3533470760
1621 -0.3518261701
1638 -0.3501753960
1705 -0.3484040170
1716 -0.3471824143
1721 -0.3456615084
1751 -0.3453638645
1805 -0.3435924855
1816 -0.3423708828
1821 -0.3408499769
1905 -0.3390785979
1916 -0.3378569952
1979 -0.3375997561
2000 -0.3370595449
2005 -0.3352881659
2016 -0.3340665632
2079 -0.3338093241
2105 -0.3320379451
2116 -0.3308163424
2188 -0.3306985349
2205 -0.3289271559
2217 -0.3285565533
2224 -0.3284190865
2246 -0.3283907844
2261 -0.3283382047
2293 -0.3253393391
2305 -0.3235679601
2317 -0.3231973575
2324 -0.3230598907
2346 -0.3230315887
2361 -0.3229790090
2405 -0.3212076300
2417 -0.3208370274
2424 -0.3206995606
2446 -0.3206712585
2505 -0.3188998795
2517 -0.3185292769
2524 -0.3183918101
2605 -0.3166204311
2617 -0.3162498285
2665 -0.3161899914
2704 -0.3155400038
2705 -0.3144186123
2717 -0.3140480097
2804 -0.3133980222
2805 -0.3122766307
2904 -0.3116266432
2909 -0.3114747897
2994 -0.3112676189
3004 -0.3106176314
3009 -0.3104657779
3096 -0.3100373287
3104 -0.3093873412
3109 -0.3092354877
3204 -0.3085855002
3313 -0.3035247183
3406 -0.3030445983
3452 -0.3020507237
3506 -0.3015706037
3564 -0.3014341415
3606 -0.3009540215
3697 -0.3008642575
3706 -0.3003841375
3863 -0.3000600993
3955 -0.2992978015
92810 -0.2974639795
92919 -0.2974069167
101937 -0.3039002660
evaluations raw_y
1 -0.4664655574
514 -0.4646597155
605 -0.4628883364
610 -0.4565602843
631 -0.4553299877
673 -0.4547414169
705 -0.4529700379
710 -0.4466419858
731 -0.4454116892
805 -0.4436403102
810 -0.4373122581
905 -0.4355408791
913 -0.4312172108
938 -0.4311475964
940 -0.4306138949
954 -0.4300297756
1005 -0.4282583966
1013 -0.4239347284
1038 -0.4238651139
1040 -0.4233314124
1105 -0.4215600334
1113 -0.4172363651
1138 -0.4171667506
1143 -0.4169157907
1205 -0.4151444117
1213 -0.4108207434
1238 -0.4107511289
1248 -0.4106270922
1253 -0.4089364552
1305 -0.4071650762
1313 -0.4028414080
1338 -0.4027717935
1348 -0.4026477568
1405 -0.4008763778
1413 -0.3965527095
1438 -0.3964830950
1471 -0.3963597045
1505 -0.3945883255
1513 -0.3902646572
1538 -0.3901950428
1605 -0.3884236637
1613 -0.3840999955
1705 -0.3823286165
1717 -0.3801913310
1721 -0.3795861079
1741 -0.3791460069
1742 -0.3789416168
1772 -0.3780906212
1805 -0.3763192422
1817 -0.3744040625
1821 -0.3735767336
1841 -0.3731366327
1893 -0.3727314255
1901 -0.3725997146
1905 -0.3708283356
1917 -0.3689131558
1921 -0.3680858270
1941 -0.3676457260
1993 -0.3672405189
2005 -0.3654691399
2017 -0.3635539601
2021 -0.3627266313
2041 -0.3622865303
2105 -0.3605151513
2117 -0.3585999715
2121 -0.3577726427
2151 -0.3574749988
2156 -0.3573856942
2205 -0.3556143152
2217 -0.3536991354
2221 -0.3528718066
2251 -0.3525741627
2305 -0.3508027837
2317 -0.3488876040
2321 -0.3480602751
2405 -0.3462888961
2417 -0.3443737164
2477 -0.3441755946
2505 -0.3424042156
2517 -0.3404890358
2600 -0.3403851626
2605 -0.3386137836
2617 -0.3366986038
2705 -0.3349272248
2733 -0.3346355709
2747 -0.3332583146
2776 -0.3331203106
2805 -0.3313489316
2847 -0.3296800214
2905 -0.3279086424
2989 -0.3270258914
3005 -0.3252545124
3098 -0.3247679615
3105 -0.3229965825
3206 -0.3225164624
3207 -0.3217375621
3211 -0.3217357864
3222 -0.3213476492
3306 -0.3208675292
3307 -0.3200886288
3311 -0.3164161506
3406 -0.3159360306
3407 -0.3151571302
3490 -0.3151446423
3506 -0.3146645223
3507 -0.3138856219
3606 -0.3134055019
3625 -0.3116805075
3655 -0.3063646482
3706 -0.3058845282
3725 -0.3041595338
3806 -0.3036794138
3829 -0.3034634830
3895 -0.3029671036
3896 -0.3029292436
3906 -0.3024491236
3929 -0.3022331928
3995 -0.3017368135
4006 -0.3012566935
4029 -0.3010407627
4106 -0.3005606426
4299 -0.3005522575
66247 -0.2958573279
66411 -0.2958002651
96341 -0.2955940670
96399 -0.2954576047
96400 -0.2954206219
96441 -0.2949405019
96499 -0.2948040397
96541 -0.2943239197
96734 -0.2943155345
100838 -0.3160134508
evaluations raw_y
1 -0.4745951189
309 -0.4738166348
312 -0.4671897392
355 -0.4670975021
380 -0.4661044534
409 -0.4653026124
412 -0.4586757168
455 -0.4585834797
509 -0.4577816387
512 -0.4511547431
609 -0.4503529021
616 -0.4481617614
621 -0.4466408555
622 -0.4443020878
636 -0.4439049341
692 -0.4437602724
709 -0.4429584314
716 -0.4407672907
721 -0.4392463848
722 -0.4369076171
736 -0.4365104634
809 -0.4357086224
815 -0.4338699375
816 -0.4335174817
821 -0.4319965758
822 -0.4296578081
909 -0.4288559671
915 -0.4270172822
916 -0.4266648264
921 -0.4251439205
942 -0.4244994294
948 -0.4233691097
1009 -0.4225672687
1015 -0.4207285837
1016 -0.4203761280
1021 -0.4188552221
1042 -0.4182107309
1072 -0.4173597354
1109 -0.4165578944
1115 -0.4147192095
1116 -0.4143667537
1121 -0.4128458478
1151 -0.4125482039
1153 -0.4124847291
1188 -0.4124450449
1209 -0.4116432039
1215 -0.4098045190
1221 -0.4079311573
1243 -0.4060294232
1309 -0.4052275822
1315 -0.4033888973
1321 -0.4015155356
1351 -0.4012178918
1353 -0.3980500878
1409 -0.3972482467
1415 -0.3954095618
1421 -0.3935362001
1451 -0.3932385563
1509 -0.3924367153
1515 -0.3905980304
1521 -0.3887246687
1582 -0.3886080742
1609 -0.3878062332
1615 -0.3859675483
1621 -0.3840941866
1709 -0.3832923456
1715 -0.3814536607
1729 -0.3800109672
1809 -0.3792091261
1815 -0.3773704412
1854 -0.3769633022
1866 -0.3765482085
1874 -0.3763413704
1884 -0.3762454252
1909 -0.3754435842
1915 -0.3736048993
1938 -0.3700807635
2009 -0.3692789225
2015 -0.3674402376
2054 -0.3670330985
2066 -0.3666180048
2074 -0.3664111667
2109 -0.3656093257
2115 -0.3637706408
2126 -0.3610203844
2209 -0.3602185434
2215 -0.3583798584
2247 -0.3575800952
2266 -0.3575576257
2276 -0.3574420911
2309 -0.3566402501
2315 -0.3548015652
2347 -0.3540018019
2366 -0.3539793324
2409 -0.3531774914
2415 -0.3513388065
2447 -0.3505390432
2509 -0.3497372022
2515 -0.3478985173
2554 -0.3474913783
2579 -0.3472888224
2609 -0.3464869814
2615 -0.3446482965
2654 -0.3442411574
2709 -0.3434393164
2715 -0.3416006315
2735 -0.3380369987
2809 -0.3372351577
2815 -0.3353964728
2889 -0.3353828687
2909 -0.3345810277
2915 -0.3327423428
3017 -0.3306003612
3061 -0.3303820126
3117 -0.3282400310
3231 -0.3279283560
3237 -0.3274117194
3260 -0.3264370786
3331 -0.3261254036
3337 -0.3256087670
3365 -0.3249951701
3431 -0.3246834951
3437 -0.3241668585
3495 -0.3238027399
3498 -0.3237546364
3531 -0.3234429615
3537 -0.3229263248
3595 -0.3225622063
3631 -0.3222505313
3637 -0.3217338947
3704 -0.3214823559
3731 -0.3214222197
3745 -0.3209928773
3785 -0.3209558031
3804 -0.3207042643
3831 -0.3206441282
3845 -0.3202147858
3904 -0.3199632470
3931 -0.3199031108
3952 -0.3197750566
3964 -0.3195982035
4004 -0.3193466647
4031 -0.3192865285
4052 -0.3191584743
4104 -0.3189069355
4131 -0.3188467993
4204 -0.3185952605
4208 -0.3144816136
4304 -0.3142300748
4313 -0.3131574099
4346 -0.3121738631
4404 -0.3119223244
4413 -0.3108496594
4504 -0.3058272771
4606 -0.3053471571
4665 -0.3051737120
4706 -0.3046935920
4899 -0.3046852069
16709 -0.3045141346
16732 -0.3042982038
16733 -0.3039932143
16809 -0.3035130943
16832 -0.3032971634
16888 -0.3032151227
16909 -0.3027350027
16932 -0.3025190719
17009 -0.3020389519
17067 -0.3019024896
17109 -0.3014223696
17200 -0.3013326057
17209 -0.3008524856
17322 -0.3005209116
17426 -0.3003945062
17525 -0.2950748703
17702 -0.2950664852
75951 -0.2928002742
103039 -0.3072861905
evaluations raw_y
1 -0.4810908913
326 -0.4804059637
369 -0.4799301438
404 -0.4738847817
426 -0.4716512292
504 -0.4656058671
540 -0.4636547962
604 -0.4576094341
643 -0.4572391745
654 -0.4563723137
704 -0.4503269516
743 -0.4499566920
778 -0.4493755516
804 -0.4433301895
843 -0.4429599299
904 -0.4369145678
948 -0.4366712314
1004 -0.4306258693
1115 -0.4279624937
1119 -0.4266785620
1121 -0.4261119817
1133 -0.4258524818
1151 -0.4258143379
1170 -0.4256726068
1192 -0.4252627198
1215 -0.4225993443
1219 -0.4213154126
1221 -0.4207488322
1233 -0.4204893323
1251 -0.4204511884
1270 -0.4203094573
1302 -0.4188871781
1315 -0.4162238025
1319 -0.4149398708
1321 -0.4143732905
1333 -0.4141137906
1351 -0.4140756466
1370 -0.4139339156
1415 -0.4112705400
1419 -0.4099866083
1421 -0.4094200280
1433 -0.4091605280
1438 -0.4077692538
1515 -0.4051058782
1519 -0.4038219465
1521 -0.4032553662
1533 -0.4029958663
1551 -0.4029577224
1615 -0.4002943468
1619 -0.3990104151
1621 -0.3984438348
1633 -0.3981843349
1715 -0.3955209593
1719 -0.3942370276
1721 -0.3936704473
1815 -0.3910070717
1819 -0.3897231400
1829 -0.3895872278
1915 -0.3869238522
1919 -0.3856399205
1987 -0.3855341467
2015 -0.3828707711
2019 -0.3815868395
2115 -0.3789234639
2147 -0.3781465503
2155 -0.3778070924
2200 -0.3777964075
2215 -0.3751330319
2247 -0.3743561183
2255 -0.3740166604
2315 -0.3713532848
2347 -0.3705763712
2363 -0.3699513955
2415 -0.3672880199
2447 -0.3665111063
2515 -0.3638477307
2553 -0.3635446797
2615 -0.3608813041
2658 -0.3558654875
2715 -0.3532021119
2809 -0.3524002709
2818 -0.3516805736
2824 -0.3508394911
2886 -0.3506400367
2889 -0.3505479819
2909 -0.3497461409
2918 -0.3490264435
2924 -0.3481853610
2986 -0.3479859067
3009 -0.3471840657
3018 -0.3464643683
3024 -0.3456232859
3109 -0.3448214448
3118 -0.3441017475
3125 -0.3434181714
3209 -0.3426163304
3218 -0.3418966330
3260 -0.3416152190
3309 -0.3408133780
3318 -0.3400936806
3409 -0.3392918396
3437 -0.3392653690
3439 -0.3392311696
3509 -0.3384293286
