evaluations raw_y
1 0.0000000000
4 1.0000000000
6 4.0000000000
110 5.0000000000
211 6.0000000000
312 7.0000000000
413 9.0000000000
515 10.0000000000
616 12.0000000000
718 17.0000000000
823 18.0000000000
924 19.0000000000
1025 26.0000000000
1132 28.0000000000
1234 30.0000000000
1336 32.0000000000
1438 34.0000000000
1540 35.0000000000
1641 36.0000000000
1742 38.0000000000
1844 41.0000000000
1947 44.0000000000
2050 45.0000000000
2151 46.0000000000
2252 48.0000000000
2354 49.0000000000
2455 53.0000000000
2559 54.0000000000
2660 56.0000000000
2762 57.0000000000
2863 58.0000000000
2964 59.0000000000
3065 64.0000000000
3170 66.0000000000
3272 68.0000000000
3374 69.0000000000
3475 72.0000000000
3578 81.0000000000
3687 84.0000000000
3790 85.0000000000
3891 86.0000000000
3992 87.0000000000
4093 89.0000000000
4195 91.0000000000
4297 94.0000000000
4400 95.0000000000
4501 97.0000000000
4603 98.0000000000
4704 99.0000000000
4805 100.0000000000
103039 99.0000000000
evaluations raw_y
1 2.0000000000
4 3.0000000000
106 4.0000000000
207 8.0000000000
311 9.0000000000
412 11.0000000000
514 12.0000000000
615 14.0000000000
717 16.0000000000
819 18.0000000000
921 19.0000000000
1022 21.0000000000
1124 22.0000000000
1225 26.0000000000
1329 29.0000000000
1432 31.0000000000
1534 32.0000000000
1635 33.0000000000
1736 35.0000000000
1838 37.0000000000
1940 38.0000000000
2041 41.0000000000
2144 43.0000000000
2246 45.0000000000
2348 46.0000000000
2449 48.0000000000
2551 49.0000000000
2652 50.0000000000
2753 54.0000000000
2857 55.0000000000
2958 57.0000000000
3060 58.0000000000
3161 59.0000000000
3262 62.0000000000
3365 65.0000000000
3468 67.0000000000
3570 68.0000000000
3671 72.0000000000
3775 73.0000000000
3876 74.0000000000
3977 76.0000000000
4079 78.0000000000
4181 79.0000000000
4282 81.0000000000
4384 82.0000000000
4485 85.0000000000
4588 86.0000000000
4689 95.0000000000
4798 96.0000000000
4899 100.0000000000
104841 99.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
106 8.0000000000
213 9.0000000000
314 12.0000000000
417 15.0000000000
520 16.0000000000
621 19.0000000000
724 21.0000000000
826 22.0000000000
927 23.0000000000
1028 24.0000000000
1129 25.0000000000
1230 27.0000000000
1332 29.0000000000
1434 30.0000000000
1535 31.0000000000
1636 33.0000000000
1738 35.0000000000
1840 36.0000000000
1941 39.0000000000
2044 40.0000000000
2145 42.0000000000
2247 44.0000000000
2349 45.0000000000
2450 48.0000000000
2553 49.0000000000
2654 50.0000000000
2755 51.0000000000
2856 52.0000000000
2957 55.0000000000
3060 58.0000000000
3163 60.0000000000
3265 61.0000000000
3366 63.0000000000
3468 68.0000000000
3573 69.0000000000
3674 72.0000000000
3777 73.0000000000
3878 76.0000000000
3981 77.0000000000
4082 79.0000000000
4184 80.0000000000
4285 83.0000000000
4388 86.0000000000
4491 89.0000000000
4594 91.0000000000
4696 93.0000000000
4798 94.0000000000
4899 95.0000000000
5000 100.0000000000
102038 99.0000000000
evaluations raw_y
1 2.0000000000
205 6.0000000000
309 7.0000000000
410 8.0000000000
511 10.0000000000
613 13.0000000000
716 14.0000000000
817 15.0000000000
918 19.0000000000
1022 20.0000000000
1123 21.0000000000
1224 22.0000000000
1325 24.0000000000
1427 25.0000000000
1528 26.0000000000
1629 32.0000000000
1735 35.0000000000
1838 37.0000000000
1940 38.0000000000
2041 41.0000000000
2144 44.0000000000
2247 45.0000000000
2348 49.0000000000
2452 50.0000000000
2553 52.0000000000
2655 53.0000000000
2756 54.0000000000
2857 58.0000000000
2961 59.0000000000
3062 63.0000000000
3166 65.0000000000
3268 72.0000000000
3375 73.0000000000
3476 75.0000000000
3578 79.0000000000
3682 80.0000000000
3783 82.0000000000
3885 83.0000000000
3986 84.0000000000
4087 85.0000000000
4188 87.0000000000
4290 91.0000000000
4394 93.0000000000
4496 94.0000000000
4597 97.0000000000
4700 100.0000000000
101231 99.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
5 7.0000000000
110 8.0000000000
211 10.0000000000
313 15.0000000000
418 16.0000000000
519 18.0000000000
621 20.0000000000
723 21.0000000000
824 25.0000000000
928 26.0000000000
1029 30.0000000000
1133 31.0000000000
1234 32.0000000000
1335 33.0000000000
1436 35.0000000000
1538 37.0000000000
1640 39.0000000000
1742 40.0000000000
1843 41.0000000000
1944 43.0000000000
2046 44.0000000000
2147 47.0000000000
2250 50.0000000000
2353 52.0000000000
2455 53.0000000000
2556 56.0000000000
2659 59.0000000000
2762 61.0000000000
2864 64.0000000000
2967 65.0000000000
3068 66.0000000000
3169 70.0000000000
3273 74.0000000000
3377 75.0000000000
3478 76.0000000000
3579 77.0000000000
3680 79.0000000000
3782 81.0000000000
3884 82.0000000000
3985 85.0000000000
4088 88.0000000000
4191 92.0000000000
4295 99.0000000000
4402 100.0000000000
100332 99.0000000000
evaluations raw_y
1 1.0000000000
2 3.0000000000
107 4.0000000000
208 5.0000000000
309 6.0000000000
410 7.0000000000
511 9.0000000000
613 12.0000000000
716 15.0000000000
819 16.0000000000
920 19.0000000000
1023 20.0000000000
1124 22.0000000000
1226 23.0000000000
1327 26.0000000000
1430 31.0000000000
1535 32.0000000000
1636 34.0000000000
1738 35.0000000000
1839 40.0000000000
1944 41.0000000000
2045 43.0000000000
2147 45.0000000000
2249 51.0000000000
2355 54.0000000000
2458 57.0000000000
2561 58.0000000000
2662 59.0000000000
2763 62.0000000000
2866 63.0000000000
2967 64.0000000000
3068 67.0000000000
3171 69.0000000000
3273 72.0000000000
3376 73.0000000000
3477 75.0000000000
3579 77.0000000000
3681 79.0000000000
3783 86.0000000000
3890 88.0000000000
3992 89.0000000000
4093 91.0000000000
4195 92.0000000000
4296 94.0000000000
4398 95.0000000000
4499 98.0000000000
4602 99.0000000000
4703 100.0000000000
105031 99.0000000000
evaluations raw_y
1 4.0000000000
107 6.0000000000
209 7.0000000000
310 8.0000000000
411 11.0000000000
514 13.0000000000
616 14.0000000000
717 15.0000000000
818 20.0000000000
923 21.0000000000
1024 28.0000000000
1131 29.0000000000
1232 30.0000000000
1333 31.0000000000
1434 32.0000000000
1535 33.0000000000
1636 34.0000000000
1737 39.0000000000
1842 44.0000000000
1947 45.0000000000
2048 46.0000000000
2149 47.0000000000
2250 49.0000000000
2352 50.0000000000
2453 53.0000000000
2556 55.0000000000
2658 57.0000000000
2760 60.0000000000
2863 61.0000000000
2964 62.0000000000
3065 69.0000000000
3172 71.0000000000
3274 72.0000000000
3375 76.0000000000
3479 77.0000000000
3580 78.0000000000
3681 80.0000000000
3783 82.0000000000
3885 84.0000000000
3987 86.0000000000
4089 90.0000000000
4193 94.0000000000
4297 96.0000000000
4399 100.0000000000
101331 99.0000000000
evaluations raw_y
1 0.0000000000
3 2.0000000000
105 3.0000000000
206 6.0000000000
309 10.0000000000
413 13.0000000000
516 15.0000000000
618 18.0000000000
721 20.0000000000
823 22.0000000000
925 23.0000000000
1026 24.0000000000
1127 25.0000000000
1228 27.0000000000
1330 30.0000000000
1433 33.0000000000
1536 34.0000000000
1637 35.0000000000
1738 37.0000000000
1840 38.0000000000
1941 39.0000000000
2042 44.0000000000
2147 47.0000000000
2250 48.0000000000
2351 52.0000000000
2455 53.0000000000
2556 54.0000000000
2657 55.0000000000
2758 56.0000000000
2859 57.0000000000
2960 58.0000000000
3061 60.0000000000
3163 61.0000000000
3264 64.0000000000
3367 65.0000000000
3468 66.0000000000
3569 67.0000000000
3670 68.0000000000
3771 69.0000000000
3872 71.0000000000
3974 73.0000000000
4076 74.0000000000
4177 76.0000000000
4279 83.0000000000
4386 85.0000000000
4488 86.0000000000
4589 88.0000000000
4691 90.0000000000
4793 92.0000000000
4895 94.0000000000
4997 95.0000000000
5098 96.0000000000
5199 97.0000000000
5300 98.0000000000
5401 100.0000000000
103841 99.0000000000
evaluations raw_y
1 2.0000000000
4 3.0000000000
106 8.0000000000
211 11.0000000000
314 13.0000000000
416 15.0000000000
518 17.0000000000
620 19.0000000000
722 20.0000000000
823 21.0000000000
924 23.0000000000
1026 25.0000000000
1128 29.0000000000
1232 35.0000000000
1338 42.0000000000
1445 44.0000000000
1547 49.0000000000
1652 53.0000000000
1756 54.0000000000
1857 58.0000000000
1961 60.0000000000
2063 61.0000000000
2164 66.0000000000
2269 71.0000000000
2374 73.0000000000
2476 75.0000000000
2578 77.0000000000
2680 79.0000000000
2782 80.0000000000
2883 82.0000000000
2985 83.0000000000
3086 84.0000000000
3187 85.0000000000
3288 87.0000000000
3390 89.0000000000
3492 91.0000000000
3594 92.0000000000
3695 97.0000000000
3800 100.0000000000
102231 99.0000000000
evaluations raw_y
1 1.0000000000
4 2.0000000000
105 3.0000000000
206 6.0000000000
309 7.0000000000
410 13.0000000000
516 14.0000000000
617 15.0000000000
718 16.0000000000
819 18.0000000000
921 19.0000000000
1022 21.0000000000
1124 24.0000000000
1227 28.0000000000
1331 30.0000000000
1433 32.0000000000
1535 33.0000000000
1636 35.0000000000
1738 37.0000000000
1840 38.0000000000
1941 41.0000000000
2044 42.0000000000
2145 44.0000000000
2247 45.0000000000
2348 46.0000000000
2449 47.0000000000
2550 49.0000000000
2652 50.0000000000
2753 51.0000000000
2854 53.0000000000
2956 54.0000000000
3057 56.0000000000
3159 57.0000000000
3260 59.0000000000
3362 60.0000000000
3463 63.0000000000
3566 64.0000000000
3667 65.0000000000
3768 66.0000000000
3869 67.0000000000
3970 70.0000000000
4073 71.0000000000
4174 76.0000000000
4279 78.0000000000
4381 79.0000000000
4482 80.0000000000
4583 84.0000000000
4687 90.0000000000
4793 91.0000000000
4894 92.0000000000
4995 93.0000000000
5096 94.0000000000
5197 95.0000000000
5298 97.0000000000
5400 100.0000000000
100737 99.0000000000
