evaluations raw_y
1 1.0326311442
3 1.1106175033
5 1.5537600994
17 1.7205781142
804 1.7818959373
813 1.8050541516
1194 2.0508613618
1623 2.0576131687
2401 2.1240441801
3198 2.1349274125
3570 2.2222222222
3964 2.2341376229
3980 2.3923444976
4778 2.4390243902
5178 2.5432349949
5982 2.8636884307
9525 2.9515938607
15866 2.9726516052
16260 3.1847133758
17861 3.2425421530
22600 3.2594524120
23007 3.3557046980
26954 3.5161744023
31292 3.5460992908
34851 3.6603221083
59029 3.6927621861
61009 3.7147102526
70901 3.8639876352
100188 3.1525851198
evaluations raw_y
1 0.8483203258
2 1.2083131948
4 1.2645422357
11 1.2800819252
14 1.3850415512
18 1.4326647564
29 1.5499070056
818 1.5812776724
1200 1.6244314490
1625 1.7844396859
2001 1.8368846436
2380 1.9334880124
2773 2.1204410517
3970 2.2222222222
4359 2.2583559169
4360 2.2956841139
4362 2.3832221163
4377 2.4679170780
4759 2.6068821689
6368 2.6288117771
9507 2.7262813522
10328 2.7442371021
10709 2.7563395810
11089 2.8702640643
11899 2.9585798817
11900 2.9940119760
12311 3.0012004802
13484 3.0229746070
13872 3.0978934325
14273 3.1289111389
14287 3.2938076416
15070 3.4578146611
15876 3.4965034965
17862 3.8051750381
78434 3.9619651347
79610 4.0518638574
100188 2.7382256298
evaluations raw_y
1 0.8787346221
2 1.1978917106
15 1.2394645513
21 1.2696800406
30 1.2933264356
33 1.4697236919
416 1.5105740181
813 1.5954052329
1200 1.5994881638
1205 1.7667844523
2382 1.8726591760
3607 1.8867924528
3608 1.9334880124
5157 2.0610057708
7542 2.0850708924
7551 2.1132713440
7552 2.2026431718
7948 2.2542831380
9943 2.3696682464
10317 2.3923444976
10318 2.4248302619
10323 2.5484199796
10696 2.5536261491
11097 2.6680896478
11107 2.7085590466
11109 2.7870680045
11489 2.9036004646
11917 3.3025099075
15074 3.3200531208
15879 3.9123630673
18260 3.9745627981
55447 4.1186161450
100188 2.9797377831
evaluations raw_y
1 0.9980039920
2 1.0482180294
6 1.0761945760
7 1.3943112103
25 1.4872099941
34 1.5556938395
405 1.5772870662
422 1.6611295681
835 1.8532246108
1621 1.9275250578
1991 1.9425019425
2002 1.9888623707
2395 2.1872265967
2775 2.2301516503
3596 2.3696682464
4001 2.4826216485
5561 2.5125628141
6339 2.6455026455
6758 2.6680896478
7949 2.7442371021
7953 2.7563395810
8737 3.1525851198
11918 3.3829499323
13108 3.4867503487
17465 3.5260930889
22200 3.5561877667
22601 3.6179450072
25748 3.6496350365
25749 3.6603221083
26533 3.8167938931
28919 3.9872408293
29715 4.0000000000
100188 0.8775008775
evaluations raw_y
1 1.1286681716
2 1.4543339151
11 1.5051173992
20 1.6767270288
38 1.9638648861
410 2.4154589372
810 2.4875621891
2812 2.6624068158
7922 2.7808676307
13083 2.8058361392
13105 2.8768699655
13887 3.2679738562
17857 3.3025099075
29336 3.4293552812
30516 3.4387895461
31681 3.4578146611
32871 3.5561877667
36456 3.6710719530
49139 3.8167938931
65775 3.9001560062
100188 3.3200531208
evaluations raw_y
1 1.3404825737
34 1.4084507042
403 1.5403573629
407 1.6265452180
419 1.6307893020
420 1.7869907076
798 1.8288222385
809 1.8811136193
823 1.9157088123
1981 1.9546520719
1982 2.1061499579
3186 2.1570319241
3198 2.2341376229
3974 2.2542831380
4765 2.2999080037
4795 2.3877745941
5545 2.5906735751
6371 2.6178010471
6374 2.7808676307
7141 2.8376844495
7145 2.9103608847
7165 2.9868578256
11920 3.1133250311
22218 3.1685678074
25373 3.2938076416
25761 3.4674063800
74875 3.6284470247
75662 3.6390101892
77631 3.6710719530
100188 3.6075036075
evaluations raw_y
1 0.9678668215
2 1.0761945760
4 1.4148273911
24 1.4376078206
27 1.5499070056
403 1.7618040874
798 2.2143489814
1603 2.3169601483
2398 2.4975024975
4787 2.6511134677
6769 2.6680896478
7949 2.7203482046
8745 2.8768699655
12684 3.0229746070
16261 3.0450669915
17450 3.1289111389
19009 3.1525851198
21791 3.2258064516
23797 3.2509752926
24591 3.3025099075
27340 3.3829499323
29314 3.4578146611
36464 3.4867503487
42785 3.5360678925
43979 3.6710719530
51116 3.7481259370
100188 0.5636978579
evaluations raw_y
1 1.0808473843
3 1.2960082945
24 1.3054830287
31 1.3912075682
33 1.4392630973
34 1.4645577036
39 1.4731879788
412 1.5913430936
433 1.5994881638
1202 1.9425019425
1992 1.9455252918
2384 1.9762845850
2403 2.0145044319
2794 2.0441537204
3169 2.1097046414
3191 2.1607605877
3596 2.4342745862
4785 2.5075225677
5152 2.5329280648
7548 2.6014568158
8733 2.6852846402
10728 2.6910656620
11505 2.7502750275
14288 2.9103608847
17034 3.0599755202
20632 3.0978934325
24197 3.1525851198
26172 3.2010243278
27336 3.2341526520
28158 3.3829499323
34058 3.4578146611
42771 3.9001560062
96234 4.0000000000
100188 1.1786892975
evaluations raw_y
1 1.2973533991
8 1.3448090371
13 1.4148273911
15 1.4509576320
398 1.6414970453
797 1.6677785190
1220 1.7229496899
1590 1.7717930546
2000 1.7895490336
2390 1.9127773527
3966 1.9364833462
3978 2.0016012810
3988 2.2706630336
4761 2.4154589372
5150 2.5588536336
5547 2.6567481403
5548 2.7085590466
5966 2.8506271380
7934 2.8968713789
17439 2.9103608847
19038 2.9171528588
20204 2.9377203290
25351 3.0012004802
28523 3.0978934325
31312 3.1446540881
38430 3.2679738562
41223 3.3467202142
42791 3.4013605442
43198 3.5663338088
45572 3.5971223022
94270 3.6818851252
100188 3.3025099075
evaluations raw_y
1 1.5069318867
435 1.9485580670
2414 2.0475020475
3208 2.1385799829
3587 2.4390243902
4768 2.4727992087
7526 2.5125628141
8352 2.6014568158
8723 2.7027027027
13074 2.7746947836
13486 2.8376844495
13904 2.9171528588
17039 3.0826140567
17848 3.1289111389
18258 3.1685678074
19841 3.2258064516
26168 3.3467202142
27333 3.5460992908
35655 3.6710719530
42376 3.7707390649
46734 4.0257648953
48328 4.0387722132
50692 4.0783034258
69337 4.1459369818
100188 3.8880248834
