evaluations raw_y
1 48.0000000000
2 50.0000000000
3 53.0000000000
8 64.0000000000
381 66.0000000000
491 67.0000000000
583 68.0000000000
681 69.0000000000
697 71.0000000000
2687 72.0000000000
2797 73.0000000000
3097 74.0000000000
3181 75.0000000000
3283 76.0000000000
3585 77.0000000000
3695 79.0000000000
4083 80.0000000000
4099 81.0000000000
4387 82.0000000000
4399 86.0000000000
10395 87.0000000000
13597 89.0000000000
14687 90.0000000000
14883 91.0000000000
100000 20.0000000000
evaluations raw_y
1 42.0000000000
2 48.0000000000
3 52.0000000000
5 54.0000000000
8 59.0000000000
181 64.0000000000
287 65.0000000000
383 66.0000000000
493 68.0000000000
597 69.0000000000
689 72.0000000000
1191 74.0000000000
1281 76.0000000000
1695 78.0000000000
1893 80.0000000000
1897 82.0000000000
5589 84.0000000000
5799 85.0000000000
5989 86.0000000000
6095 88.0000000000
7197 90.0000000000
9397 91.0000000000
9793 92.0000000000
10095 93.0000000000
100000 19.0000000000
evaluations raw_y
1 56.0000000000
4 65.0000000000
85 69.0000000000
185 70.0000000000
393 73.0000000000
791 74.0000000000
887 75.0000000000
1283 76.0000000000
1393 77.0000000000
1693 78.0000000000
2197 80.0000000000
2287 81.0000000000
4191 82.0000000000
4485 84.0000000000
9391 85.0000000000
10595 86.0000000000
18797 87.0000000000
21285 88.0000000000
21485 91.0000000000
23199 92.0000000000
25083 93.0000000000
25391 95.0000000000
100000 15.0000000000
evaluations raw_y
1 54.0000000000
14 57.0000000000
81 58.0000000000
85 60.0000000000
287 63.0000000000
387 69.0000000000
481 70.0000000000
689 71.0000000000
793 72.0000000000
1491 73.0000000000
1783 74.0000000000
1889 75.0000000000
2087 77.0000000000
2189 78.0000000000
2489 79.0000000000
3083 80.0000000000
3185 83.0000000000
3387 84.0000000000
5485 85.0000000000
7095 87.0000000000
8783 89.0000000000
10081 90.0000000000
100000 21.0000000000
evaluations raw_y
1 43.0000000000
2 50.0000000000
10 55.0000000000
28 57.0000000000
52 60.0000000000
93 62.0000000000
187 64.0000000000
393 67.0000000000
789 68.0000000000
891 70.0000000000
1581 71.0000000000
1685 75.0000000000
1985 77.0000000000
1993 78.0000000000
2085 79.0000000000
2397 80.0000000000
2487 81.0000000000
2491 83.0000000000
2585 84.0000000000
5787 85.0000000000
7689 86.0000000000
9383 87.0000000000
34089 88.0000000000
35099 89.0000000000
38291 90.0000000000
100000 21.0000000000
evaluations raw_y
1 47.0000000000
2 48.0000000000
4 49.0000000000
10 54.0000000000
20 55.0000000000
89 56.0000000000
297 58.0000000000
391 59.0000000000
481 61.0000000000
487 62.0000000000
491 66.0000000000
683 67.0000000000
697 69.0000000000
781 73.0000000000
1099 75.0000000000
1381 76.0000000000
4195 77.0000000000
4881 80.0000000000
5581 81.0000000000
7095 82.0000000000
8199 83.0000000000
12885 84.0000000000
12895 85.0000000000
13089 86.0000000000
17591 88.0000000000
20691 89.0000000000
22199 91.0000000000
100000 17.0000000000
evaluations raw_y
1 54.0000000000
3 57.0000000000
89 58.0000000000
95 59.0000000000
181 60.0000000000
185 62.0000000000
295 63.0000000000
393 64.0000000000
481 66.0000000000
497 67.0000000000
581 70.0000000000
891 71.0000000000
1481 75.0000000000
1695 76.0000000000
4197 78.0000000000
4681 81.0000000000
9089 82.0000000000
9185 83.0000000000
9289 84.0000000000
9481 85.0000000000
13283 87.0000000000
23899 88.0000000000
53593 89.0000000000
53783 90.0000000000
56895 91.0000000000
57497 92.0000000000
99697 93.0000000000
100000 15.0000000000
evaluations raw_y
1 55.0000000000
11 56.0000000000
83 57.0000000000
185 58.0000000000
197 60.0000000000
285 63.0000000000
491 66.0000000000
681 67.0000000000
885 69.0000000000
981 70.0000000000
997 72.0000000000
2187 75.0000000000
2497 76.0000000000
2599 77.0000000000
2785 79.0000000000
3881 81.0000000000
4989 83.0000000000
7489 84.0000000000
8185 85.0000000000
8899 87.0000000000
9581 88.0000000000
17395 90.0000000000
80685 92.0000000000
100000 25.0000000000
evaluations raw_y
1 50.0000000000
2 65.0000000000
381 69.0000000000
1095 70.0000000000
1193 71.0000000000
1285 72.0000000000
1495 74.0000000000
1881 75.0000000000
1989 76.0000000000
2383 78.0000000000
2585 79.0000000000
2983 80.0000000000
6583 81.0000000000
7485 82.0000000000
8083 83.0000000000
8489 85.0000000000
9889 86.0000000000
9989 90.0000000000
60691 91.0000000000
98397 92.0000000000
100000 14.0000000000
evaluations raw_y
1 50.0000000000
2 55.0000000000
5 60.0000000000
83 64.0000000000
183 65.0000000000
289 69.0000000000
391 70.0000000000
781 72.0000000000
1091 73.0000000000
1183 76.0000000000
1591 77.0000000000
1793 78.0000000000
2681 81.0000000000
2987 82.0000000000
3099 84.0000000000
6985 85.0000000000
7889 87.0000000000
20493 89.0000000000
22799 91.0000000000
100000 21.0000000000
