evaluations raw_y
1 -1449.0000000000
3 -1410.0000000000
5 -1371.0000000000
6 -1196.0000000000
10 -1167.0000000000
20 -1069.0000000000
43 -1020.0000000000
397 -942.0000000000
425 -923.0000000000
815 -895.0000000000
1193 -787.0000000000
1197 -768.0000000000
1213 -739.0000000000
1591 -738.0000000000
1599 -632.0000000000
2379 -564.0000000000
2385 -554.0000000000
2775 -457.0000000000
2803 -448.0000000000
3191 -428.0000000000
3573 -418.0000000000
3583 -408.0000000000
3589 -350.0000000000
3961 -302.0000000000
4003 -273.0000000000
4375 -224.0000000000
5169 -215.0000000000
5545 -196.0000000000
5567 -157.0000000000
6369 -147.0000000000
6737 -119.0000000000
7147 -109.0000000000
7167 -99.0000000000
7537 -61.0000000000
8327 -51.0000000000
8733 -42.0000000000
9505 -22.0000000000
11493 -13.0000000000
13473 -12.0000000000
14681 -3.0000000000
17451 -2.0000000000
18237 6.0000000000
21393 7.0000000000
22211 8.0000000000
24197 9.0000000000
100188 -20.0000000000
evaluations raw_y
1 -1537.0000000000
3 -1420.0000000000
6 -1186.0000000000
26 -1147.0000000000
399 -1060.0000000000
411 -962.0000000000
793 -875.0000000000
805 -874.0000000000
823 -826.0000000000
1195 -816.0000000000
1207 -651.0000000000
1617 -485.0000000000
2385 -428.0000000000
2815 -417.0000000000
3169 -370.0000000000
3177 -359.0000000000
3205 -331.0000000000
3565 -291.0000000000
3587 -243.0000000000
3979 -235.0000000000
3983 -223.0000000000
4365 -187.0000000000
4385 -109.0000000000
4791 -70.0000000000
5549 -61.0000000000
5981 -51.0000000000
6337 -41.0000000000
6761 -32.0000000000
7133 -23.0000000000
7531 -14.0000000000
7943 -13.0000000000
8347 6.0000000000
9147 7.0000000000
19813 8.0000000000
25355 9.0000000000
100188 -2979.0000000000
evaluations raw_y
1 -1546.0000000000
2 -1020.0000000000
403 -729.0000000000
1593 -709.0000000000
1599 -680.0000000000
1605 -661.0000000000
1613 -651.0000000000
1983 -573.0000000000
2403 -524.0000000000
2417 -466.0000000000
2793 -437.0000000000
2811 -417.0000000000
3187 -408.0000000000
3579 -397.0000000000
3597 -330.0000000000
3977 -321.0000000000
4361 -291.0000000000
4773 -204.0000000000
5189 -176.0000000000
5191 -175.0000000000
5563 -147.0000000000
5951 -138.0000000000
6363 -100.0000000000
6747 -99.0000000000
7143 -90.0000000000
7537 -71.0000000000
7549 -51.0000000000
7945 -42.0000000000
8327 -32.0000000000
9121 -13.0000000000
10329 -4.0000000000
10707 5.0000000000
12701 6.0000000000
13861 7.0000000000
15077 8.0000000000
18259 9.0000000000
100188 -2891.0000000000
evaluations raw_y
1 -1332.0000000000
14 -1264.0000000000
15 -1205.0000000000
27 -1167.0000000000
29 -1059.0000000000
397 -1020.0000000000
421 -855.0000000000
807 -845.0000000000
831 -709.0000000000
1191 -670.0000000000
1211 -651.0000000000
1597 -650.0000000000
1627 -631.0000000000
1981 -621.0000000000
1983 -554.0000000000
2015 -485.0000000000
2401 -456.0000000000
2419 -447.0000000000
2795 -407.0000000000
3169 -398.0000000000
3175 -389.0000000000
3205 -311.0000000000
3963 -282.0000000000
3979 -272.0000000000
3981 -243.0000000000
4377 -185.0000000000
4783 -176.0000000000
5171 -146.0000000000
5561 -137.0000000000
5575 -108.0000000000
5951 -99.0000000000
5983 -89.0000000000
6361 -70.0000000000
6771 -61.0000000000
7131 -51.0000000000
7139 -50.0000000000
