evaluations raw_y
1 6.6000000000
4 7.8000000000
14 8.0000000000
21 8.4000000000
27 8.8000000000
415 9.2000000000
421 10.0000000000
1625 10.4000000000
2001 11.0000000000
2003 11.0000000000
2377 11.2000000000
2773 11.2000000000
3173 12.2000000000
3969 12.8000000000
3977 12.8000000000
4377 13.0000000000
4789 13.2000000000
5169 13.2000000000
5171 13.4000000000
5567 13.4000000000
6347 13.6000000000
6377 14.2000000000
7167 14.2000000000
7541 14.4000000000
7947 14.6000000000
8715 14.6000000000
9115 15.0000000000
9527 15.0000000000
10303 15.2000000000
11095 15.6000000000
12673 15.6000000000
13071 16.0000000000
13489 16.2000000000
13490 17.4000000000
14278 17.4000000000
14655 18.4000000000
17051 18.6000000000
18637 18.8000000000
21785 19.0000000000
39245 19.0000000000
100188 17.8000000000
evaluations raw_y
1 5.6000000000
2 6.4000000000
3 7.4000000000
4 7.6000000000
7 8.8000000000
397 9.0000000000
402 9.0000000000
823 9.4000000000
825 10.6000000000
831 10.6000000000
1209 11.0000000000
1601 11.4000000000
2021 11.6000000000
2397 12.0000000000
2779 12.6000000000
3183 13.0000000000
3603 13.0000000000
3985 13.2000000000
4757 13.4000000000
5545 13.6000000000
5579 13.8000000000
6337 14.0000000000
6747 14.0000000000
7543 14.2000000000
8329 14.4000000000
8729 14.6000000000
9127 14.8000000000
9141 15.0000000000
9514 15.2000000000
10318 15.4000000000
10336 16.0000000000
11132 16.2000000000
11895 16.2000000000
12277 16.4000000000
12703 17.4000000000
13099 17.6000000000
13875 17.8000000000
14693 18.0000000000
17833 18.2000000000
22603 18.2000000000
22969 18.4000000000
23793 18.8000000000
26535 19.0000000000
32483 19.2000000000
100188 15.8000000000
evaluations raw_y
1 6.8000000000
2 8.6000000000
24 8.8000000000
404 9.0000000000
813 9.6000000000
1195 10.2000000000
1999 10.2000000000
2005 11.2000000000
2403 11.4000000000
3181 11.6000000000
3197 11.6000000000
3977 12.0000000000
3999 12.0000000000
4385 12.2000000000
4767 12.6000000000
5547 13.0000000000
5561 13.2000000000
5947 13.4000000000
5973 13.4000000000
6775 13.6000000000
7141 13.8000000000
7951 14.0000000000
