evaluations raw_y
1 -0.5154418062
2 -0.4862204750
5 -0.4653551316
429 -0.4156225201
1627 -0.4067634029
1995 -0.3972868632
2381 -0.3934009436
2797 -0.3932643875
2801 -0.3857713716
2807 -0.3786031718
3181 -0.3731093283
3203 -0.3722523246
3605 -0.3701040439
3973 -0.3698060128
4003 -0.3695475156
4365 -0.3694571771
4373 -0.3681513989
4763 -0.3671479547
4795 -0.3633824040
5545 -0.3502993757
6341 -0.3449488878
6733 -0.3406746116
7147 -0.3394770181
7169 -0.3366408440
7535 -0.3334670645
7557 -0.3333993224
7563 -0.3309428049
7921 -0.3297619578
8323 -0.3277759352
8329 -0.3244638185
8355 -0.3224551740
8727 -0.3204487913
8755 -0.3182559844
9543 -0.3134736247
10711 -0.3079255439
12311 -0.3076730480
13097 -0.3053058308
14685 -0.3046097799
15483 -0.3045648134
16275 -0.3043247717
18233 -0.3040259373
19841 -0.3038767051
20593 -0.3026464149
21817 -0.3026051968
22191 -0.3008434625
22597 -0.3000811648
25757 -0.2999165580
34059 -0.2986440966
38443 -0.2985870338
40819 -0.2973155254
100188 -0.3148039307
evaluations raw_y
1 -0.5045271120
2 -0.4909531104
4 -0.4743646228
5 -0.4683049620
35 -0.4522068459
407 -0.4330303856
811 -0.4304820523
1193 -0.4302735640
1593 -0.4194817403
2003 -0.4180200432
2403 -0.4178806037
2413 -0.4099547481
2773 -0.4036264092
3205 -0.3972188084
3565 -0.3963497053
3599 -0.3950962759
3961 -0.3914586234
3987 -0.3896490267
4377 -0.3757250187
4753 -0.3717028598
4785 -0.3687139689
5163 -0.3679121279
5549 -0.3645785567
5941 -0.3641204430
5945 -0.3574392372
7951 -0.3568207476
8321 -0.3545758001
8717 -0.3513168820
8735 -0.3511253085
8749 -0.3510006737
9119 -0.3490690229
9123 -0.3483067252
9507 -0.3462199944
9509 -0.3438577833
9543 -0.3433527366
9905 -0.3412660058
10311 -0.3403609019
11125 -0.3395590609
11513 -0.3367223722
11903 -0.3360688071
11907 -0.3349194198
11913 -0.3341175788
12279 -0.3317914636
13071 -0.3316669370
13087 -0.3272775760
13899 -0.3269799321
14675 -0.3246624680
15081 -0.3231196096
15845 -0.3199774306
