evaluations raw_y
1 1.0000000000
6 3.0000000000
16 4.0000000000
25 5.0000000000
401 7.0000000000
405 9.0000000000
3597 10.0000000000
4393 21.0000000000
7945 25.0000000000
11521 27.0000000000
19405 28.0000000000
20209 29.0000000000
22993 30.0000000000
27365 33.0000000000
28535 34.0000000000
30131 35.0000000000
31309 36.0000000000
31683 37.0000000000
34067 38.0000000000
34855 39.0000000000
36065 43.0000000000
38039 44.0000000000
42399 45.0000000000
42793 46.0000000000
51487 49.0000000000
55083 50.0000000000
58217 52.0000000000
58617 54.0000000000
59011 55.0000000000
62193 59.0000000000
68127 61.0000000000
82399 62.0000000000
83193 63.0000000000
85559 64.0000000000
89141 66.0000000000
89501 67.0000000000
95043 68.0000000000
95845 72.0000000000
100188 72.0000000000
evaluations raw_y
1 0.0000000000
6 1.0000000000
7 2.0000000000
14 9.0000000000
3177 11.0000000000
5163 14.0000000000
9127 16.0000000000
15467 19.0000000000
18649 20.0000000000
20625 23.0000000000
26167 24.0000000000
32887 25.0000000000
35673 26.0000000000
41979 27.0000000000
43197 28.0000000000
44355 29.0000000000
44783 33.0000000000
51111 34.0000000000
51879 37.0000000000
55461 38.0000000000
55845 41.0000000000
56663 42.0000000000
57445 43.0000000000
58219 46.0000000000
60609 47.0000000000
61395 48.0000000000
61423 49.0000000000
74851 51.0000000000
81191 52.0000000000
83993 53.0000000000
86361 54.0000000000
92297 56.0000000000
92667 57.0000000000
100188 0.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
3 4.0000000000
39 11.0000000000
1219 15.0000000000
1605 17.0000000000
3961 18.0000000000
4397 20.0000000000
5165 21.0000000000
7551 26.0000000000
8317 28.0000000000
9923 32.0000000000
10321 34.0000000000
10337 36.0000000000
13071 37.0000000000
15465 39.0000000000
15879 40.0000000000
19037 42.0000000000
30111 47.0000000000
33681 52.0000000000
34849 53.0000000000
39643 56.0000000000
42389 57.0000000000
46771 58.0000000000
47167 61.0000000000
49519 62.0000000000
55065 67.0000000000
58615 69.0000000000
62597 70.0000000000
63789 74.0000000000
64957 75.0000000000
70925 77.0000000000
72865 79.0000000000
77255 82.0000000000
82003 83.0000000000
89913 84.0000000000
100188 0.0000000000
evaluations raw_y
1 0.0000000000
4 1.0000000000
13 2.0000000000
27 3.0000000000
413 4.0000000000
1623 5.0000000000
2813 6.0000000000
3199 7.0000000000
3585 8.0000000000
5157 18.0000000000
5973 25.0000000000
9541 26.0000000000
12681 27.0000000000
15447 28.0000000000
15869 30.0000000000
23791 35.0000000000
30513 37.0000000000
32879 43.0000000000
34065 50.0000000000
43197 51.0000000000
43591 53.0000000000
47141 54.0000000000
49911 58.0000000000
55081 60.0000000000
61005 65.0000000000
67725 68.0000000000
74469 70.0000000000
74873 76.0000000000
79995 77.0000000000
82789 79.0000000000
90293 80.0000000000
95075 81.0000000000
100188 0.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
6 2.0000000000
8 3.0000000000
2419 4.0000000000
2781 8.0000000000
5177 9.0000000000
7161 11.0000000000
10313 12.0000000000
14655 14.0000000000
15849 15.0000000000
16245 16.0000000000
17055 20.0000000000
18639 21.0000000000
23389 22.0000000000
26543 23.0000000000
27743 24.0000000000
35253 25.0000000000
36851 26.0000000000
38439 29.0000000000
40007 30.0000000000
43973 32.0000000000
46733 33.0000000000
46765 36.0000000000
49907 37.0000000000
50309 38.0000000000
50709 39.0000000000
56265 41.0000000000
58641 43.0000000000
60611 45.0000000000
62969 46.0000000000
70129 47.0000000000
70525 51.0000000000
72487 53.0000000000
77655 56.0000000000
81589 59.0000000000
82009 60.0000000000
82411 61.0000000000
84377 67.0000000000
87551 68.0000000000
89507 72.0000000000
89897 79.0000000000
91897 80.0000000000
94259 81.0000000000
100188 0.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
6 2.0000000000
7 3.0000000000
39 4.0000000000
399 8.0000000000
1193 10.0000000000
2793 12.0000000000
