evaluations raw_y
1 2456.0000000000
2 2493.0000000000
3 2564.0000000000
4 2810.0000000000
6 2837.0000000000
33 2877.0000000000
405 2917.0000000000
407 3132.0000000000
411 3169.0000000000
433 3207.0000000000
795 3273.0000000000
1219 3419.0000000000
1595 3627.0000000000
1989 3666.0000000000
1991 3800.0000000000
2413 3814.0000000000
2803 3927.0000000000
3169 4018.0000000000
3587 4022.0000000000
3973 4236.0000000000
4375 4246.0000000000
4757 4307.0000000000
5181 4321.0000000000
5551 4489.0000000000
6739 4509.0000000000
6755 4527.0000000000
6761 4546.0000000000
7161 4583.0000000000
7165 4612.0000000000
7557 4640.0000000000
7925 4686.0000000000
7949 4691.0000000000
7959 4721.0000000000
8327 4736.0000000000
8353 4742.0000000000
8725 4798.0000000000
9129 4808.0000000000
9535 4869.0000000000
9537 4874.0000000000
10313 4881.0000000000
10699 4905.0000000000
11485 4913.0000000000
11881 4916.0000000000
11897 4920.0000000000
11907 4921.0000000000
12693 4947.0000000000
14659 4958.0000000000
15085 4971.0000000000
16641 4977.0000000000
17443 4986.0000000000
17843 5001.0000000000
19843 5004.0000000000
20235 5010.0000000000
23803 5013.0000000000
24157 5019.0000000000
24975 5020.0000000000
25357 5024.0000000000
26143 5033.0000000000
28939 5042.0000000000
30521 5046.0000000000
32101 5047.0000000000
33287 5049.0000000000
33661 5050.0000000000
100188 4983.0000000000
evaluations raw_y
1 2070.0000000000
2 3039.0000000000
9 3280.0000000000
405 3435.0000000000
423 3516.0000000000
819 3537.0000000000
835 3629.0000000000
1189 3784.0000000000
1593 3824.0000000000
1595 3912.0000000000
2015 3985.0000000000
2387 4017.0000000000
2803 4051.0000000000
3177 4165.0000000000
3579 4243.0000000000
3583 4271.0000000000
3981 4325.0000000000
4383 4406.0000000000
4755 4460.0000000000
5153 4502.0000000000
5565 4509.0000000000
5941 4563.0000000000
6337 4566.0000000000
6739 4583.0000000000
6749 4667.0000000000
7135 4669.0000000000
7565 4697.0000000000
7955 4714.0000000000
8321 4762.0000000000
8333 4770.0000000000
8715 4784.0000000000
8725 4806.0000000000
9915 4847.0000000000
10297 4855.0000000000
11091 4880.0000000000
11905 4881.0000000000
12317 4885.0000000000
13099 4893.0000000000
13475 4897.0000000000
13503 4898.0000000000
13871 4938.0000000000
14259 4959.0000000000
15091 4971.0000000000
16255 4982.0000000000
19027 5028.0000000000
24561 5043.0000000000
28123 5044.0000000000
40417 5050.0000000000
100188 123.0000000000
evaluations raw_y
1 2306.0000000000
2 2692.0000000000
8 2986.0000000000
12 3174.0000000000
399 3178.0000000000
415 3209.0000000000
425 3384.0000000000
807 3434.0000000000
1189 3475.0000000000
1195 3489.0000000000
1199 3661.0000000000
1587 3931.0000000000
2397 3967.0000000000
2775 3978.0000000000
2779 4165.0000000000
3173 4247.0000000000
3191 4260.0000000000
3565 4267.0000000000
3969 4313.0000000000
3981 4362.0000000000
4367 4371.0000000000
4381 4382.0000000000
4391 4403.0000000000
