evaluations raw_y
1 56.0000000000
209 57.0000000000
312 58.0000000000
413 59.0000000000
515 60.0000000000
616 61.0000000000
718 62.0000000000
821 63.0000000000
922 64.0000000000
1028 65.0000000000
1129 66.0000000000
1230 67.0000000000
1331 68.0000000000
1432 69.0000000000
1533 70.0000000000
1634 71.0000000000
1739 72.0000000000
1840 73.0000000000
1942 74.0000000000
2050 75.0000000000
2153 76.0000000000
2256 77.0000000000
2358 78.0000000000
2459 79.0000000000
2560 80.0000000000
2662 81.0000000000
2763 82.0000000000
2864 83.0000000000
2965 84.0000000000
3067 85.0000000000
3168 86.0000000000
3270 87.0000000000
3374 88.0000000000
3475 89.0000000000
3576 90.0000000000
3677 91.0000000000
3783 92.0000000000
3885 93.0000000000
3989 94.0000000000
4091 95.0000000000
4192 96.0000000000
4296 97.0000000000
4397 98.0000000000
4498 99.0000000000
4602 100.0000000000
100621 99.0000000000
evaluations raw_y
1 59.0000000000
2 63.0000000000
5 64.0000000000
107 65.0000000000
208 66.0000000000
315 67.0000000000
418 68.0000000000
519 69.0000000000
621 70.0000000000
722 71.0000000000
825 72.0000000000
936 73.0000000000
1037 74.0000000000
1138 75.0000000000
1245 76.0000000000
1346 77.0000000000
1450 78.0000000000
1551 79.0000000000
1652 80.0000000000
1754 81.0000000000
1855 82.0000000000
1956 83.0000000000
2058 84.0000000000
2159 85.0000000000
2260 86.0000000000
2361 87.0000000000
2465 88.0000000000
2570 89.0000000000
2674 90.0000000000
2779 91.0000000000
2883 92.0000000000
2984 93.0000000000
3088 94.0000000000
3190 95.0000000000
3293 96.0000000000
3395 97.0000000000
3497 98.0000000000
3600 99.0000000000
3702 100.0000000000
102421 99.0000000000
evaluations raw_y
1 47.0000000000
208 48.0000000000
312 49.0000000000
413 50.0000000000
514 51.0000000000
618 52.0000000000
719 53.0000000000
822 54.0000000000
923 55.0000000000
1026 56.0000000000
1127 57.0000000000
1228 58.0000000000
1329 59.0000000000
1430 60.0000000000
1532 61.0000000000
1633 62.0000000000
1736 63.0000000000
1837 64.0000000000
1938 65.0000000000
2040 66.0000000000
2144 67.0000000000
2245 68.0000000000
2347 69.0000000000
2448 70.0000000000
2549 71.0000000000
2650 72.0000000000
2751 73.0000000000
2852 74.0000000000
2954 75.0000000000
3056 76.0000000000
3159 77.0000000000
3260 78.0000000000
3362 79.0000000000
3463 80.0000000000
3568 81.0000000000
3669 82.0000000000
3772 83.0000000000
3873 84.0000000000
3974 85.0000000000
4076 86.0000000000
4177 87.0000000000
4278 88.0000000000
4380 89.0000000000
4482 90.0000000000
4583 91.0000000000
4685 92.0000000000
4787 93.0000000000
4888 94.0000000000
4989 95.0000000000
5091 96.0000000000
5193 97.0000000000
5295 98.0000000000
5396 99.0000000000
5499 100.0000000000
102021 99.0000000000
evaluations raw_y
1 54.0000000000
618 55.0000000000
719 56.0000000000
822 57.0000000000
925 58.0000000000
1029 59.0000000000
1130 60.0000000000
1231 61.0000000000
1332 62.0000000000
1433 63.0000000000
1534 64.0000000000
1636 65.0000000000
1737 66.0000000000
1839 67.0000000000
1941 68.0000000000
2042 69.0000000000
2143 70.0000000000
2245 71.0000000000
2347 72.0000000000
2450 73.0000000000
2552 74.0000000000
2653 75.0000000000
2754 76.0000000000
2856 77.0000000000
2958 78.0000000000
3059 79.0000000000
3160 80.0000000000
3261 81.0000000000
3363 82.0000000000
3464 83.0000000000
3566 84.0000000000
3667 85.0000000000
3768 86.0000000000
3871 87.0000000000
3973 88.0000000000
4074 89.0000000000
4175 90.0000000000
4278 91.0000000000
4381 92.0000000000
4483 93.0000000000
4586 94.0000000000
4687 95.0000000000
4788 96.0000000000
4891 97.0000000000
4994 98.0000000000
5097 99.0000000000
5199 100.0000000000
102021 99.0000000000
evaluations raw_y
1 51.0000000000
104 52.0000000000
212 53.0000000000
313 54.0000000000
415 55.0000000000
516 56.0000000000
617 57.0000000000
720 58.0000000000
821 59.0000000000
922 60.0000000000
1025 61.0000000000
1127 62.0000000000
1228 63.0000000000
1329 64.0000000000
