evaluations raw_y
1 0.0000000000
2 3.0000000000
6 6.0000000000
109 7.0000000000
210 10.0000000000
313 11.0000000000
414 12.0000000000
515 16.0000000000
619 19.0000000000
722 20.0000000000
823 24.0000000000
927 25.0000000000
1028 30.0000000000
1133 33.0000000000
1236 36.0000000000
1339 37.0000000000
1440 38.0000000000
1541 40.0000000000
1643 43.0000000000
1746 45.0000000000
1848 46.0000000000
1949 48.0000000000
2051 49.0000000000
2152 53.0000000000
2256 55.0000000000
2358 60.0000000000
2463 64.0000000000
2567 65.0000000000
2668 68.0000000000
2771 69.0000000000
2872 72.0000000000
2975 74.0000000000
3077 75.0000000000
3178 76.0000000000
3279 79.0000000000
3382 80.0000000000
3483 81.0000000000
3584 83.0000000000
3686 84.0000000000
3787 85.0000000000
3888 88.0000000000
3991 90.0000000000
4093 92.0000000000
4195 94.0000000000
4297 100.0000000000
100000 48.0000000000
evaluations raw_y
1 1.0000000000
3 3.0000000000
106 4.0000000000
207 5.0000000000
308 6.0000000000
409 8.0000000000
511 9.0000000000
612 10.0000000000
713 12.0000000000
815 14.0000000000
917 16.0000000000
1019 17.0000000000
1120 20.0000000000
1223 21.0000000000
1324 25.0000000000
1428 26.0000000000
1529 27.0000000000
1630 30.0000000000
1733 31.0000000000
1834 34.0000000000
1937 35.0000000000
2038 36.0000000000
2139 40.0000000000
2243 42.0000000000
2345 43.0000000000
2446 44.0000000000
2547 46.0000000000
2649 49.0000000000
2752 52.0000000000
2855 53.0000000000
2956 55.0000000000
3058 56.0000000000
3159 58.0000000000
3261 59.0000000000
3362 60.0000000000
3463 62.0000000000
3565 64.0000000000
3667 67.0000000000
3770 69.0000000000
3872 71.0000000000
3974 73.0000000000
4076 75.0000000000
4178 79.0000000000
4282 82.0000000000
4385 83.0000000000
4486 87.0000000000
4590 89.0000000000
4692 90.0000000000
4793 94.0000000000
4897 95.0000000000
4998 96.0000000000
5099 98.0000000000
5201 99.0000000000
5302 100.0000000000
100000 78.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
5 8.0000000000
111 11.0000000000
214 12.0000000000
315 13.0000000000
416 14.0000000000
517 16.0000000000
619 18.0000000000
721 19.0000000000
822 20.0000000000
923 23.0000000000
1026 24.0000000000
1127 25.0000000000
1228 28.0000000000
1331 29.0000000000
1432 31.0000000000
1534 32.0000000000
1635 33.0000000000
1736 34.0000000000
1837 35.0000000000
1938 36.0000000000
2039 41.0000000000
2144 42.0000000000
2245 45.0000000000
2348 47.0000000000
2450 48.0000000000
2551 49.0000000000
2652 50.0000000000
2753 52.0000000000
2855 53.0000000000
2956 59.0000000000
3062 61.0000000000
3164 63.0000000000
3266 66.0000000000
3369 67.0000000000
3470 69.0000000000
3572 70.0000000000
3673 73.0000000000
3776 80.0000000000
3883 81.0000000000
3984 82.0000000000
4085 85.0000000000
4188 87.0000000000
4290 88.0000000000
4391 90.0000000000
4493 91.0000000000
4594 93.0000000000
4696 98.0000000000
4801 99.0000000000
4902 100.0000000000
100000 51.0000000000
evaluations raw_y
1 5.0000000000
308 6.0000000000
409 7.0000000000
510 9.0000000000
612 11.0000000000
714 12.0000000000
815 13.0000000000
916 21.0000000000
1024 22.0000000000
1125 23.0000000000
1226 26.0000000000
1329 28.0000000000
1431 31.0000000000
1534 32.0000000000
1635 34.0000000000
1737 36.0000000000
1839 39.0000000000
1942 43.0000000000
2046 45.0000000000
2148 46.0000000000
2249 50.0000000000
2353 51.0000000000
2454 53.0000000000
2556 54.0000000000
2657 56.0000000000
2759 58.0000000000
2861 60.0000000000
2963 61.0000000000
3064 62.0000000000
3165 64.0000000000
3267 66.0000000000
3369 67.0000000000
3470 68.0000000000
3571 69.0000000000
3672 75.0000000000
3778 77.0000000000
3880 78.0000000000
3981 79.0000000000
4082 81.0000000000
4184 82.0000000000
4285 83.0000000000
4386 84.0000000000
4487 88.0000000000
4591 89.0000000000
4692 90.0000000000
4793 91.0000000000
4894 93.0000000000
4996 94.0000000000
5097 96.0000000000
5199 100.0000000000
100000 52.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
4 4.0000000000
107 6.0000000000
209 7.0000000000
310 8.0000000000
411 10.0000000000
513 11.0000000000
614 12.0000000000
715 13.0000000000
816 14.0000000000
917 16.0000000000
1019 17.0000000000
1120 20.0000000000
1223 21.0000000000
1324 22.0000000000
1425 23.0000000000
1526 24.0000000000
1627 25.0000000000
1728 28.0000000000
1831 34.0000000000
1937 35.0000000000
2038 36.0000000000
2139 38.0000000000
2241 39.0000000000
2342 40.0000000000
2443 44.0000000000
2547 46.0000000000
2649 48.0000000000
2751 49.0000000000
2852 50.0000000000
2953 51.0000000000
3054 52.0000000000
3155 53.0000000000
3256 55.0000000000
3358 58.0000000000
3461 59.0000000000
3562 60.0000000000
3663 64.0000000000
3767 65.0000000000
3868 67.0000000000
3970 68.0000000000
4071 70.0000000000
4173 72.0000000000
4275 73.0000000000
4376 75.0000000000
4478 77.0000000000
4580 79.0000000000
4682 85.0000000000
4788 86.0000000000
4889 89.0000000000
4992 92.0000000000
5095 93.0000000000
5196 96.0000000000
5299 97.0000000000
5400 98.0000000000
5501 99.0000000000
5602 100.0000000000
100000 52.0000000000
evaluations raw_y
1 2.0000000000
4 3.0000000000
106 5.0000000000
208 6.0000000000
309 7.0000000000
410 8.0000000000
511 9.0000000000
612 10.0000000000
713 11.0000000000
814 13.0000000000
916 14.0000000000
1017 15.0000000000
1118 16.0000000000
1219 17.0000000000
1320 18.0000000000
1421 19.0000000000
1522 24.0000000000
1627 25.0000000000
1728 26.0000000000
1829 27.0000000000
1930 28.0000000000
2031 31.0000000000
2134 37.0000000000
2240 38.0000000000
2341 39.0000000000
2442 40.0000000000
2543 41.0000000000
2644 43.0000000000
2746 44.0000000000
2847 48.0000000000
2951 49.0000000000
3052 51.0000000000
3154 59.0000000000
3262 60.0000000000
3363 61.0000000000
3464 62.0000000000
3565 66.0000000000
3669 68.0000000000
3771 71.0000000000
3874 72.0000000000
3975 73.0000000000
4076 74.0000000000
4177 77.0000000000
4280 78.0000000000
4381 82.0000000000
4485 83.0000000000
4586 85.0000000000
4688 86.0000000000
4789 88.0000000000
4891 94.0000000000
4997 96.0000000000
5099 98.0000000000
5201 99.0000000000
5302 100.0000000000
100000 51.0000000000
evaluations raw_y
1 1.0000000000
2 7.0000000000
10 10.0000000000
113 11.0000000000
214 12.0000000000
315 13.0000000000
416 14.0000000000
517 16.0000000000
619 18.0000000000
721 20.0000000000
823 21.0000000000
924 24.0000000000
1027 26.0000000000
1129 28.0000000000
1231 29.0000000000
1332 31.0000000000
1434 33.0000000000
1536 35.0000000000
1638 36.0000000000
1739 37.0000000000
1840 41.0000000000
1944 42.0000000000
2045 46.0000000000
2149 47.0000000000
2250 48.0000000000
2351 49.0000000000
2452 51.0000000000
2554 52.0000000000
2655 55.0000000000
2758 56.0000000000
2859 58.0000000000
2961 60.0000000000
3063 63.0000000000
3166 64.0000000000
3267 66.0000000000
3369 68.0000000000
3471 70.0000000000
3573 73.0000000000
3676 74.0000000000
3777 79.0000000000
3882 80.0000000000
3983 82.0000000000
4085 83.0000000000
4186 85.0000000000
4288 87.0000000000
4390 88.0000000000
4491 90.0000000000
4593 95.0000000000
4698 99.0000000000
4802 100.0000000000
100000 32.0000000000
evaluations raw_y
1 0.0000000000
3 3.0000000000
106 4.0000000000
207 5.0000000000
308 6.0000000000
409 8.0000000000
511 13.0000000000
616 15.0000000000
718 18.0000000000
821 19.0000000000
922 20.0000000000
1023 21.0000000000
1124 22.0000000000
1225 25.0000000000
1328 26.0000000000
1429 29.0000000000
1532 30.0000000000
1633 34.0000000000
1737 37.0000000000
1840 41.0000000000
1944 45.0000000000
2048 46.0000000000
2149 47.0000000000
2250 50.0000000000
2353 52.0000000000
2455 53.0000000000
2556 54.0000000000
2657 55.0000000000
2758 57.0000000000
2860 58.0000000000
2961 59.0000000000
3062 62.0000000000
3165 64.0000000000
3267 65.0000000000
3368 66.0000000000
3469 68.0000000000
3571 70.0000000000
3673 72.0000000000
3775 76.0000000000
3879 77.0000000000
3980 78.0000000000
4081 79.0000000000
4182 81.0000000000
4284 83.0000000000
4386 89.0000000000
4492 91.0000000000
4594 92.0000000000
4695 94.0000000000
4797 95.0000000000
4898 96.0000000000
4999 100.0000000000
100000 79.0000000000
evaluations raw_y
1 1.0000000000
104 2.0000000000
205 3.0000000000
306 7.0000000000
410 13.0000000000
516 14.0000000000
617 18.0000000000
