evaluations raw_y
1 48.0000000000
2 56.0000000000
20 63.0000000000
48 64.0000000000
453 65.0000000000
601 68.0000000000
10297 70.0000000000
10802 71.0000000000
94999 72.0000000000
100000 51.0000000000
evaluations raw_y
1 52.0000000000
3 53.0000000000
4 54.0000000000
20 57.0000000000
34 61.0000000000
51 62.0000000000
97 63.0000000000
212 67.0000000000
558 68.0000000000
13454 70.0000000000
17926 71.0000000000
100000 43.0000000000
evaluations raw_y
1 54.0000000000
4 57.0000000000
19 59.0000000000
28 61.0000000000
138 62.0000000000
184 64.0000000000
3054 68.0000000000
49652 71.0000000000
62576 72.0000000000
100000 45.0000000000
evaluations raw_y
1 48.0000000000
3 52.0000000000
6 53.0000000000
7 55.0000000000
19 57.0000000000
40 59.0000000000
89 64.0000000000
924 68.0000000000
5361 79.0000000000
100000 48.0000000000
evaluations raw_y
1 45.0000000000
2 51.0000000000
4 58.0000000000
16 60.0000000000
49 62.0000000000
138 64.0000000000
419 67.0000000000
24795 69.0000000000
32479 71.0000000000
100000 65.0000000000
evaluations raw_y
1 55.0000000000
5 56.0000000000
19 59.0000000000
35 64.0000000000
928 69.0000000000
27081 71.0000000000
49017 73.0000000000
100000 53.0000000000
evaluations raw_y
1 57.0000000000
34 60.0000000000
72 61.0000000000
241 66.0000000000
7846 67.0000000000
11368 76.0000000000
100000 53.0000000000
evaluations raw_y
1 53.0000000000
4 59.0000000000
8 60.0000000000
9 61.0000000000
78 62.0000000000
273 63.0000000000
294 67.0000000000
8645 68.0000000000
19966 69.0000000000
47359 72.0000000000
100000 49.0000000000
evaluations raw_y
1 46.0000000000
2 53.0000000000
13 57.0000000000
30 59.0000000000
74 60.0000000000
170 61.0000000000
217 62.0000000000
465 63.0000000000
490 65.0000000000
2228 68.0000000000
19723 69.0000000000
81661 72.0000000000
100000 49.0000000000
evaluations raw_y
1 48.0000000000
2 53.0000000000
7 61.0000000000
211 63.0000000000
356 65.0000000000
994 66.0000000000
2005 67.0000000000
10699 68.0000000000
16640 70.0000000000
100000 44.0000000000
