evaluations raw_y
1 0.0000000000
2 1.0000000000
10 2.0000000000
14 7.0000000000
71 11.0000000000
18716 13.0000000000
20465 14.0000000000
36539 16.0000000000
61126 19.0000000000
65083 20.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
3 3.0000000000
4 4.0000000000
10 8.0000000000
433 14.0000000000
64544 15.0000000000
72565 16.0000000000
100000 1.0000000000
evaluations raw_y
1 2.0000000000
4 3.0000000000
101 4.0000000000
127 5.0000000000
148 7.0000000000
1114 9.0000000000
1333 10.0000000000
6058 11.0000000000
8196 12.0000000000
12097 13.0000000000
16710 15.0000000000
37323 16.0000000000
41941 17.0000000000
100000 1.0000000000
evaluations raw_y
1 2.0000000000
2 3.0000000000
55 7.0000000000
465 8.0000000000
562 12.0000000000
12807 13.0000000000
28091 14.0000000000
38045 15.0000000000
90433 16.0000000000
100000 1.0000000000
evaluations raw_y
1 1.0000000000
5 2.0000000000
12 3.0000000000
35 5.0000000000
46 6.0000000000
58 7.0000000000
132 8.0000000000
429 10.0000000000
2102 11.0000000000
2567 13.0000000000
15817 14.0000000000
98868 17.0000000000
100000 1.0000000000
evaluations raw_y
1 1.0000000000
4 2.0000000000
7 6.0000000000
26 7.0000000000
27 9.0000000000
2632 10.0000000000
5636 11.0000000000
13842 13.0000000000
36936 14.0000000000
69459 15.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
32 5.0000000000
60 7.0000000000
84 10.0000000000
4286 11.0000000000
5157 13.0000000000
43725 16.0000000000
47251 22.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
6 2.0000000000
18 3.0000000000
24 5.0000000000
38 6.0000000000
222 7.0000000000
571 9.0000000000
641 10.0000000000
1476 11.0000000000
4689 12.0000000000
11869 14.0000000000
25474 16.0000000000
46818 17.0000000000
100000 1.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
5 8.0000000000
440 10.0000000000
2382 12.0000000000
2879 13.0000000000
30825 17.0000000000
100000 0.0000000000
evaluations raw_y
1 1.0000000000
4 3.0000000000
9 9.0000000000
1571 11.0000000000
33766 12.0000000000
35201 14.0000000000
100000 2.0000000000
