evaluations raw_y
1 27.0000000000
2 28.0000000000
6 33.0000000000
136 36.0000000000
8906 37.0000000000
10226 38.0000000000
35922 39.0000000000
87481 40.0000000000
125000 26.0000000000
evaluations raw_y
1 26.0000000000
8 28.0000000000
15 34.0000000000
23 36.0000000000
1145 37.0000000000
2582 38.0000000000
44952 39.0000000000
115747 40.0000000000
125000 25.0000000000
evaluations raw_y
1 24.0000000000
2 32.0000000000
26 35.0000000000
169 36.0000000000
1986 37.0000000000
6887 38.0000000000
23837 39.0000000000
125000 18.0000000000
evaluations raw_y
1 24.0000000000
2 29.0000000000
9 33.0000000000
63 36.0000000000
1697 38.0000000000
9615 39.0000000000
27613 41.0000000000
125000 22.0000000000
evaluations raw_y
1 27.0000000000
7 28.0000000000
8 29.0000000000
16 30.0000000000
49 33.0000000000
134 35.0000000000
892 36.0000000000
3967 37.0000000000
13828 38.0000000000
90208 39.0000000000
125000 26.0000000000
evaluations raw_y
1 26.0000000000
2 29.0000000000
4 30.0000000000
10 33.0000000000
55 34.0000000000
135 36.0000000000
2127 37.0000000000
2846 38.0000000000
45073 39.0000000000
125000 27.0000000000
evaluations raw_y
1 26.0000000000
3 29.0000000000
22 30.0000000000
30 35.0000000000
47 36.0000000000
4152 37.0000000000
4557 38.0000000000
26334 41.0000000000
125000 24.0000000000
evaluations raw_y
1 25.0000000000
4 28.0000000000
11 30.0000000000
23 31.0000000000
41 33.0000000000
93 34.0000000000
207 35.0000000000
1196 36.0000000000
1623 37.0000000000
6065 40.0000000000
125000 14.0000000000
evaluations raw_y
1 24.0000000000
3 27.0000000000
14 30.0000000000
47 31.0000000000
59 33.0000000000
200 36.0000000000
2472 37.0000000000
13788 39.0000000000
125000 27.0000000000
evaluations raw_y
1 27.0000000000
11 29.0000000000
31 34.0000000000
306 35.0000000000
1770 36.0000000000
4576 37.0000000000
23203 41.0000000000
125000 23.0000000000
