evaluations raw_y
1 1.5006002401
12 1.5605493134
13 1.6087516088
81 1.6960651289
104 1.7146776406
113 1.8355359765
161 2.4366471735
1667 2.5562372188
2803 2.6427061311
25109 2.9976019185
98119 3.3156498674
125000 1.8796992481
evaluations raw_y
1 1.2195121951
7 1.8573551263
107 2.1079258010
315 2.2603978300
1219 2.3277467412
1882 2.8868360277
92900 3.1806615776
125000 1.1312217195
evaluations raw_y
1 0.9758001561
2 1.0271158587
4 1.1563367253
7 1.4723203769
9 1.5923566879
32 2.1968365554
114 2.4752475248
736 3.0562347188
10410 3.2467532468
83422 3.4626038781
125000 1.1563367253
evaluations raw_y
1 0.6645401382
2 0.8486082824
4 0.9238728751
5 1.0008006405
7 1.6087516088
9 1.7531556802
17 1.7934002869
45 1.8355359765
70 2.2935779817
733 2.3992322457
892 2.5987525988
3632 2.6881720430
16815 2.7839643653
17123 3.1806615776
31531 3.3875338753
89165 3.7091988131
125000 1.2794268168
evaluations raw_y
1 1.2794268168
3 1.5299877601
11 1.5923566879
19 1.7730496454
30 2.3277467412
41 2.3629489603
2195 2.5987525988
5272 2.6881720430
24047 2.8868360277
33193 2.9411764706
80866 3.3875338753
125000 0.7730364873
evaluations raw_y
1 0.5849321479
2 0.8440243079
3 1.0407993339
4 1.3935340022
8 1.4188422247
23 1.9025875190
191 2.0000000000
202 2.0525451560
383 2.1663778163
432 2.5150905433
4495 2.5987525988
8753 2.6427061311
14107 2.9411764706
41700 3.0562347188
125000 1.8355359765
evaluations raw_y
1 0.9184423218
2 1.7934002869
28 1.8573551263
91 1.9260400616
172 2.5150905433
696 3.1806615776
125000 1.0692899914
evaluations raw_y
1 1.1649580615
5 1.2588116818
6 1.7934002869
153 1.9747235387
176 2.0259319287
193 2.2603978300
803 2.5150905433
2854 2.5562372188
4000 3.1806615776
125000 1.6425755585
evaluations raw_y
1 1.3572204126
6 1.5151515152
8 1.5299877601
9 2.0525451560
93 2.1968365554
438 2.2281639929
501 2.5150905433
3070 2.5987525988
11168 2.8344671202
16288 2.9976019185
20878 3.1172069825
68914 3.1806615776
125000 1.0917030568
evaluations raw_y
1 1.6778523490
15 1.8573551263
24 2.0000000000
185 2.1079258010
433 2.1367521368
1131 2.5562372188
2530 2.6881720430
4159 2.7839643653
14065 3.3156498674
125000 1.3455328310
