evaluations raw_y
1 21.0000000000
2 23.0000000000
4 30.0000000000
9 31.0000000000
12 32.0000000000
185 33.0000000000
451 35.0000000000
459 37.0000000000
5087 38.0000000000
20052 39.0000000000
44207 41.0000000000
125000 28.0000000000
evaluations raw_y
1 23.0000000000
2 27.0000000000
12 36.0000000000
837 37.0000000000
27390 40.0000000000
125000 20.0000000000
evaluations raw_y
1 28.0000000000
10 31.0000000000
62 33.0000000000
377 34.0000000000
470 35.0000000000
3719 42.0000000000
125000 24.0000000000
evaluations raw_y
1 27.0000000000
4 29.0000000000
16 31.0000000000
33 32.0000000000
140 34.0000000000
562 36.0000000000
1234 38.0000000000
12789 40.0000000000
60883 41.0000000000
125000 23.0000000000
evaluations raw_y
1 23.0000000000
3 24.0000000000
7 25.0000000000
8 26.0000000000
11 28.0000000000
17 29.0000000000
22 30.0000000000
35 32.0000000000
84 33.0000000000
117 37.0000000000
2822 38.0000000000
7157 39.0000000000
96128 40.0000000000
125000 24.0000000000
evaluations raw_y
1 30.0000000000
30 31.0000000000
36 33.0000000000
223 35.0000000000
1898 37.0000000000
5140 40.0000000000
125000 15.0000000000
evaluations raw_y
1 23.0000000000
3 27.0000000000
6 28.0000000000
14 31.0000000000
15 32.0000000000
16 33.0000000000
41 35.0000000000
101 38.0000000000
22241 40.0000000000
125000 23.0000000000
evaluations raw_y
1 24.0000000000
2 27.0000000000
3 30.0000000000
15 32.0000000000
108 34.0000000000
572 35.0000000000
715 37.0000000000
24189 38.0000000000
30950 39.0000000000
61442 41.0000000000
125000 20.0000000000
evaluations raw_y
1 24.0000000000
2 29.0000000000
26 32.0000000000
98 35.0000000000
956 36.0000000000
3220 37.0000000000
4769 40.0000000000
125000 28.0000000000
evaluations raw_y
1 28.0000000000
19 32.0000000000
105 33.0000000000
155 35.0000000000
2997 38.0000000000
9646 41.0000000000
125000 24.0000000000
