evaluations raw_y
1 3.0000000000
26 4.0000000000
56 6.0000000000
162 9.0000000000
2068 10.0000000000
3060 13.0000000000
17687 14.0000000000
22388 17.0000000000
124048 19.0000000000
125000 1.0000000000
evaluations raw_y
1 1.0000000000
3 2.0000000000
11 3.0000000000
22 5.0000000000
295 7.0000000000
319 11.0000000000
3750 13.0000000000
21792 15.0000000000
58630 16.0000000000
109173 17.0000000000
125000 0.0000000000
evaluations raw_y
1 4.0000000000
3 6.0000000000
42 7.0000000000
117 10.0000000000
2335 15.0000000000
47117 16.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
3 4.0000000000
46 7.0000000000
320 8.0000000000
461 11.0000000000
718 12.0000000000
12020 13.0000000000
15516 15.0000000000
30369 16.0000000000
88552 18.0000000000
125000 4.0000000000
evaluations raw_y
1 4.0000000000
7 5.0000000000
103 8.0000000000
765 9.0000000000
2535 10.0000000000
6501 11.0000000000
7870 13.0000000000
15029 14.0000000000
43400 18.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
4 2.0000000000
7 6.0000000000
63 8.0000000000
319 10.0000000000
639 11.0000000000
888 14.0000000000
56615 17.0000000000
113066 19.0000000000
125000 1.0000000000
evaluations raw_y
1 1.0000000000
10 4.0000000000
137 10.0000000000
208 12.0000000000
7433 14.0000000000
40041 15.0000000000
63083 17.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
5 7.0000000000
58 9.0000000000
105 11.0000000000
3130 12.0000000000
4297 13.0000000000
17937 14.0000000000
91917 15.0000000000
125000 2.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
6 2.0000000000
7 3.0000000000
15 4.0000000000
49 5.0000000000
89 6.0000000000
148 7.0000000000
257 8.0000000000
319 9.0000000000
1445 11.0000000000
4942 15.0000000000
54258 17.0000000000
125000 4.0000000000
evaluations raw_y
1 1.0000000000
9 9.0000000000
347 10.0000000000
1843 15.0000000000
125000 0.0000000000
