evaluations raw_y
1 1.1916110582
4 1.2291052114
7 1.2690355330
12 1.3455328310
13 1.8796992481
17 1.9747235387
34 2.3629489603
940 2.5150905433
3112 2.6881720430
3811 3.1806615776
125000 0.9184423218
evaluations raw_y
1 0.9462528388
2 1.0766580534
4 1.4723203769
22 1.5923566879
35 1.7146776406
67 1.8142235123
97 2.2603978300
1214 2.2935779817
2076 2.4752475248
5365 3.0562347188
59569 3.6231884058
125000 1.0993843448
evaluations raw_y
1 1.0407993339
2 1.6960651289
13 1.7730496454
45 3.5410764873
26597 3.7091988131
125000 1.2195121951
evaluations raw_y
1 1.0271158587
2 1.2100677638
3 1.2291052114
7 1.7934002869
60 1.8355359765
69 2.3277467412
235 2.5150905433
1074 2.5987525988
1479 3.1172069825
112084 3.2467532468
125000 1.3340448239
evaluations raw_y
1 1.2195121951
4 1.5451174289
7 1.8355359765
24 2.0000000000
87 2.1367521368
911 2.2281639929
1282 2.2935779817
2619 2.3629489603
4025 2.3992322457
4067 2.7352297593
14260 2.8868360277
19745 2.9976019185
52521 3.7091988131
125000 1.0692899914
evaluations raw_y
1 1.1563367253
2 1.2899896801
6 1.3227513228
7 1.5605493134
19 1.5923566879
30 1.6254876463
45 1.8142235123
49 2.3277467412
362 2.6427061311
548 2.8344671202
19690 2.9411764706
25075 3.2467532468
125000 1.4723203769
evaluations raw_y
1 1.0339123242
2 1.9500780031
12 2.0000000000
207 2.2935779817
1154 2.9976019185
7484 3.2467532468
125000 1.1737089202
evaluations raw_y
1 1.0917030568
3 1.4188422247
6 1.4723203769
25 1.8573551263
38 1.9260400616
39 1.9500780031
97 2.2603978300
235 2.5562372188
956 2.7839643653
5408 3.1172069825
41140 3.1806615776
51679 3.7993920973
125000 1.3455328310
evaluations raw_y
1 0.9637625289
2 1.6254876463
3 1.6960651289
14 1.7146776406
60 1.9500780031
109 2.0525451560
115 2.1079258010
369 2.2935779817
790 2.4366471735
3104 2.6427061311
6525 3.3156498674
84420 3.3875338753
125000 1.5923566879
evaluations raw_y
1 1.3455328310
6 1.5006002401
17 1.6425755585
26 1.7531556802
49 2.3277467412
163 2.4366471735
4316 2.5562372188
8472 2.7839643653
9157 2.8344671202
13353 2.9411764706
54874 3.1806615776
111012 3.2467532468
125000 1.2100677638
