evaluations raw_y
1 29.0000000000
19 31.0000000000
29 36.0000000000
789 37.0000000000
5484 38.0000000000
37818 39.0000000000
44209 40.0000000000
125000 28.0000000000
evaluations raw_y
1 22.0000000000
2 25.0000000000
4 29.0000000000
30 36.0000000000
2394 37.0000000000
14560 38.0000000000
62142 39.0000000000
62870 40.0000000000
125000 22.0000000000
evaluations raw_y
1 25.0000000000
2 30.0000000000
39 33.0000000000
369 35.0000000000
2145 36.0000000000
2766 37.0000000000
10950 38.0000000000
35542 39.0000000000
59211 40.0000000000
125000 23.0000000000
evaluations raw_y
1 28.0000000000
7 30.0000000000
34 32.0000000000
163 37.0000000000
2297 38.0000000000
12007 39.0000000000
125000 23.0000000000
evaluations raw_y
1 25.0000000000
4 28.0000000000
5 30.0000000000
11 32.0000000000
35 33.0000000000
375 34.0000000000
602 36.0000000000
2215 37.0000000000
28878 39.0000000000
110795 40.0000000000
125000 34.0000000000
evaluations raw_y
1 26.0000000000
5 28.0000000000
13 31.0000000000
49 32.0000000000
87 34.0000000000
1349 36.0000000000
5030 37.0000000000
9154 38.0000000000
68826 39.0000000000
125000 20.0000000000
evaluations raw_y
1 32.0000000000
102 34.0000000000
1073 35.0000000000
2139 36.0000000000
2776 37.0000000000
7362 38.0000000000
13089 39.0000000000
125000 28.0000000000
evaluations raw_y
1 29.0000000000
10 30.0000000000
35 32.0000000000
83 33.0000000000
355 35.0000000000
3232 36.0000000000
4962 38.0000000000
9409 39.0000000000
125000 29.0000000000
evaluations raw_y
1 24.0000000000
2 26.0000000000
4 31.0000000000
12 32.0000000000
180 34.0000000000
205 36.0000000000
8961 37.0000000000
10196 40.0000000000
125000 19.0000000000
evaluations raw_y
1 26.0000000000
5 27.0000000000
7 33.0000000000
67 35.0000000000
368 38.0000000000
11187 40.0000000000
125000 25.0000000000
