evaluations raw_y
1 0.0000000000
3 3.0000000000
16 7.0000000000
487 8.0000000000
876 11.0000000000
13733 13.0000000000
16420 14.0000000000
116271 15.0000000000
125000 1.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
5 4.0000000000
26 5.0000000000
94 8.0000000000
513 11.0000000000
2149 12.0000000000
2276 13.0000000000
21132 16.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
6 3.0000000000
39 4.0000000000
44 5.0000000000
84 6.0000000000
119 7.0000000000
302 8.0000000000
1066 12.0000000000
5172 14.0000000000
12063 16.0000000000
82894 17.0000000000
125000 1.0000000000
evaluations raw_y
1 0.0000000000
4 2.0000000000
9 3.0000000000
16 4.0000000000
32 7.0000000000
762 9.0000000000
1667 10.0000000000
2719 12.0000000000
3157 14.0000000000
90517 15.0000000000
125000 3.0000000000
evaluations raw_y
1 0.0000000000
4 2.0000000000
26 4.0000000000
65 6.0000000000
84 7.0000000000
604 11.0000000000
3510 12.0000000000
3607 16.0000000000
102289 18.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
35 4.0000000000
74 6.0000000000
98 8.0000000000
769 10.0000000000
3473 18.0000000000
48609 19.0000000000
125000 1.0000000000
evaluations raw_y
1 1.0000000000
3 3.0000000000
6 4.0000000000
43 7.0000000000
488 12.0000000000
9162 13.0000000000
24667 15.0000000000
55278 17.0000000000
56534 19.0000000000
125000 0.0000000000
evaluations raw_y
1 2.0000000000
7 4.0000000000
150 5.0000000000
158 6.0000000000
202 7.0000000000
450 9.0000000000
1696 11.0000000000
10583 12.0000000000
20155 13.0000000000
27336 14.0000000000
28746 15.0000000000
67908 16.0000000000
125000 1.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
6 6.0000000000
97 7.0000000000
462 8.0000000000
1499 9.0000000000
1802 10.0000000000
2569 11.0000000000
4048 12.0000000000
10277 13.0000000000
14378 14.0000000000
41850 15.0000000000
81075 19.0000000000
125000 1.0000000000
evaluations raw_y
1 1.0000000000
5 4.0000000000
48 8.0000000000
66 9.0000000000
874 10.0000000000
8694 13.0000000000
13168 17.0000000000
125000 3.0000000000
