evaluations raw_y
1 54.0000000000
3 57.0000000000
131 58.0000000000
133 59.0000000000
273 60.0000000000
277 62.0000000000
437 63.0000000000
575 65.0000000000
727 68.0000000000
1023 69.0000000000
1187 71.0000000000
1645 74.0000000000
1935 75.0000000000
2081 76.0000000000
2533 77.0000000000
2543 79.0000000000
3427 80.0000000000
3599 81.0000000000
3739 84.0000000000
5243 85.0000000000
7935 86.0000000000
8223 87.0000000000
8373 88.0000000000
17237 89.0000000000
21141 90.0000000000
22197 92.0000000000
22337 93.0000000000
22635 94.0000000000
200387 95.0000000000
871797 96.0000000000
1154997 97.0000000000
8558529 98.0000000000
13273620 86.0000000000
