"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 0.7869058861 0.7869058861 0.7869058861 0.7869058861
3 0.8108984755 0.8108984755 0.8108984755 0.8108984755
11 0.8297378029 0.8297378029 0.8297378029 0.8297378029
15 0.9716284493 0.9716284493 0.9716284493 0.9716284493
18 1.0266940452 1.0266940452 1.0266940452 1.0266940452
22 1.0606703437 1.0606703437 1.0606703437 1.0606703437
23 1.0931351115 1.0931351115 1.0931351115 1.0931351115
28 1.2345679012 1.2345679012 1.2345679012 1.2345679012
33 1.2581781580 1.2581781580 1.2581781580 1.2581781580
45 1.3927576602 1.3927576602 1.3927576602 1.3927576602
53 1.4492753623 1.4492753623 1.4492753623 1.4492753623
54 1.4543339151 1.4543339151 1.4543339151 1.4543339151
59 1.5160703457 1.5160703457 1.5160703457 1.5160703457
62 1.5328019620 1.5328019620 1.5328019620 1.5328019620
66 1.5812776724 1.5812776724 1.5812776724 1.5812776724
69 1.7373175817 1.7373175817 1.7373175817 1.7373175817
70 1.7568517217 1.7568517217 1.7568517217 1.7568517217
79 1.8395879323 1.8395879323 1.8395879323 1.8395879323
83 1.9762845850 1.9762845850 1.9762845850 1.9762845850
98 2.0990764064 2.0990764064 2.0990764064 2.0990764064
102 2.2301516503 2.2301516503 2.2301516503 2.2301516503
143 2.5329280648 2.5329280648 2.5329280648 2.5329280648
164 2.7502750275 2.7502750275 2.7502750275 2.7502750275
537 2.7808676307 2.7808676307 2.7808676307 2.7808676307
777 2.7995520717 2.7995520717 2.7995520717 2.7995520717
795 2.8702640643 2.8702640643 2.8702640643 2.8702640643
879 3.0376670717 3.0376670717 3.0376670717 3.0376670717
933 3.2175032175 3.2175032175 3.2175032175 3.2175032175
1102 3.2594524120 3.2594524120 3.2594524120 3.2594524120
1468 3.3200531208 3.3200531208 3.3200531208 3.3200531208
1550 3.3467202142 3.3467202142 3.3467202142 3.3467202142
1718 3.5063113604 3.5063113604 3.5063113604 3.5063113604
1737 3.5360678925 3.5360678925 3.5360678925 3.5360678925
1784 3.5460992908 3.5460992908 3.5460992908 3.5460992908
11268 3.6075036075 3.6075036075 3.6075036075 3.6075036075
11728 3.6179450072 3.6179450072 3.6179450072 3.6179450072
20305 3.6603221083 3.6603221083 3.6603221083 3.6603221083
100001 3.6603221083 3.6603221083 3.6603221083 3.6603221083
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1.3520822066 1.3520822066 1.3520822066 1.3520822066
3 1.3594344753 1.3594344753 1.3594344753 1.3594344753
