"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 53.0000000000 53.0000000000 53.0000000000 53.0000000000
3 55.0000000000 55.0000000000 55.0000000000 55.0000000000
7 57.0000000000 57.0000000000 57.0000000000 57.0000000000
11 58.0000000000 58.0000000000 58.0000000000 58.0000000000
13 59.0000000000 59.0000000000 59.0000000000 59.0000000000
20 60.0000000000 60.0000000000 60.0000000000 60.0000000000
28 61.0000000000 61.0000000000 61.0000000000 61.0000000000
30 62.0000000000 62.0000000000 62.0000000000 62.0000000000
61 63.0000000000 63.0000000000 63.0000000000 63.0000000000
62 64.0000000000 64.0000000000 64.0000000000 64.0000000000
65 65.0000000000 65.0000000000 65.0000000000 65.0000000000
71 66.0000000000 66.0000000000 66.0000000000 66.0000000000
103 67.0000000000 67.0000000000 67.0000000000 67.0000000000
104 68.0000000000 68.0000000000 68.0000000000 68.0000000000
109 69.0000000000 69.0000000000 69.0000000000 69.0000000000
111 70.0000000000 70.0000000000 70.0000000000 70.0000000000
114 72.0000000000 72.0000000000 72.0000000000 72.0000000000
120 73.0000000000 73.0000000000 73.0000000000 73.0000000000
133 76.0000000000 76.0000000000 76.0000000000 76.0000000000
142 77.0000000000 77.0000000000 77.0000000000 77.0000000000
143 78.0000000000 78.0000000000 78.0000000000 78.0000000000
155 79.0000000000 79.0000000000 79.0000000000 79.0000000000
162 80.0000000000 80.0000000000 80.0000000000 80.0000000000
171 81.0000000000 81.0000000000 81.0000000000 81.0000000000
190 82.0000000000 82.0000000000 82.0000000000 82.0000000000
191 83.0000000000 83.0000000000 83.0000000000 83.0000000000
192 85.0000000000 85.0000000000 85.0000000000 85.0000000000
199 87.0000000000 87.0000000000 87.0000000000 87.0000000000
201 88.0000000000 88.0000000000 88.0000000000 88.0000000000
209 89.0000000000 89.0000000000 89.0000000000 89.0000000000
223 90.0000000000 90.0000000000 90.0000000000 90.0000000000
229 91.0000000000 91.0000000000 91.0000000000 91.0000000000
248 92.0000000000 92.0000000000 92.0000000000 92.0000000000
252 93.0000000000 93.0000000000 93.0000000000 93.0000000000
255 94.0000000000 94.0000000000 94.0000000000 94.0000000000
324 95.0000000000 95.0000000000 95.0000000000 95.0000000000
333 96.0000000000 96.0000000000 96.0000000000 96.0000000000
711 97.0000000000 97.0000000000 97.0000000000 97.0000000000
719 98.0000000000 98.0000000000 98.0000000000 98.0000000000
