"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -1566.0000000000 -1566.0000000000 -1566.0000000000 -1566.0000000000
12 -1527.0000000000 -1527.0000000000 -1527.0000000000 -1527.0000000000
18 -1449.0000000000 -1449.0000000000 -1449.0000000000 -1449.0000000000
19 -1410.0000000000 -1410.0000000000 -1410.0000000000 -1410.0000000000
24 -1371.0000000000 -1371.0000000000 -1371.0000000000 -1371.0000000000
27 -1293.0000000000 -1293.0000000000 -1293.0000000000 -1293.0000000000
34 -1225.0000000000 -1225.0000000000 -1225.0000000000 -1225.0000000000
36 -1186.0000000000 -1186.0000000000 -1186.0000000000 -1186.0000000000
39 -1167.0000000000 -1167.0000000000 -1167.0000000000 -1167.0000000000
43 -1128.0000000000 -1128.0000000000 -1128.0000000000 -1128.0000000000
44 -1099.0000000000 -1099.0000000000 -1099.0000000000 -1099.0000000000
45 -1060.0000000000 -1060.0000000000 -1060.0000000000 -1060.0000000000
48 -1021.0000000000 -1021.0000000000 -1021.0000000000 -1021.0000000000
49 -953.0000000000 -953.0000000000 -953.0000000000 -953.0000000000
50 -914.0000000000 -914.0000000000 -914.0000000000 -914.0000000000
56 -865.0000000000 -865.0000000000 -865.0000000000 -865.0000000000
58 -826.0000000000 -826.0000000000 -826.0000000000 -826.0000000000
59 -797.0000000000 -797.0000000000 -797.0000000000 -797.0000000000
63 -758.0000000000 -758.0000000000 -758.0000000000 -758.0000000000
75 -719.0000000000 -719.0000000000 -719.0000000000 -719.0000000000
87 -680.0000000000 -680.0000000000 -680.0000000000 -680.0000000000
88 -651.0000000000 -651.0000000000 -651.0000000000 -651.0000000000
93 -622.0000000000 -622.0000000000 -622.0000000000 -622.0000000000
98 -544.0000000000 -544.0000000000 -544.0000000000 -544.0000000000
105 -505.0000000000 -505.0000000000 -505.0000000000 -505.0000000000
106 -486.0000000000 -486.0000000000 -486.0000000000 -486.0000000000
107 -476.0000000000 -476.0000000000 -476.0000000000 -476.0000000000
111 -437.0000000000 -437.0000000000 -437.0000000000 -437.0000000000
122 -408.0000000000 -408.0000000000 -408.0000000000 -408.0000000000
128 -379.0000000000 -379.0000000000 -379.0000000000 -379.0000000000
129 -350.0000000000 -350.0000000000 -350.0000000000 -350.0000000000
138 -331.0000000000 -331.0000000000 -331.0000000000 -331.0000000000
140 -292.0000000000 -292.0000000000 -292.0000000000 -292.0000000000
168 -273.0000000000 -273.0000000000 -273.0000000000 -273.0000000000
169 -244.0000000000 -244.0000000000 -244.0000000000 -244.0000000000
172 -196.0000000000 -196.0000000000 -196.0000000000 -196.0000000000
202 -167.0000000000 -167.0000000000 -167.0000000000 -167.0000000000
225 -138.0000000000 -138.0000000000 -138.0000000000 -138.0000000000
226 -109.0000000000 -109.0000000000 -109.0000000000 -109.0000000000
264 -90.0000000000 -90.0000000000 -90.0000000000 -90.0000000000
277 -71.0000000000 -71.0000000000 -71.0000000000 -71.0000000000
