"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 7.2000000000 7.2000000000 7.2000000000 7.2000000000
8 7.6000000000 7.6000000000 7.6000000000 7.6000000000
11 7.8000000000 7.8000000000 7.8000000000 7.8000000000
12 8.0000000000 8.0000000000 8.0000000000 8.0000000000
15 8.2000000000 8.2000000000 8.2000000000 8.2000000000
16 8.4000000000 8.4000000000 8.4000000000 8.4000000000
19 8.6000000000 8.6000000000 8.6000000000 8.6000000000
24 8.8000000000 8.8000000000 8.8000000000 8.8000000000
27 9.2000000000 9.2000000000 9.2000000000 9.2000000000
28 9.2000000000 9.2000000000 9.2000000000 9.2000000000
39 9.4000000000 9.4000000000 9.4000000000 9.4000000000
42 9.4000000000 9.4000000000 9.4000000000 9.4000000000
43 9.6000000000 9.6000000000 9.6000000000 9.6000000000
49 10.0000000000 10.0000000000 10.0000000000 10.0000000000
53 10.2000000000 10.2000000000 10.2000000000 10.2000000000
60 10.4000000000 10.4000000000 10.4000000000 10.4000000000
61 10.6000000000 10.6000000000 10.6000000000 10.6000000000
74 10.6000000000 10.6000000000 10.6000000000 10.6000000000
75 10.8000000000 10.8000000000 10.8000000000 10.8000000000
80 11.0000000000 11.0000000000 11.0000000000 11.0000000000
83 11.2000000000 11.2000000000 11.2000000000 11.2000000000
89 11.4000000000 11.4000000000 11.4000000000 11.4000000000
91 11.6000000000 11.6000000000 11.6000000000 11.6000000000
95 11.8000000000 11.8000000000 11.8000000000 11.8000000000
98 12.0000000000 12.0000000000 12.0000000000 12.0000000000
115 12.0000000000 12.0000000000 12.0000000000 12.0000000000
118 12.2000000000 12.2000000000 12.2000000000 12.2000000000
128 12.6000000000 12.6000000000 12.6000000000 12.6000000000
146 12.8000000000 12.8000000000 12.8000000000 12.8000000000
147 13.0000000000 13.0000000000 13.0000000000 13.0000000000
156 13.2000000000 13.2000000000 13.2000000000 13.2000000000
191 13.4000000000 13.4000000000 13.4000000000 13.4000000000
205 13.6000000000 13.6000000000 13.6000000000 13.6000000000
208 13.8000000000 13.8000000000 13.8000000000 13.8000000000
305 14.0000000000 14.0000000000 14.0000000000 14.0000000000
308 14.2000000000 14.2000000000 14.2000000000 14.2000000000
328 14.4000000000 14.4000000000 14.4000000000 14.4000000000
348 14.6000000000 14.6000000000 14.6000000000 14.6000000000
