"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -0.5226169487 -0.5226169487 -0.5226169487 -0.5226169487
3 -0.5148041308 -0.5148041308 -0.5148041308 -0.5148041308
13 -0.5134835682 -0.5134835682 -0.5134835682 -0.5134835682
20 -0.4961520396 -0.4961520396 -0.4961520396 -0.4961520396
21 -0.4940178764 -0.4940178764 -0.4940178764 -0.4940178764
26 -0.4907676556 -0.4907676556 -0.4907676556 -0.4907676556
28 -0.4906006769 -0.4906006769 -0.4906006769 -0.4906006769
32 -0.4862789453 -0.4862789453 -0.4862789453 -0.4862789453
36 -0.4828161866 -0.4828161866 -0.4828161866 -0.4828161866
39 -0.4790947230 -0.4790947230 -0.4790947230 -0.4790947230
47 -0.4784435499 -0.4784435499 -0.4784435499 -0.4784435499
48 -0.4761641015 -0.4761641015 -0.4761641015 -0.4761641015
50 -0.4711528776 -0.4711528776 -0.4711528776 -0.4711528776
51 -0.4639801064 -0.4639801064 -0.4639801064 -0.4639801064
53 -0.4631517948 -0.4631517948 -0.4631517948 -0.4631517948
56 -0.4619497671 -0.4619497671 -0.4619497671 -0.4619497671
63 -0.4617824398 -0.4617824398 -0.4617824398 -0.4617824398
69 -0.4588491971 -0.4588491971 -0.4588491971 -0.4588491971
71 -0.4448249989 -0.4448249989 -0.4448249989 -0.4448249989
73 -0.4422758125 -0.4422758125 -0.4422758125 -0.4422758125
84 -0.4315968842 -0.4315968842 -0.4315968842 -0.4315968842
105 -0.4284214354 -0.4284214354 -0.4284214354 -0.4284214354
119 -0.4280973972 -0.4280973972 -0.4280973972 -0.4280973972
127 -0.4275275132 -0.4275275132 -0.4275275132 -0.4275275132
128 -0.4236188487 -0.4236188487 -0.4236188487 -0.4236188487
133 -0.4212718363 -0.4212718363 -0.4212718363 -0.4212718363
135 -0.4117616508 -0.4117616508 -0.4117616508 -0.4117616508
149 -0.4071923887 -0.4071923887 -0.4071923887 -0.4071923887
155 -0.4037025219 -0.4037025219 -0.4037025219 -0.4037025219
170 -0.3987710233 -0.3987710233 -0.3987710233 -0.3987710233
189 -0.3905216432 -0.3905216432 -0.3905216432 -0.3905216432
195 -0.3847369610 -0.3847369610 -0.3847369610 -0.3847369610
206 -0.3786154674 -0.3786154674 -0.3786154674 -0.3786154674
211 -0.3742862744 -0.3742862744 -0.3742862744 -0.3742862744
229 -0.3730331708 -0.3730331708 -0.3730331708 -0.3730331708
231 -0.3682216394 -0.3682216394 -0.3682216394 -0.3682216394
240 -0.3657237971 -0.3657237971 -0.3657237971 -0.3657237971
244 -0.3629020317 -0.3629020317 -0.3629020317 -0.3629020317
254 -0.3591379388 -0.3591379388 -0.3591379388 -0.3591379388
261 -0.3524395755 -0.3524395755 -0.3524395755 -0.3524395755
273 -0.3500925631 -0.3500925631 -0.3500925631 -0.3500925631
277 -0.3438045109 -0.3438045109 -0.3438045109 -0.3438045109
295 -0.3342918044 -0.3342918044 -0.3342918044 -0.3342918044
368 -0.3320123560 -0.3320123560 -0.3320123560 -0.3320123560
418 -0.3297544261 -0.3297544261 -0.3297544261 -0.3297544261
434 -0.3294427512 -0.3294427512 -0.3294427512 -0.3294427512
495 -0.3268112208 -0.3268112208 -0.3268112208 -0.3268112208
544 -0.3207161736 -0.3207161736 -0.3207161736 -0.3207161736
643 -0.3194072409 -0.3194072409 -0.3194072409 -0.3194072409
673 -0.3190756669 -0.3190756669 -0.3190756669 -0.3190756669
684 -0.3180394247 -0.3180394247 -0.3180394247 -0.3180394247
694 -0.3127026515 -0.3127026515 -0.3127026515 -0.3127026515
797 -0.3115294242 -0.3115294242 -0.3115294242 -0.3115294242
919 -0.3114723614 -0.3114723614 -0.3114723614 -0.3114723614
1036 -0.3113459559 -0.3113459559 -0.3113459559 -0.3113459559
1105 -0.3100786950 -0.3100786950 -0.3100786950 -0.3100786950
1193 -0.3085494911 -0.3085494911 -0.3085494911 -0.3085494911
1216 -0.3080693711 -0.3080693711 -0.3080693711 -0.3080693711
1351 -0.3042789391 -0.3042789391 -0.3042789391 -0.3042789391
13840 -0.3022186702 -0.3022186702 -0.3022186702 -0.3022186702
21438 -0.3007034099 -0.3007034099 -0.3007034099 -0.3007034099
37055 -0.2977551528 -0.2977551528 -0.2977551528 -0.2977551528
60718 -0.2971262630 -0.2971262630 -0.2971262630 -0.2971262630
99700 -0.2958002651 -0.2958002651 -0.2958002651 -0.2958002651
100001 -0.2980797135 -0.2958002651 -0.2980797135 -0.2958002651
