"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 0.0000000000 0.0000000000 0.0000000000 0.0000000000
184 2.0000000000 2.0000000000 2.0000000000 2.0000000000
464 3.0000000000 3.0000000000 3.0000000000 3.0000000000
465 6.0000000000 6.0000000000 6.0000000000 6.0000000000
589 9.0000000000 9.0000000000 9.0000000000 9.0000000000
856 11.0000000000 11.0000000000 11.0000000000 11.0000000000
870 18.0000000000 18.0000000000 18.0000000000 18.0000000000
928 20.0000000000 20.0000000000 20.0000000000 20.0000000000
1140 22.0000000000 22.0000000000 22.0000000000 22.0000000000
1245 25.0000000000 25.0000000000 25.0000000000 25.0000000000
1466 28.0000000000 28.0000000000 28.0000000000 28.0000000000
1534 32.0000000000 32.0000000000 32.0000000000 32.0000000000
1562 33.0000000000 33.0000000000 33.0000000000 33.0000000000
1563 38.0000000000 38.0000000000 38.0000000000 38.0000000000
1835 41.0000000000 41.0000000000 41.0000000000 41.0000000000
1839 42.0000000000 42.0000000000 42.0000000000 42.0000000000
1840 46.0000000000 46.0000000000 46.0000000000 46.0000000000
1934 48.0000000000 48.0000000000 48.0000000000 48.0000000000
2062 51.0000000000 51.0000000000 51.0000000000 51.0000000000
2166 52.0000000000 52.0000000000 52.0000000000 52.0000000000
3580 66.0000000000 66.0000000000 66.0000000000 66.0000000000
3626 68.0000000000 68.0000000000 68.0000000000 68.0000000000
3973 69.0000000000 69.0000000000 69.0000000000 69.0000000000
4013 70.0000000000 70.0000000000 70.0000000000 70.0000000000
4024 74.0000000000 74.0000000000 74.0000000000 74.0000000000
4101 76.0000000000 76.0000000000 76.0000000000 76.0000000000
4498 79.0000000000 79.0000000000 79.0000000000 79.0000000000
4773 80.0000000000 80.0000000000 80.0000000000 80.0000000000
5101 84.0000000000 84.0000000000 84.0000000000 84.0000000000
5167 85.0000000000 85.0000000000 85.0000000000 85.0000000000
5211 88.0000000000 88.0000000000 88.0000000000 88.0000000000
5646 89.0000000000 89.0000000000 89.0000000000 89.0000000000
5791 91.0000000000 91.0000000000 91.0000000000 91.0000000000
5991 92.0000000000 92.0000000000 92.0000000000 92.0000000000
6186 94.0000000000 94.0000000000 94.0000000000 94.0000000000
6477 100.0000000000 100.0000000000 100.0000000000 100.0000000000
100001 53.0000000000 100.0000000000 53.0000000000 100.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 3.0000000000 3.0000000000 3.0000000000 3.0000000000
179 4.0000000000 4.0000000000 4.0000000000 4.0000000000
199 6.0000000000 6.0000000000 6.0000000000 6.0000000000
631 9.0000000000 9.0000000000 9.0000000000 9.0000000000
715 13.0000000000 13.0000000000 13.0000000000 13.0000000000
746 14.0000000000 14.0000000000 14.0000000000 14.0000000000
767 15.0000000000 15.0000000000 15.0000000000 15.0000000000
817 18.0000000000 18.0000000000 18.0000000000 18.0000000000
843 20.0000000000 20.0000000000 20.0000000000 20.0000000000
859 22.0000000000 22.0000000000 22.0000000000 22.0000000000
948 23.0000000000 23.0000000000 23.0000000000 23.0000000000
1044 25.0000000000 25.0000000000 25.0000000000 25.0000000000
1069 26.0000000000 26.0000000000 26.0000000000 26.0000000000
1215 30.0000000000 30.0000000000 30.0000000000 30.0000000000
1224 33.0000000000 33.0000000000 33.0000000000 33.0000000000
1344 34.0000000000 34.0000000000 34.0000000000 34.0000000000
1424 37.0000000000 37.0000000000 37.0000000000 37.0000000000
1676 38.0000000000 38.0000000000 38.0000000000 38.0000000000
1728 39.0000000000 39.0000000000 39.0000000000 39.0000000000
1958 41.0000000000 41.0000000000 41.0000000000 41.0000000000
2023 42.0000000000 42.0000000000 42.0000000000 42.0000000000
2117 43.0000000000 43.0000000000 43.0000000000 43.0000000000
2191 44.0000000000 44.0000000000 44.0000000000 44.0000000000
2202 45.0000000000 45.0000000000 45.0000000000 45.0000000000
2211 48.0000000000 48.0000000000 48.0000000000 48.0000000000
2327 49.0000000000 49.0000000000 49.0000000000 49.0000000000
2329 52.0000000000 52.0000000000 52.0000000000 52.0000000000
2506 53.0000000000 53.0000000000 53.0000000000 53.0000000000
2983 54.0000000000 54.0000000000 54.0000000000 54.0000000000
3189 55.0000000000 55.0000000000 55.0000000000 55.0000000000
3211 57.0000000000 57.0000000000 57.0000000000 57.0000000000
3231 58.0000000000 58.0000000000 58.0000000000 58.0000000000
3255 60.0000000000 60.0000000000 60.0000000000 60.0000000000
3653 63.0000000000 63.0000000000 63.0000000000 63.0000000000
3755 71.0000000000 71.0000000000 71.0000000000 71.0000000000
3867 73.0000000000 73.0000000000 73.0000000000 73.0000000000
3970 75.0000000000 75.0000000000 75.0000000000 75.0000000000
4250 76.0000000000 76.0000000000 76.0000000000 76.0000000000
4652 80.0000000000 80.0000000000 80.0000000000 80.0000000000
4759 81.0000000000 81.0000000000 81.0000000000 81.0000000000
4959 82.0000000000 82.0000000000 82.0000000000 82.0000000000
5034 83.0000000000 83.0000000000 83.0000000000 83.0000000000
5232 84.0000000000 84.0000000000 84.0000000000 84.0000000000
5426 86.0000000000 86.0000000000 86.0000000000 86.0000000000
5823 88.0000000000 88.0000000000 88.0000000000 88.0000000000
5831 89.0000000000 89.0000000000 89.0000000000 89.0000000000
5975 91.0000000000 91.0000000000 91.0000000000 91.0000000000
6163 92.0000000000 92.0000000000 92.0000000000 92.0000000000
6503 100.0000000000 100.0000000000 100.0000000000 100.0000000000
100001 100.0000000000 100.0000000000 100.0000000000 100.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
