"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 2425.0000000000 2425.0000000000 2425.0000000000 2425.0000000000
3 2509.0000000000 2509.0000000000 2509.0000000000 2509.0000000000
4 2525.0000000000 2525.0000000000 2525.0000000000 2525.0000000000
5 2567.0000000000 2567.0000000000 2567.0000000000 2567.0000000000
8 2588.0000000000 2588.0000000000 2588.0000000000 2588.0000000000
10 2621.0000000000 2621.0000000000 2621.0000000000 2621.0000000000
17 2666.0000000000 2666.0000000000 2666.0000000000 2666.0000000000
29 2703.0000000000 2703.0000000000 2703.0000000000 2703.0000000000
32 2741.0000000000 2741.0000000000 2741.0000000000 2741.0000000000
34 2789.0000000000 2789.0000000000 2789.0000000000 2789.0000000000
36 2913.0000000000 2913.0000000000 2913.0000000000 2913.0000000000
40 2948.0000000000 2948.0000000000 2948.0000000000 2948.0000000000
44 3016.0000000000 3016.0000000000 3016.0000000000 3016.0000000000
45 3057.0000000000 3057.0000000000 3057.0000000000 3057.0000000000
47 3086.0000000000 3086.0000000000 3086.0000000000 3086.0000000000
56 3219.0000000000 3219.0000000000 3219.0000000000 3219.0000000000
57 3366.0000000000 3366.0000000000 3366.0000000000 3366.0000000000
62 3435.0000000000 3435.0000000000 3435.0000000000 3435.0000000000
68 3603.0000000000 3603.0000000000 3603.0000000000 3603.0000000000
74 3633.0000000000 3633.0000000000 3633.0000000000 3633.0000000000
83 3713.0000000000 3713.0000000000 3713.0000000000 3713.0000000000
90 3780.0000000000 3780.0000000000 3780.0000000000 3780.0000000000
95 3822.0000000000 3822.0000000000 3822.0000000000 3822.0000000000
96 3922.0000000000 3922.0000000000 3922.0000000000 3922.0000000000
98 3959.0000000000 3959.0000000000 3959.0000000000 3959.0000000000
106 3993.0000000000 3993.0000000000 3993.0000000000 3993.0000000000
107 4070.0000000000 4070.0000000000 4070.0000000000 4070.0000000000
108 4161.0000000000 4161.0000000000 4161.0000000000 4161.0000000000
126 4249.0000000000 4249.0000000000 4249.0000000000 4249.0000000000
129 4273.0000000000 4273.0000000000 4273.0000000000 4273.0000000000
138 4281.0000000000 4281.0000000000 4281.0000000000 4281.0000000000
160 4350.0000000000 4350.0000000000 4350.0000000000 4350.0000000000
182 4408.0000000000 4408.0000000000 4408.0000000000 4408.0000000000
190 4412.0000000000 4412.0000000000 4412.0000000000 4412.0000000000
203 4484.0000000000 4484.0000000000 4484.0000000000 4484.0000000000
215 4511.0000000000 4511.0000000000 4511.0000000000 4511.0000000000
227 4527.0000000000 4527.0000000000 4527.0000000000 4527.0000000000
241 4547.0000000000 4547.0000000000 4547.0000000000 4547.0000000000
264 4617.0000000000 4617.0000000000 4617.0000000000 4617.0000000000
319 4618.0000000000 4618.0000000000 4618.0000000000 4618.0000000000
323 4628.0000000000 4628.0000000000 4628.0000000000 4628.0000000000
326 4720.0000000000 4720.0000000000 4720.0000000000 4720.0000000000
338 4773.0000000000 4773.0000000000 4773.0000000000 4773.0000000000
358 4784.0000000000 4784.0000000000 4784.0000000000 4784.0000000000
414 4862.0000000000 4862.0000000000 4862.0000000000 4862.0000000000
445 4865.0000000000 4865.0000000000 4865.0000000000 4865.0000000000
447 4888.0000000000 4888.0000000000 4888.0000000000 4888.0000000000
449 4920.0000000000 4920.0000000000 4920.0000000000 4920.0000000000
490 4942.0000000000 4942.0000000000 4942.0000000000 4942.0000000000
555 4951.0000000000 4951.0000000000 4951.0000000000 4951.0000000000
565 4958.0000000000 4958.0000000000 4958.0000000000 4958.0000000000
594 5001.0000000000 5001.0000000000 5001.0000000000 5001.0000000000
698 5047.0000000000 5047.0000000000 5047.0000000000 5047.0000000000
1040 5048.0000000000 5048.0000000000 5048.0000000000 5048.0000000000
1620 5050.0000000000 5050.0000000000 5050.0000000000 5050.0000000000
100001 5050.0000000000 5050.0000000000 5050.0000000000 5050.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
