"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 0.9416195857 0.9416195857 0.9416195857 0.9416195857
2 1.2153621779 1.2153621779 1.2153621779 1.2153621779
5 1.2840267078 1.2840267078 1.2840267078 1.2840267078
10 1.4628437683 1.4628437683 1.4628437683 1.4628437683
11 1.4714537964 1.4714537964 1.4714537964 1.4714537964
12 1.6056518947 1.6056518947 1.6056518947 1.6056518947
16 1.7568517217 1.7568517217 1.7568517217 1.7568517217
19 1.9040365575 1.9040365575 1.9040365575 1.9040365575
25 1.9305019305 1.9305019305 1.9305019305 1.9305019305
30 2.0475020475 2.0475020475 2.0475020475 2.0475020475
33 2.1720243267 2.1720243267 2.1720243267 2.1720243267
34 2.3386342376 2.3386342376 2.3386342376 2.3386342376
36 2.5432349949 2.5432349949 2.5432349949 2.5432349949
45 2.8901734104 2.8901734104 2.8901734104 2.8901734104
89 2.9515938607 2.9515938607 2.9515938607 2.9515938607
91 3.0450669915 3.0450669915 3.0450669915 3.0450669915
132 3.1289111389 3.1289111389 3.1289111389 3.1289111389
135 3.3025099075 3.3025099075 3.3025099075 3.3025099075
222 3.3467202142 3.3467202142 3.3467202142 3.3467202142
235 3.4674063800 3.4674063800 3.4674063800 3.4674063800
319 3.4965034965 3.4965034965 3.4965034965 3.4965034965
341 3.8759689922 3.8759689922 3.8759689922 3.8759689922
100001 2.8702640643 3.8759689922 2.8702640643 3.8759689922
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1.5309246785 1.5309246785 1.5309246785 1.5309246785
6 1.5752993069 1.5752993069 1.5752993069 1.5752993069
11 1.6139444803 1.6139444803 1.6139444803 1.6139444803
12 1.6812373907 1.6812373907 1.6812373907 1.6812373907
15 1.7111567420 1.7111567420 1.7111567420 1.7111567420
16 1.7768301350 1.7768301350 1.7768301350 1.7768301350
25 1.7895490336 1.7895490336 1.7895490336 1.7895490336
30 1.8395879323 1.8395879323 1.8395879323 1.8395879323
31 2.0610057708 2.0610057708 2.0610057708 2.0610057708
32 2.1349274125 2.1349274125 2.1349274125 2.1349274125
37 2.2143489814 2.2143489814 2.2143489814 2.2143489814
46 2.4061597690 2.4061597690 2.4061597690 2.4061597690
56 2.5693730730 2.5693730730 2.5693730730 2.5693730730
77 2.8702640643 2.8702640643 2.8702640643 2.8702640643
144 2.9171528588 2.9171528588 2.9171528588 2.9171528588
152 2.9239766082 2.9239766082 2.9239766082 2.9239766082
157 2.9868578256 2.9868578256 2.9868578256 2.9868578256
158 3.0084235860 3.0084235860 3.0084235860 3.0084235860
162 3.0902348578 3.0902348578 3.0902348578 3.0902348578
169 3.1289111389 3.1289111389 3.1289111389 3.1289111389
173 3.4482758621 3.4482758621 3.4482758621 3.4482758621
349 3.5360678925 3.5360678925 3.5360678925 3.5360678925
100001 3.3200531208 3.5360678925 3.3200531208 3.5360678925
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1.1698642957 1.1698642957 1.1698642957 1.1698642957
5 1.2236906510 1.2236906510 1.2236906510 1.2236906510
6 1.2518778167 1.2518778167 1.2518778167 1.2518778167
10 1.3276686139 1.3276686139 1.3276686139 1.3276686139
12 1.3668671405 1.3668671405 1.3668671405 1.3668671405
13 1.4611338399 1.4611338399 1.4611338399 1.4611338399
15 1.5576323988 1.5576323988 1.5576323988 1.5576323988
18 1.6118633140 1.6118633140 1.6118633140 1.6118633140
24 1.6350555919 1.6350555919 1.6350555919 1.6350555919
28 1.6545334216 1.6545334216 1.6545334216 1.6545334216
29 1.9700551615 1.9700551615 1.9700551615 1.9700551615
35 2.0712510356 2.0712510356 2.0712510356 2.0712510356
36 2.1168501270 2.1168501270 2.1168501270 2.1168501270
37 2.1276595745 2.1276595745 2.1276595745 2.1276595745
47 2.2065313327 2.2065313327 2.2065313327 2.2065313327
50 2.2999080037 2.2999080037 2.2999080037 2.2999080037
57 2.5588536336 2.5588536336 2.5588536336 2.5588536336
68 2.5746652935 2.5746652935 2.5746652935 2.5746652935
71 2.6343519494 2.6343519494 2.6343519494 2.6343519494
75 2.6399155227 2.6399155227 2.6399155227 2.6399155227
98 2.8121484814 2.8121484814 2.8121484814 2.8121484814
100 2.9239766082 2.9239766082 2.9239766082 2.9239766082
101 3.0902348578 3.0902348578 3.0902348578 3.0902348578
102 3.3112582781 3.3112582781 3.3112582781 3.3112582781
160 3.7147102526 3.7147102526 3.7147102526 3.7147102526
167 3.7707390649 3.7707390649 3.7707390649 3.7707390649
254 3.9001560062 3.9001560062 3.9001560062 3.9001560062
311 3.9123630673 3.9123630673 3.9123630673 3.9123630673
328 4.3029259897 4.3029259897 4.3029259897 4.3029259897
100001 4.0128410915 4.3029259897 4.0128410915 4.3029259897
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 0.9345794393 0.9345794393 0.9345794393 0.9345794393
3 0.9394964299 0.9394964299 0.9394964299 0.9394964299
6 1.0334849111 1.0334849111 1.0334849111 1.0334849111
7 1.1462631820 1.1462631820 1.1462631820 1.1462631820
11 1.2919896641 1.2919896641 1.2919896641 1.2919896641
12 1.4037057833 1.4037057833 1.4037057833 1.4037057833
14 1.4343086632 1.4343086632 1.4343086632 1.4343086632
16 1.5124016939 1.5124016939 1.5124016939 1.5124016939
17 1.6118633140 1.6118633140 1.6118633140 1.6118633140
22 1.8050541516 1.8050541516 1.8050541516 1.8050541516
32 2.1276595745 2.1276595745 2.1276595745 2.1276595745
48 2.2381378693 2.2381378693 2.2381378693 2.2381378693
53 2.2831050228 2.2831050228 2.2831050228 2.2831050228
69 2.2956841139 2.2956841139 2.2956841139 2.2956841139
89 2.3342670401 2.3342670401 2.3342670401 2.3342670401
101 2.3474178404 2.3474178404 2.3474178404 2.3474178404
157 2.3786869648 2.3786869648 2.3786869648 2.3786869648
169 2.4108003857 2.4108003857 2.4108003857 2.4108003857
174 2.4248302619 2.4248302619 2.4248302619 2.4248302619
181 2.4485798237 2.4485798237 2.4485798237 2.4485798237
184 2.5536261491 2.5536261491 2.5536261491 2.5536261491
197 2.6455026455 2.6455026455 2.6455026455 2.6455026455
208 2.6511134677 2.6511134677 2.6511134677 2.6511134677
268 2.7262813522 2.7262813522 2.7262813522 2.7262813522
276 2.7442371021 2.7442371021 2.7442371021 2.7442371021
321 3.2175032175 3.2175032175 3.2175032175 3.2175032175
334 3.2594524120 3.2594524120 3.2594524120 3.2594524120
337 3.2679738562 3.2679738562 3.2679738562 3.2679738562
343 3.3467202142 3.3467202142 3.3467202142 3.3467202142
478 3.6496350365 3.6496350365 3.6496350365 3.6496350365
513 3.7257824143 3.7257824143 3.7257824143 3.7257824143
514 3.8520801233 3.8520801233 3.8520801233 3.8520801233
524 3.8880248834 3.8880248834 3.8880248834 3.8880248834
534 4.0000000000 4.0000000000 4.0000000000 4.0000000000
592 4.4091710758 4.4091710758 4.4091710758 4.4091710758
595 4.4247787611 4.4247787611 4.4247787611 4.4247787611
710 4.5045045045 4.5045045045 4.5045045045 4.5045045045
100001 3.4867503487 4.5045045045 3.4867503487 4.5045045045
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1.1348161598 1.1348161598 1.1348161598 1.1348161598
2 1.2036591237 1.2036591237 1.2036591237 1.2036591237
8 1.2840267078 1.2840267078 1.2840267078 1.2840267078
10 1.4037057833 1.4037057833 1.4037057833 1.4037057833
15 1.4212620807 1.4212620807 1.4212620807 1.4212620807
17 1.4766686356 1.4766686356 1.4766686356 1.4766686356
18 1.4997000600 1.4997000600 1.4997000600 1.4997000600
25 1.5460729746 1.5460729746 1.5460729746 1.5460729746
32 1.7229496899 1.7229496899 1.7229496899 1.7229496899
34 1.8754688672 1.8754688672 1.8754688672 1.8754688672
46 1.9245573518 1.9245573518 1.9245573518 1.9245573518
47 2.0542317173 2.0542317173 2.0542317173 2.0542317173
49 2.1349274125 2.1349274125 2.1349274125 2.1349274125
55 2.1459227468 2.1459227468 2.1459227468 2.1459227468
57 2.3342670401 2.3342670401 2.3342670401 2.3342670401
58 2.3474178404 2.3474178404 2.3474178404 2.3474178404
62 2.4437927664 2.4437927664 2.4437927664 2.4437927664
63 2.5278058645 2.5278058645 2.5278058645 2.5278058645
64 2.5641025641 2.5641025641 2.5641025641 2.5641025641
87 2.5693730730 2.5693730730 2.5693730730 2.5693730730
102 2.5746652935 2.5746652935 2.5746652935 2.5746652935
122 2.5906735751 2.5906735751 2.5906735751 2.5906735751
156 2.7085590466 2.7085590466 2.7085590466 2.7085590466
159 2.8636884307 2.8636884307 2.8636884307 2.8636884307
204 2.9655990510 2.9655990510 2.9655990510 2.9655990510
232 3.0156815440 3.0156815440 3.0156815440 3.0156815440
282 3.0826140567 3.0826140567 3.0826140567 3.0826140567
288 3.1210986267 3.1210986267 3.1210986267 3.1210986267
299 3.1605562579 3.1605562579 3.1605562579 3.1605562579
