"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 47.0000000000 47.0000000000 47.0000000000 47.0000000000
2 48.0000000000 48.0000000000 48.0000000000 48.0000000000
3 49.0000000000 49.0000000000 49.0000000000 49.0000000000
4 50.0000000000 50.0000000000 50.0000000000 50.0000000000
6 51.0000000000 51.0000000000 51.0000000000 51.0000000000
8 52.0000000000 52.0000000000 52.0000000000 52.0000000000
10 53.0000000000 53.0000000000 53.0000000000 53.0000000000
11 54.0000000000 54.0000000000 54.0000000000 54.0000000000
12 55.0000000000 55.0000000000 55.0000000000 55.0000000000
15 56.0000000000 56.0000000000 56.0000000000 56.0000000000
16 57.0000000000 57.0000000000 57.0000000000 57.0000000000
20 58.0000000000 58.0000000000 58.0000000000 58.0000000000
21 59.0000000000 59.0000000000 59.0000000000 59.0000000000
29 60.0000000000 60.0000000000 60.0000000000 60.0000000000
30 61.0000000000 61.0000000000 61.0000000000 61.0000000000
31 62.0000000000 62.0000000000 62.0000000000 62.0000000000
37 63.0000000000 63.0000000000 63.0000000000 63.0000000000
39 64.0000000000 64.0000000000 64.0000000000 64.0000000000
41 65.0000000000 65.0000000000 65.0000000000 65.0000000000
43 66.0000000000 66.0000000000 66.0000000000 66.0000000000
45 67.0000000000 67.0000000000 67.0000000000 67.0000000000
46 68.0000000000 68.0000000000 68.0000000000 68.0000000000
48 69.0000000000 69.0000000000 69.0000000000 69.0000000000
49 70.0000000000 70.0000000000 70.0000000000 70.0000000000
51 71.0000000000 71.0000000000 71.0000000000 71.0000000000
54 72.0000000000 72.0000000000 72.0000000000 72.0000000000
55 73.0000000000 73.0000000000 73.0000000000 73.0000000000
56 74.0000000000 74.0000000000 74.0000000000 74.0000000000
60 75.0000000000 75.0000000000 75.0000000000 75.0000000000
69 76.0000000000 76.0000000000 76.0000000000 76.0000000000
72 77.0000000000 77.0000000000 77.0000000000 77.0000000000
75 78.0000000000 78.0000000000 78.0000000000 78.0000000000
81 79.0000000000 79.0000000000 79.0000000000 79.0000000000
87 80.0000000000 80.0000000000 80.0000000000 80.0000000000
89 81.0000000000 81.0000000000 81.0000000000 81.0000000000
92 82.0000000000 82.0000000000 82.0000000000 82.0000000000
97 83.0000000000 83.0000000000 83.0000000000 83.0000000000
99 84.0000000000 84.0000000000 84.0000000000 84.0000000000
102 85.0000000000 85.0000000000 85.0000000000 85.0000000000
111 86.0000000000 86.0000000000 86.0000000000 86.0000000000
113 87.0000000000 87.0000000000 87.0000000000 87.0000000000
121 88.0000000000 88.0000000000 88.0000000000 88.0000000000
126 89.0000000000 89.0000000000 89.0000000000 89.0000000000
128 90.0000000000 90.0000000000 90.0000000000 90.0000000000
140 91.0000000000 91.0000000000 91.0000000000 91.0000000000
143 92.0000000000 92.0000000000 92.0000000000 92.0000000000
146 93.0000000000 93.0000000000 93.0000000000 93.0000000000
159 94.0000000000 94.0000000000 94.0000000000 94.0000000000
