"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -1430.0000000000 -1430.0000000000 -1430.0000000000 -1430.0000000000
3 -1391.0000000000 -1391.0000000000 -1391.0000000000 -1391.0000000000
10 -1352.0000000000 -1352.0000000000 -1352.0000000000 -1352.0000000000
13 -1313.0000000000 -1313.0000000000 -1313.0000000000 -1313.0000000000
14 -1274.0000000000 -1274.0000000000 -1274.0000000000 -1274.0000000000
15 -1235.0000000000 -1235.0000000000 -1235.0000000000 -1235.0000000000
16 -1196.0000000000 -1196.0000000000 -1196.0000000000 -1196.0000000000
17 -1157.0000000000 -1157.0000000000 -1157.0000000000 -1157.0000000000
20 -1118.0000000000 -1118.0000000000 -1118.0000000000 -1118.0000000000
21 -1079.0000000000 -1079.0000000000 -1079.0000000000 -1079.0000000000
24 -1050.0000000000 -1050.0000000000 -1050.0000000000 -1050.0000000000
25 -1011.0000000000 -1011.0000000000 -1011.0000000000 -1011.0000000000
27 -972.0000000000 -972.0000000000 -972.0000000000 -972.0000000000
29 -933.0000000000 -933.0000000000 -933.0000000000 -933.0000000000
31 -894.0000000000 -894.0000000000 -894.0000000000 -894.0000000000
35 -855.0000000000 -855.0000000000 -855.0000000000 -855.0000000000
36 -816.0000000000 -816.0000000000 -816.0000000000 -816.0000000000
44 -787.0000000000 -787.0000000000 -787.0000000000 -787.0000000000
45 -758.0000000000 -758.0000000000 -758.0000000000 -758.0000000000
53 -719.0000000000 -719.0000000000 -719.0000000000 -719.0000000000
56 -690.0000000000 -690.0000000000 -690.0000000000 -690.0000000000
59 -651.0000000000 -651.0000000000 -651.0000000000 -651.0000000000
61 -622.0000000000 -622.0000000000 -622.0000000000 -622.0000000000
62 -593.0000000000 -593.0000000000 -593.0000000000 -593.0000000000
65 -564.0000000000 -564.0000000000 -564.0000000000 -564.0000000000
71 -545.0000000000 -545.0000000000 -545.0000000000 -545.0000000000
78 -516.0000000000 -516.0000000000 -516.0000000000 -516.0000000000
82 -487.0000000000 -487.0000000000 -487.0000000000 -487.0000000000
95 -448.0000000000 -448.0000000000 -448.0000000000 -448.0000000000
103 -409.0000000000 -409.0000000000 -409.0000000000 -409.0000000000
109 -380.0000000000 -380.0000000000 -380.0000000000 -380.0000000000
111 -341.0000000000 -341.0000000000 -341.0000000000 -341.0000000000
124 -302.0000000000 -302.0000000000 -302.0000000000 -302.0000000000
127 -263.0000000000 -263.0000000000 -263.0000000000 -263.0000000000
132 -244.0000000000 -244.0000000000 -244.0000000000 -244.0000000000
146 -215.0000000000 -215.0000000000 -215.0000000000 -215.0000000000
148 -176.0000000000 -176.0000000000 -176.0000000000 -176.0000000000
159 -147.0000000000 -147.0000000000 -147.0000000000 -147.0000000000
160 -118.0000000000 -118.0000000000 -118.0000000000 -118.0000000000
174 -99.0000000000 -99.0000000000 -99.0000000000 -99.0000000000
178 -90.0000000000 -90.0000000000 -90.0000000000 -90.0000000000
183 -61.0000000000 -61.0000000000 -61.0000000000 -61.0000000000
209 -42.0000000000 -42.0000000000 -42.0000000000 -42.0000000000
215 -41.0000000000 -41.0000000000 -41.0000000000 -41.0000000000
241 -12.0000000000 -12.0000000000 -12.0000000000 -12.0000000000
265 -3.0000000000 -3.0000000000 -3.0000000000 -3.0000000000
290 6.0000000000 6.0000000000 6.0000000000 6.0000000000
293 7.0000000000 7.0000000000 7.0000000000 7.0000000000
314 8.0000000000 8.0000000000 8.0000000000 8.0000000000
606 9.0000000000 9.0000000000 9.0000000000 9.0000000000
100001 8.0000000000 9.0000000000 8.0000000000 9.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -1478.0000000000 -1478.0000000000 -1478.0000000000 -1478.0000000000
2 -1439.0000000000 -1439.0000000000 -1439.0000000000 -1439.0000000000
3 -1400.0000000000 -1400.0000000000 -1400.0000000000 -1400.0000000000
4 -1371.0000000000 -1371.0000000000 -1371.0000000000 -1371.0000000000
11 -1332.0000000000 -1332.0000000000 -1332.0000000000 -1332.0000000000
14 -1293.0000000000 -1293.0000000000 -1293.0000000000 -1293.0000000000
18 -1264.0000000000 -1264.0000000000 -1264.0000000000 -1264.0000000000
19 -1225.0000000000 -1225.0000000000 -1225.0000000000 -1225.0000000000
21 -1186.0000000000 -1186.0000000000 -1186.0000000000 -1186.0000000000
22 -1147.0000000000 -1147.0000000000 -1147.0000000000 -1147.0000000000
24 -1108.0000000000 -1108.0000000000 -1108.0000000000 -1108.0000000000
25 -1069.0000000000 -1069.0000000000 -1069.0000000000 -1069.0000000000
26 -1040.0000000000 -1040.0000000000 -1040.0000000000 -1040.0000000000
30 -1011.0000000000 -1011.0000000000 -1011.0000000000 -1011.0000000000
31 -972.0000000000 -972.0000000000 -972.0000000000 -972.0000000000
32 -933.0000000000 -933.0000000000 -933.0000000000 -933.0000000000
35 -904.0000000000 -904.0000000000 -904.0000000000 -904.0000000000
39 -865.0000000000 -865.0000000000 -865.0000000000 -865.0000000000
45 -826.0000000000 -826.0000000000 -826.0000000000 -826.0000000000
47 -797.0000000000 -797.0000000000 -797.0000000000 -797.0000000000
49 -768.0000000000 -768.0000000000 -768.0000000000 -768.0000000000
51 -729.0000000000 -729.0000000000 -729.0000000000 -729.0000000000
55 -690.0000000000 -690.0000000000 -690.0000000000 -690.0000000000
60 -651.0000000000 -651.0000000000 -651.0000000000 -651.0000000000
66 -612.0000000000 -612.0000000000 -612.0000000000 -612.0000000000
71 -573.0000000000 -573.0000000000 -573.0000000000 -573.0000000000
74 -544.0000000000 -544.0000000000 -544.0000000000 -544.0000000000
75 -505.0000000000 -505.0000000000 -505.0000000000 -505.0000000000
79 -466.0000000000 -466.0000000000 -466.0000000000 -466.0000000000
86 -437.0000000000 -437.0000000000 -437.0000000000 -437.0000000000
90 -408.0000000000 -408.0000000000 -408.0000000000 -408.0000000000
92 -369.0000000000 -369.0000000000 -369.0000000000 -369.0000000000
93 -330.0000000000 -330.0000000000 -330.0000000000 -330.0000000000
94 -291.0000000000 -291.0000000000 -291.0000000000 -291.0000000000
95 -262.0000000000 -262.0000000000 -262.0000000000 -262.0000000000
97 -233.0000000000 -233.0000000000 -233.0000000000 -233.0000000000
99 -224.0000000000 -224.0000000000 -224.0000000000 -224.0000000000
102 -185.0000000000 -185.0000000000 -185.0000000000 -185.0000000000
108 -166.0000000000 -166.0000000000 -166.0000000000 -166.0000000000
111 -127.0000000000 -127.0000000000 -127.0000000000 -127.0000000000
112 -98.0000000000 -98.0000000000 -98.0000000000 -98.0000000000
119 -79.0000000000 -79.0000000000 -79.0000000000 -79.0000000000
133 -60.0000000000 -60.0000000000 -60.0000000000 -60.0000000000
134 -51.0000000000 -51.0000000000 -51.0000000000 -51.0000000000
135 -50.0000000000 -50.0000000000 -50.0000000000 -50.0000000000
138 -41.0000000000 -41.0000000000 -41.0000000000 -41.0000000000
