"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 7.2000000000 7.2000000000 7.2000000000 7.2000000000
4 7.4000000000 7.4000000000 7.4000000000 7.4000000000
5 8.4000000000 8.4000000000 8.4000000000 8.4000000000
6 8.6000000000 8.6000000000 8.6000000000 8.6000000000
12 8.8000000000 8.8000000000 8.8000000000 8.8000000000
14 9.0000000000 9.0000000000 9.0000000000 9.0000000000
15 9.2000000000 9.2000000000 9.2000000000 9.2000000000
16 9.4000000000 9.4000000000 9.4000000000 9.4000000000
17 9.6000000000 9.6000000000 9.6000000000 9.6000000000
23 9.8000000000 9.8000000000 9.8000000000 9.8000000000
24 10.0000000000 10.0000000000 10.0000000000 10.0000000000
25 10.2000000000 10.2000000000 10.2000000000 10.2000000000
26 10.4000000000 10.4000000000 10.4000000000 10.4000000000
29 10.6000000000 10.6000000000 10.6000000000 10.6000000000
30 10.8000000000 10.8000000000 10.8000000000 10.8000000000
33 11.0000000000 11.0000000000 11.0000000000 11.0000000000
45 11.2000000000 11.2000000000 11.2000000000 11.2000000000
48 11.4000000000 11.4000000000 11.4000000000 11.4000000000
49 11.6000000000 11.6000000000 11.6000000000 11.6000000000
54 11.8000000000 11.8000000000 11.8000000000 11.8000000000
55 12.0000000000 12.0000000000 12.0000000000 12.0000000000
57 12.2000000000 12.2000000000 12.2000000000 12.2000000000
58 12.4000000000 12.4000000000 12.4000000000 12.4000000000
81 12.6000000000 12.6000000000 12.6000000000 12.6000000000
84 12.8000000000 12.8000000000 12.8000000000 12.8000000000
87 13.0000000000 13.0000000000 13.0000000000 13.0000000000
91 13.2000000000 13.2000000000 13.2000000000 13.2000000000
94 13.4000000000 13.4000000000 13.4000000000 13.4000000000
132 13.6000000000 13.6000000000 13.6000000000 13.6000000000
145 13.8000000000 13.8000000000 13.8000000000 13.8000000000
148 14.0000000000 14.0000000000 14.0000000000 14.0000000000
150 14.2000000000 14.2000000000 14.2000000000 14.2000000000
