"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -0.5227245914 -0.5227245914 -0.5227245914 -0.5227245914
2 -0.5180983966 -0.5180983966 -0.5180983966 -0.5180983966
3 -0.5154442666 -0.5154442666 -0.5154442666 -0.5154442666
4 -0.5090666233 -0.5090666233 -0.5090666233 -0.5090666233
5 -0.5081147250 -0.5081147250 -0.5081147250 -0.5081147250
7 -0.5031607365 -0.5031607365 -0.5031607365 -0.5031607365
10 -0.5015068037 -0.5015068037 -0.5015068037 -0.5015068037
11 -0.4948164893 -0.4948164893 -0.4948164893 -0.4948164893
14 -0.4925585594 -0.4925585594 -0.4925585594 -0.4925585594
16 -0.4871377284 -0.4871377284 -0.4871377284 -0.4871377284
22 -0.4747023602 -0.4747023602 -0.4747023602 -0.4747023602
24 -0.4706370953 -0.4706370953 -0.4706370953 -0.4706370953
26 -0.4680750201 -0.4680750201 -0.4680750201 -0.4680750201
27 -0.4663927952 -0.4663927952 -0.4663927952 -0.4663927952
30 -0.4656517778 -0.4656517778 -0.4656517778 -0.4656517778
36 -0.4622114886 -0.4622114886 -0.4622114886 -0.4622114886
37 -0.4603036486 -0.4603036486 -0.4603036486 -0.4603036486
38 -0.4543114397 -0.4543114397 -0.4543114397 -0.4543114397
41 -0.4431656508 -0.4431656508 -0.4431656508 -0.4431656508
47 -0.4368488173 -0.4368488173 -0.4368488173 -0.4368488173
51 -0.4337814843 -0.4337814843 -0.4337814843 -0.4337814843
56 -0.4255321042 -0.4255321042 -0.4255321042 -0.4255321042
58 -0.4117305253 -0.4117305253 -0.4117305253 -0.4117305253
59 -0.4087640986 -0.4087640986 -0.4087640986 -0.4087640986
61 -0.4082839786 -0.4082839786 -0.4082839786 -0.4082839786
64 -0.4073559837 -0.4073559837 -0.4073559837 -0.4073559837
77 -0.4050765353 -0.4050765353 -0.4050765353 -0.4050765353
81 -0.4024131597 -0.4024131597 -0.4024131597 -0.4024131597
82 -0.3955693528 -0.3955693528 -0.3955693528 -0.3955693528
86 -0.3925216878 -0.3925216878 -0.3925216878 -0.3925216878
87 -0.3917198468 -0.3917198468 -0.3917198468 -0.3917198468
92 -0.3893928693 -0.3893928693 -0.3893928693 -0.3893928693
95 -0.3846390784 -0.3846390784 -0.3846390784 -0.3846390784
102 -0.3741160799 -0.3741160799 -0.3741160799 -0.3741160799
106 -0.3700629988 -0.3700629988 -0.3700629988 -0.3700629988
125 -0.3700546137 -0.3700546137 -0.3700546137 -0.3700546137
127 -0.3690456018 -0.3690456018 -0.3690456018 -0.3690456018
139 -0.3591273033 -0.3591273033 -0.3591273033 -0.3591273033
143 -0.3587793463 -0.3587793463 -0.3587793463 -0.3587793463
160 -0.3582094623 -0.3582094623 -0.3582094623 -0.3582094623
166 -0.3532561998 -0.3532561998 -0.3532561998 -0.3532561998
