"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 2.0000000000 2.0000000000 2.0000000000 2.0000000000
74 3.0000000000 3.0000000000 3.0000000000 3.0000000000
122 6.0000000000 6.0000000000 6.0000000000 6.0000000000
198 7.0000000000 7.0000000000 7.0000000000 7.0000000000
403 8.0000000000 8.0000000000 8.0000000000 8.0000000000
425 11.0000000000 11.0000000000 11.0000000000 11.0000000000
1008 12.0000000000 12.0000000000 12.0000000000 12.0000000000
1134 14.0000000000 14.0000000000 14.0000000000 14.0000000000
1202 15.0000000000 15.0000000000 15.0000000000 15.0000000000
1610 18.0000000000 18.0000000000 18.0000000000 18.0000000000
1739 19.0000000000 19.0000000000 19.0000000000 19.0000000000
1952 24.0000000000 24.0000000000 24.0000000000 24.0000000000
2130 26.0000000000 26.0000000000 26.0000000000 26.0000000000
2228 29.0000000000 29.0000000000 29.0000000000 29.0000000000
2378 33.0000000000 33.0000000000 33.0000000000 33.0000000000
2428 36.0000000000 36.0000000000 36.0000000000 36.0000000000
2573 39.0000000000 39.0000000000 39.0000000000 39.0000000000
2794 44.0000000000 44.0000000000 44.0000000000 44.0000000000
2837 47.0000000000 47.0000000000 47.0000000000 47.0000000000
2885 50.0000000000 50.0000000000 50.0000000000 50.0000000000
2893 53.0000000000 53.0000000000 53.0000000000 53.0000000000
2962 55.0000000000 55.0000000000 55.0000000000 55.0000000000
3056 58.0000000000 58.0000000000 58.0000000000 58.0000000000
3107 60.0000000000 60.0000000000 60.0000000000 60.0000000000
3255 61.0000000000 61.0000000000 61.0000000000 61.0000000000
3326 65.0000000000 65.0000000000 65.0000000000 65.0000000000
3592 66.0000000000 66.0000000000 66.0000000000 66.0000000000
3605 68.0000000000 68.0000000000 68.0000000000 68.0000000000
3642 70.0000000000 70.0000000000 70.0000000000 70.0000000000
3958 71.0000000000 71.0000000000 71.0000000000 71.0000000000
4006 72.0000000000 72.0000000000 72.0000000000 72.0000000000
4013 73.0000000000 73.0000000000 73.0000000000 73.0000000000
4161 75.0000000000 75.0000000000 75.0000000000 75.0000000000
4162 76.0000000000 76.0000000000 76.0000000000 76.0000000000
4169 77.0000000000 77.0000000000 77.0000000000 77.0000000000
4263 83.0000000000 83.0000000000 83.0000000000 83.0000000000
4326 85.0000000000 85.0000000000 85.0000000000 85.0000000000
4346 87.0000000000 87.0000000000 87.0000000000 87.0000000000
4395 90.0000000000 90.0000000000 90.0000000000 90.0000000000
4446 91.0000000000 91.0000000000 91.0000000000 91.0000000000
4465 93.0000000000 93.0000000000 93.0000000000 93.0000000000
4542 95.0000000000 95.0000000000 95.0000000000 95.0000000000
4593 99.0000000000 99.0000000000 99.0000000000 99.0000000000
5028 100.0000000000 100.0000000000 100.0000000000 100.0000000000
100001 56.0000000000 100.0000000000 56.0000000000 100.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 2.0000000000 2.0000000000 2.0000000000 2.0000000000
153 4.0000000000 4.0000000000 4.0000000000 4.0000000000
173 6.0000000000 6.0000000000 6.0000000000 6.0000000000
236 8.0000000000 8.0000000000 8.0000000000 8.0000000000
267 9.0000000000 9.0000000000 9.0000000000 9.0000000000
303 15.0000000000 15.0000000000 15.0000000000 15.0000000000
563 17.0000000000 17.0000000000 17.0000000000 17.0000000000
643 18.0000000000 18.0000000000 18.0000000000 18.0000000000
703 19.0000000000 19.0000000000 19.0000000000 19.0000000000
791 20.0000000000 20.0000000000 20.0000000000 20.0000000000
1090 21.0000000000 21.0000000000 21.0000000000 21.0000000000
1094 24.0000000000 24.0000000000 24.0000000000 24.0000000000
1184 25.0000000000 25.0000000000 25.0000000000 25.0000000000
1506 29.0000000000 29.0000000000 29.0000000000 29.0000000000
1555 30.0000000000 30.0000000000 30.0000000000 30.0000000000
1621 31.0000000000 31.0000000000 31.0000000000 31.0000000000
1715 33.0000000000 33.0000000000 33.0000000000 33.0000000000
1974 36.0000000000 36.0000000000 36.0000000000 36.0000000000
2023 37.0000000000 37.0000000000 37.0000000000 37.0000000000
2095 38.0000000000 38.0000000000 38.0000000000 38.0000000000
2108 41.0000000000 41.0000000000 41.0000000000 41.0000000000
2459 43.0000000000 43.0000000000 43.0000000000 43.0000000000
2505 45.0000000000 45.0000000000 45.0000000000 45.0000000000
2595 46.0000000000 46.0000000000 46.0000000000 46.0000000000
2628 47.0000000000 47.0000000000 47.0000000000 47.0000000000
2643 51.0000000000 51.0000000000 51.0000000000 51.0000000000
2652 52.0000000000 52.0000000000 52.0000000000 52.0000000000
2808 54.0000000000 54.0000000000 54.0000000000 54.0000000000
2823 57.0000000000 57.0000000000 57.0000000000 57.0000000000
2827 60.0000000000 60.0000000000 60.0000000000 60.0000000000
3103 65.0000000000 65.0000000000 65.0000000000 65.0000000000
3208 67.0000000000 67.0000000000 67.0000000000 67.0000000000
3227 70.0000000000 70.0000000000 70.0000000000 70.0000000000
3315 71.0000000000 71.0000000000 71.0000000000 71.0000000000
3492 73.0000000000 73.0000000000 73.0000000000 73.0000000000
3493 74.0000000000 74.0000000000 74.0000000000 74.0000000000
3496 76.0000000000 76.0000000000 76.0000000000 76.0000000000
3671 77.0000000000 77.0000000000 77.0000000000 77.0000000000
3673 78.0000000000 78.0000000000 78.0000000000 78.0000000000
3764 79.0000000000 79.0000000000 79.0000000000 79.0000000000
3831 81.0000000000 81.0000000000 81.0000000000 81.0000000000
3981 83.0000000000 83.0000000000 83.0000000000 83.0000000000
4003 85.0000000000 85.0000000000 85.0000000000 85.0000000000
4032 86.0000000000 86.0000000000 86.0000000000 86.0000000000
4085 87.0000000000 87.0000000000 87.0000000000 87.0000000000
4194 88.0000000000 88.0000000000 88.0000000000 88.0000000000
4226 89.0000000000 89.0000000000 89.0000000000 89.0000000000
4310 90.0000000000 90.0000000000 90.0000000000 90.0000000000
4475 91.0000000000 91.0000000000 91.0000000000 91.0000000000
4531 95.0000000000 95.0000000000 95.0000000000 95.0000000000
4554 99.0000000000 99.0000000000 99.0000000000 99.0000000000
4568 100.0000000000 100.0000000000 100.0000000000 100.0000000000
100001 58.0000000000 100.0000000000 58.0000000000 100.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1.0000000000 1.0000000000 1.0000000000 1.0000000000
58 4.0000000000 4.0000000000 4.0000000000 4.0000000000
129 5.0000000000 5.0000000000 5.0000000000 5.0000000000
132 7.0000000000 7.0000000000 7.0000000000 7.0000000000
162 9.0000000000 9.0000000000 9.0000000000 9.0000000000
227 11.0000000000 11.0000000000 11.0000000000 11.0000000000
262 13.0000000000 13.0000000000 13.0000000000 13.0000000000
314 15.0000000000 15.0000000000 15.0000000000 15.0000000000
339 17.0000000000 17.0000000000 17.0000000000 17.0000000000
391 18.0000000000 18.0000000000 18.0000000000 18.0000000000
400 22.0000000000 22.0000000000 22.0000000000 22.0000000000
595 23.0000000000 23.0000000000 23.0000000000 23.0000000000
610 27.0000000000 27.0000000000 27.0000000000 27.0000000000
718 28.0000000000 28.0000000000 28.0000000000 28.0000000000
796 29.0000000000 29.0000000000 29.0000000000 29.0000000000
1032 30.0000000000 30.0000000000 30.0000000000 30.0000000000
1033 31.0000000000 31.0000000000 31.0000000000 31.0000000000
1040 35.0000000000 35.0000000000 35.0000000000 35.0000000000
1360 37.0000000000 37.0000000000 37.0000000000 37.0000000000
1437 38.0000000000 38.0000000000 38.0000000000 38.0000000000
1506 39.0000000000 39.0000000000 39.0000000000 39.0000000000
1517 40.0000000000 40.0000000000 40.0000000000 40.0000000000
1859 41.0000000000 41.0000000000 41.0000000000 41.0000000000
1893 52.0000000000 52.0000000000 52.0000000000 52.0000000000
1965 54.0000000000 54.0000000000 54.0000000000 54.0000000000
2122 56.0000000000 56.0000000000 56.0000000000 56.0000000000
2334 57.0000000000 57.0000000000 57.0000000000 57.0000000000
2437 58.0000000000 58.0000000000 58.0000000000 58.0000000000
2681 59.0000000000 59.0000000000 59.0000000000 59.0000000000
2776 62.0000000000 62.0000000000 62.0000000000 62.0000000000
2781 65.0000000000 65.0000000000 65.0000000000 65.0000000000
2807 67.0000000000 67.0000000000 67.0000000000 67.0000000000
2824 69.0000000000 69.0000000000 69.0000000000 69.0000000000
2896 70.0000000000 70.0000000000 70.0000000000 70.0000000000
3067 72.0000000000 72.0000000000 72.0000000000 72.0000000000
3069 74.0000000000 74.0000000000 74.0000000000 74.0000000000
3276 75.0000000000 75.0000000000 75.0000000000 75.0000000000
3344 76.0000000000 76.0000000000 76.0000000000 76.0000000000
3413 77.0000000000 77.0000000000 77.0000000000 77.0000000000
3460 82.0000000000 82.0000000000 82.0000000000 82.0000000000
3868 83.0000000000 83.0000000000 83.0000000000 83.0000000000
3880 85.0000000000 85.0000000000 85.0000000000 85.0000000000
4184 86.0000000000 86.0000000000 86.0000000000 86.0000000000
4242 87.0000000000 87.0000000000 87.0000000000 87.0000000000
4304 88.0000000000 88.0000000000 88.0000000000 88.0000000000
4313 90.0000000000 90.0000000000 90.0000000000 90.0000000000
4382 91.0000000000 91.0000000000 91.0000000000 91.0000000000
4396 93.0000000000 93.0000000000 93.0000000000 93.0000000000
4401 95.0000000000 95.0000000000 95.0000000000 95.0000000000
4440 97.0000000000 97.0000000000 97.0000000000 97.0000000000
4566 98.0000000000 98.0000000000 98.0000000000 98.0000000000
4567 100.0000000000 100.0000000000 100.0000000000 100.0000000000
100001 79.0000000000 100.0000000000 79.0000000000 100.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 2.0000000000 2.0000000000 2.0000000000 2.0000000000
182 4.0000000000 4.0000000000 4.0000000000 4.0000000000
358 5.0000000000 5.0000000000 5.0000000000 5.0000000000
365 7.0000000000 7.0000000000 7.0000000000 7.0000000000
390 8.0000000000 8.0000000000 8.0000000000 8.0000000000
403 10.0000000000 10.0000000000 10.0000000000 10.0000000000
562 13.0000000000 13.0000000000 13.0000000000 13.0000000000
628 14.0000000000 14.0000000000 14.0000000000 14.0000000000
744 15.0000000000 15.0000000000 15.0000000000 15.0000000000
788 16.0000000000 16.0000000000 16.0000000000 16.0000000000
890 18.0000000000 18.0000000000 18.0000000000 18.0000000000
963 22.0000000000 22.0000000000 22.0000000000 22.0000000000
1027 23.0000000000 23.0000000000 23.0000000000 23.0000000000
1130 24.0000000000 24.0000000000 24.0000000000 24.0000000000
1132 25.0000000000 25.0000000000 25.0000000000 25.0000000000
1313 27.0000000000 27.0000000000 27.0000000000 27.0000000000
1568 28.0000000000 28.0000000000 28.0000000000 28.0000000000
1969 32.0000000000 32.0000000000 32.0000000000 32.0000000000
2011 33.0000000000 33.0000000000 33.0000000000 33.0000000000
2022 35.0000000000 35.0000000000 35.0000000000 35.0000000000
2205 36.0000000000 36.0000000000 36.0000000000 36.0000000000
2211 38.0000000000 38.0000000000 38.0000000000 38.0000000000
2310 40.0000000000 40.0000000000 40.0000000000 40.0000000000
2398 43.0000000000 43.0000000000 43.0000000000 43.0000000000
2497 46.0000000000 46.0000000000 46.0000000000 46.0000000000
2520 47.0000000000 47.0000000000 47.0000000000 47.0000000000
2594 49.0000000000 49.0000000000 49.0000000000 49.0000000000
2615 51.0000000000 51.0000000000 51.0000000000 51.0000000000
2627 53.0000000000 53.0000000000 53.0000000000 53.0000000000
2762 54.0000000000 54.0000000000 54.0000000000 54.0000000000
2858 58.0000000000 58.0000000000 58.0000000000 58.0000000000
2990 59.0000000000 59.0000000000 59.0000000000 59.0000000000
3040 63.0000000000 63.0000000000 63.0000000000 63.0000000000
