"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 2716.0000000000 2716.0000000000 2716.0000000000 2716.0000000000
2 2754.0000000000 2754.0000000000 2754.0000000000 2754.0000000000
5 2850.0000000000 2850.0000000000 2850.0000000000 2850.0000000000
7 2876.0000000000 2876.0000000000 2876.0000000000 2876.0000000000
10 2901.0000000000 2901.0000000000 2901.0000000000 2901.0000000000
11 2911.0000000000 2911.0000000000 2911.0000000000 2911.0000000000
12 2931.0000000000 2931.0000000000 2931.0000000000 2931.0000000000
16 3028.0000000000 3028.0000000000 3028.0000000000 3028.0000000000
18 3063.0000000000 3063.0000000000 3063.0000000000 3063.0000000000
19 3121.0000000000 3121.0000000000 3121.0000000000 3121.0000000000
20 3171.0000000000 3171.0000000000 3171.0000000000 3171.0000000000
29 3243.0000000000 3243.0000000000 3243.0000000000 3243.0000000000
34 3258.0000000000 3258.0000000000 3258.0000000000 3258.0000000000
37 3314.0000000000 3314.0000000000 3314.0000000000 3314.0000000000
38 3398.0000000000 3398.0000000000 3398.0000000000 3398.0000000000
40 3476.0000000000 3476.0000000000 3476.0000000000 3476.0000000000
41 3485.0000000000 3485.0000000000 3485.0000000000 3485.0000000000
51 3568.0000000000 3568.0000000000 3568.0000000000 3568.0000000000
52 3633.0000000000 3633.0000000000 3633.0000000000 3633.0000000000
54 3684.0000000000 3684.0000000000 3684.0000000000 3684.0000000000
56 3770.0000000000 3770.0000000000 3770.0000000000 3770.0000000000
57 3844.0000000000 3844.0000000000 3844.0000000000 3844.0000000000
66 3943.0000000000 3943.0000000000 3943.0000000000 3943.0000000000
67 3977.0000000000 3977.0000000000 3977.0000000000 3977.0000000000
82 4057.0000000000 4057.0000000000 4057.0000000000 4057.0000000000
87 4081.0000000000 4081.0000000000 4081.0000000000 4081.0000000000
97 4088.0000000000 4088.0000000000 4088.0000000000 4088.0000000000
105 4132.0000000000 4132.0000000000 4132.0000000000 4132.0000000000
106 4155.0000000000 4155.0000000000 4155.0000000000 4155.0000000000
107 4237.0000000000 4237.0000000000 4237.0000000000 4237.0000000000
113 4301.0000000000 4301.0000000000 4301.0000000000 4301.0000000000
123 4319.0000000000 4319.0000000000 4319.0000000000 4319.0000000000
125 4378.0000000000 4378.0000000000 4378.0000000000 4378.0000000000
132 4471.0000000000 4471.0000000000 4471.0000000000 4471.0000000000
148 4571.0000000000 4571.0000000000 4571.0000000000 4571.0000000000
160 4610.0000000000 4610.0000000000 4610.0000000000 4610.0000000000
162 4700.0000000000 4700.0000000000 4700.0000000000 4700.0000000000
177 4740.0000000000 4740.0000000000 4740.0000000000 4740.0000000000
205 4787.0000000000 4787.0000000000 4787.0000000000 4787.0000000000
208 4800.0000000000 4800.0000000000 4800.0000000000 4800.0000000000
209 4822.0000000000 4822.0000000000 4822.0000000000 4822.0000000000
212 4853.0000000000 4853.0000000000 4853.0000000000 4853.0000000000
264 4920.0000000000 4920.0000000000 4920.0000000000 4920.0000000000
300 4926.0000000000 4926.0000000000 4926.0000000000 4926.0000000000
331 5013.0000000000 5013.0000000000 5013.0000000000 5013.0000000000
534 5050.0000000000 5050.0000000000 5050.0000000000 5050.0000000000
100001 4985.0000000000 5050.0000000000 4985.0000000000 5050.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 2359.0000000000 2359.0000000000 2359.0000000000 2359.0000000000
4 2394.0000000000 2394.0000000000 2394.0000000000 2394.0000000000
5 2434.0000000000 2434.0000000000 2434.0000000000 2434.0000000000
6 2459.0000000000 2459.0000000000 2459.0000000000 2459.0000000000
9 2555.0000000000 2555.0000000000 2555.0000000000 2555.0000000000
12 2640.0000000000 2640.0000000000 2640.0000000000 2640.0000000000
13 2666.0000000000 2666.0000000000 2666.0000000000 2666.0000000000
15 2757.0000000000 2757.0000000000 2757.0000000000 2757.0000000000
20 2823.0000000000 2823.0000000000 2823.0000000000 2823.0000000000
22 2883.0000000000 2883.0000000000 2883.0000000000 2883.0000000000
25 2888.0000000000 2888.0000000000 2888.0000000000 2888.0000000000
27 2958.0000000000 2958.0000000000 2958.0000000000 2958.0000000000
30 3053.0000000000 3053.0000000000 3053.0000000000 3053.0000000000
31 3096.0000000000 3096.0000000000 3096.0000000000 3096.0000000000
40 3106.0000000000 3106.0000000000 3106.0000000000 3106.0000000000
43 3168.0000000000 3168.0000000000 3168.0000000000 3168.0000000000
45 3217.0000000000 3217.0000000000 3217.0000000000 3217.0000000000
47 3290.0000000000 3290.0000000000 3290.0000000000 3290.0000000000
52 3324.0000000000 3324.0000000000 3324.0000000000 3324.0000000000
61 3344.0000000000 3344.0000000000 3344.0000000000 3344.0000000000
62 3386.0000000000 3386.0000000000 3386.0000000000 3386.0000000000
65 3388.0000000000 3388.0000000000 3388.0000000000 3388.0000000000
68 3436.0000000000 3436.0000000000 3436.0000000000 3436.0000000000
70 3444.0000000000 3444.0000000000 3444.0000000000 3444.0000000000
77 3490.0000000000 3490.0000000000 3490.0000000000 3490.0000000000
79 3564.0000000000 3564.0000000000 3564.0000000000 3564.0000000000
82 3618.0000000000 3618.0000000000 3618.0000000000 3618.0000000000
83 3687.0000000000 3687.0000000000 3687.0000000000 3687.0000000000
88 3766.0000000000 3766.0000000000 3766.0000000000 3766.0000000000
95 3838.0000000000 3838.0000000000 3838.0000000000 3838.0000000000
101 3916.0000000000 3916.0000000000 3916.0000000000 3916.0000000000
107 3983.0000000000 3983.0000000000 3983.0000000000 3983.0000000000
111 3987.0000000000 3987.0000000000 3987.0000000000 3987.0000000000
114 4020.0000000000 4020.0000000000 4020.0000000000 4020.0000000000
116 4064.0000000000 4064.0000000000 4064.0000000000 4064.0000000000
117 4082.0000000000 4082.0000000000 4082.0000000000 4082.0000000000
122 4139.0000000000 4139.0000000000 4139.0000000000 4139.0000000000
126 4189.0000000000 4189.0000000000 4189.0000000000 4189.0000000000
127 4264.0000000000 4264.0000000000 4264.0000000000 4264.0000000000
138 4311.0000000000 4311.0000000000 4311.0000000000 4311.0000000000
163 4401.0000000000 4401.0000000000 4401.0000000000 4401.0000000000
176 4499.0000000000 4499.0000000000 4499.0000000000 4499.0000000000
217 4582.0000000000 4582.0000000000 4582.0000000000 4582.0000000000
238 4614.0000000000 4614.0000000000 4614.0000000000 4614.0000000000
289 4711.0000000000 4711.0000000000 4711.0000000000 4711.0000000000
300 4800.0000000000 4800.0000000000 4800.0000000000 4800.0000000000
383 4816.0000000000 4816.0000000000 4816.0000000000 4816.0000000000
411 4909.0000000000 4909.0000000000 4909.0000000000 4909.0000000000
472 4995.0000000000 4995.0000000000 4995.0000000000 4995.0000000000
497 5050.0000000000 5050.0000000000 5050.0000000000 5050.0000000000
100001 5018.0000000000 5050.0000000000 5018.0000000000 5050.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 2579.0000000000 2579.0000000000 2579.0000000000 2579.0000000000
4 2605.0000000000 2605.0000000000 2605.0000000000 2605.0000000000
5 2639.0000000000 2639.0000000000 2639.0000000000 2639.0000000000
8 2684.0000000000 2684.0000000000 2684.0000000000 2684.0000000000
9 2734.0000000000 2734.0000000000 2734.0000000000 2734.0000000000
10 2766.0000000000 2766.0000000000 2766.0000000000 2766.0000000000
12 2850.0000000000 2850.0000000000 2850.0000000000 2850.0000000000
13 2950.0000000000 2950.0000000000 2950.0000000000 2950.0000000000
15 2994.0000000000 2994.0000000000 2994.0000000000 2994.0000000000
17 3032.0000000000 3032.0000000000 3032.0000000000 3032.0000000000
21 3080.0000000000 3080.0000000000 3080.0000000000 3080.0000000000
23 3143.0000000000 3143.0000000000 3143.0000000000 3143.0000000000
27 3201.0000000000 3201.0000000000 3201.0000000000 3201.0000000000
29 3291.0000000000 3291.0000000000 3291.0000000000 3291.0000000000
33 3338.0000000000 3338.0000000000 3338.0000000000 3338.0000000000
36 3349.0000000000 3349.0000000000 3349.0000000000 3349.0000000000
37 3442.0000000000 3442.0000000000 3442.0000000000 3442.0000000000
39 3471.0000000000 3471.0000000000 3471.0000000000 3471.0000000000
41 3540.0000000000 3540.0000000000 3540.0000000000 3540.0000000000
48 3608.0000000000 3608.0000000000 3608.0000000000 3608.0000000000
53 3689.0000000000 3689.0000000000 3689.0000000000 3689.0000000000
55 3706.0000000000 3706.0000000000 3706.0000000000 3706.0000000000
56 3768.0000000000 3768.0000000000 3768.0000000000 3768.0000000000
57 3808.0000000000 3808.0000000000 3808.0000000000 3808.0000000000
70 3899.0000000000 3899.0000000000 3899.0000000000 3899.0000000000
71 3977.0000000000 3977.0000000000 3977.0000000000 3977.0000000000
72 4052.0000000000 4052.0000000000 4052.0000000000 4052.0000000000
77 4070.0000000000 4070.0000000000 4070.0000000000 4070.0000000000
82 4089.0000000000 4089.0000000000 4089.0000000000 4089.0000000000
86 4130.0000000000 4130.0000000000 4130.0000000000 4130.0000000000
89 4216.0000000000 4216.0000000000 4216.0000000000 4216.0000000000
94 4249.0000000000 4249.0000000000 4249.0000000000 4249.0000000000
118 4279.0000000000 4279.0000000000 4279.0000000000 4279.0000000000
125 4310.0000000000 4310.0000000000 4310.0000000000 4310.0000000000
