"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 0.9708737864 0.9708737864 0.9708737864 0.9708737864
2 1.4310246136 1.4310246136 1.4310246136 1.4310246136
10 1.4425851125 1.4425851125 1.4425851125 1.4425851125
14 1.4611338399 1.4611338399 1.4611338399 1.4611338399
38 1.5105740181 1.5105740181 1.5105740181 1.5105740181
46 1.6972165648 1.6972165648 1.6972165648 1.6972165648
195 1.7041581459 1.7041581459 1.7041581459 1.7041581459
366 1.8050541516 1.8050541516 1.8050541516 1.8050541516
1107 1.8450184502 1.8450184502 1.8450184502 1.8450184502
1869 1.8504811251 1.8504811251 1.8504811251 1.8504811251
2065 1.9669551534 1.9669551534 1.9669551534 1.9669551534
9175 1.9952114924 1.9952114924 1.9952114924 1.9952114924
9452 2.1349274125 2.1349274125 2.1349274125 2.1349274125
30679 2.1607605877 2.1607605877 2.1607605877 2.1607605877
44362 2.1834061135 2.1834061135 2.1834061135 2.1834061135
100000 1.4731879788 2.1834061135 1.4731879788 2.1834061135
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 0.9269558769 0.9269558769 0.9269558769 0.9269558769
3 1.0412328197 1.0412328197 1.0412328197 1.0412328197
4 1.2813941568 1.2813941568 1.2813941568 1.2813941568
6 1.7111567420 1.7111567420 1.7111567420 1.7111567420
278 1.7642907551 1.7642907551 1.7642907551 1.7642907551
388 1.7895490336 1.7895490336 1.7895490336 1.7895490336
572 1.9455252918 1.9455252918 1.9455252918 1.9455252918
1018 1.9700551615 1.9700551615 1.9700551615 1.9700551615
1413 2.0441537204 2.0441537204 2.0441537204 2.0441537204
5214 2.2026431718 2.2026431718 2.2026431718 2.2026431718
75753 2.3562676720 2.3562676720 2.3562676720 2.3562676720
100000 0.9380863039 2.3562676720 0.9380863039 2.3562676720
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 0.6305170240 0.6305170240 0.6305170240 0.6305170240
2 0.8695652174 0.8695652174 0.8695652174 0.8695652174
3 1.1764705882 1.1764705882 1.1764705882 1.1764705882
7 1.3390465988 1.3390465988 1.3390465988 1.3390465988
9 1.4628437683 1.4628437683 1.4628437683 1.4628437683
27 1.5556938395 1.5556938395 1.5556938395 1.5556938395
75 1.6139444803 1.6139444803 1.6139444803 1.6139444803
143 1.6350555919 1.6350555919 1.6350555919 1.6350555919
187 1.6812373907 1.6812373907 1.6812373907 1.6812373907
299 1.8422991894 1.8422991894 1.8422991894 1.8422991894
1070 2.0576131687 2.0576131687 2.0576131687 2.0576131687
10011 2.1872265967 2.1872265967 2.1872265967 2.1872265967
36183 2.3342670401 2.3342670401 2.3342670401 2.3342670401
100000 1.0921799913 2.3342670401 1.0921799913 2.3342670401
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 0.6105006105 0.6105006105 0.6105006105 0.6105006105
2 0.8409014464 0.8409014464 0.8409014464 0.8409014464
3 1.2671059301 1.2671059301 1.2671059301 1.2671059301
9 1.3958682300 1.3958682300 1.3958682300 1.3958682300
10 1.5518311608 1.5518311608 1.5518311608 1.5518311608
19 1.6567263088 1.6567263088 1.6567263088 1.6567263088
189 1.6589250166 1.6589250166 1.6589250166 1.6589250166
267 1.7568517217 1.7568517217 1.7568517217 1.7568517217
637 1.8504811251 1.8504811251 1.8504811251 1.8504811251
739 1.9638648861 1.9638648861 1.9638648861 1.9638648861
1399 2.1758050479 2.1758050479 2.1758050479 2.1758050479
17849 2.2341376229 2.2341376229 2.2341376229 2.2341376229
20850 2.2502250225 2.2502250225 2.2502250225 2.2502250225
100000 1.0969723563 2.2502250225 1.0969723563 2.2502250225
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1.2201073694 1.2201073694 1.2201073694 1.2201073694
3 1.2946659762 1.2946659762 1.2946659762 1.2946659762
11 1.4854426619 1.4854426619 1.4854426619 1.4854426619
19 1.5384615385 1.5384615385 1.5384615385 1.5384615385
