"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 52.0000000000 52.0000000000 52.0000000000 52.0000000000
2 54.0000000000 54.0000000000 54.0000000000 54.0000000000
3 56.0000000000 56.0000000000 56.0000000000 56.0000000000
20 57.0000000000 57.0000000000 57.0000000000 57.0000000000
44 60.0000000000 60.0000000000 60.0000000000 60.0000000000
89 61.0000000000 61.0000000000 61.0000000000 61.0000000000
144 65.0000000000 65.0000000000 65.0000000000 65.0000000000
2233 66.0000000000 66.0000000000 66.0000000000 66.0000000000
2873 67.0000000000 67.0000000000 67.0000000000 67.0000000000
4326 69.0000000000 69.0000000000 69.0000000000 69.0000000000
42629 72.0000000000 72.0000000000 72.0000000000 72.0000000000
100000 43.0000000000 72.0000000000 43.0000000000 72.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 46.0000000000 46.0000000000 46.0000000000 46.0000000000
3 48.0000000000 48.0000000000 48.0000000000 48.0000000000
4 49.0000000000 49.0000000000 49.0000000000 49.0000000000
5 51.0000000000 51.0000000000 51.0000000000 51.0000000000
8 59.0000000000 59.0000000000 59.0000000000 59.0000000000
9 62.0000000000 62.0000000000 62.0000000000 62.0000000000
96 64.0000000000 64.0000000000 64.0000000000 64.0000000000
305 66.0000000000 66.0000000000 66.0000000000 66.0000000000
3501 67.0000000000 67.0000000000 67.0000000000 67.0000000000
10112 69.0000000000 69.0000000000 69.0000000000 69.0000000000
10676 70.0000000000 70.0000000000 70.0000000000 70.0000000000
100000 46.0000000000 70.0000000000 46.0000000000 70.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 54.0000000000 54.0000000000 54.0000000000 54.0000000000
4 55.0000000000 55.0000000000 55.0000000000 55.0000000000
12 57.0000000000 57.0000000000 57.0000000000 57.0000000000
47 58.0000000000 58.0000000000 58.0000000000 58.0000000000
63 59.0000000000 59.0000000000 59.0000000000 59.0000000000
169 62.0000000000 62.0000000000 62.0000000000 62.0000000000
478 63.0000000000 63.0000000000 63.0000000000 63.0000000000
673 66.0000000000 66.0000000000 66.0000000000 66.0000000000
3722 69.0000000000 69.0000000000 69.0000000000 69.0000000000
30355 72.0000000000 72.0000000000 72.0000000000 72.0000000000
100000 53.0000000000 72.0000000000 53.0000000000 72.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 50.0000000000 50.0000000000 50.0000000000 50.0000000000
2 51.0000000000 51.0000000000 51.0000000000 51.0000000000
4 59.0000000000 59.0000000000 59.0000000000 59.0000000000
55 60.0000000000 60.0000000000 60.0000000000 60.0000000000
227 64.0000000000 64.0000000000 64.0000000000 64.0000000000
567 65.0000000000 65.0000000000 65.0000000000 65.0000000000
1454 66.0000000000 66.0000000000 66.0000000000 66.0000000000
4255 68.0000000000 68.0000000000 68.0000000000 68.0000000000
5287 69.0000000000 69.0000000000 69.0000000000 69.0000000000
7054 72.0000000000 72.0000000000 72.0000000000 72.0000000000
100000 47.0000000000 72.0000000000 47.0000000000 72.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 40.0000000000 40.0000000000 40.0000000000 40.0000000000
2 48.0000000000 48.0000000000 48.0000000000 48.0000000000
4 54.0000000000 54.0000000000 54.0000000000 54.0000000000
5 55.0000000000 55.0000000000 55.0000000000 55.0000000000
13 58.0000000000 58.0000000000 58.0000000000 58.0000000000
109 59.0000000000 59.0000000000 59.0000000000 59.0000000000
163 64.0000000000 64.0000000000 64.0000000000 64.0000000000
1039 71.0000000000 71.0000000000 71.0000000000 71.0000000000
100000 52.0000000000 71.0000000000 52.0000000000 71.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 44.0000000000 44.0000000000 44.0000000000 44.0000000000
2 45.0000000000 45.0000000000 45.0000000000 45.0000000000
3 48.0000000000 48.0000000000 48.0000000000 48.0000000000
6 52.0000000000 52.0000000000 52.0000000000 52.0000000000
