"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -1313.0000000000 -1313.0000000000 -1313.0000000000 -1313.0000000000
3 -1215.0000000000 -1215.0000000000 -1215.0000000000 -1215.0000000000
16 -1176.0000000000 -1176.0000000000 -1176.0000000000 -1176.0000000000
43 -1157.0000000000 -1157.0000000000 -1157.0000000000 -1157.0000000000
47 -1069.0000000000 -1069.0000000000 -1069.0000000000 -1069.0000000000
94 -1059.0000000000 -1059.0000000000 -1059.0000000000 -1059.0000000000
112 -1020.0000000000 -1020.0000000000 -1020.0000000000 -1020.0000000000
125 -973.0000000000 -973.0000000000 -973.0000000000 -973.0000000000
669 -914.0000000000 -914.0000000000 -914.0000000000 -914.0000000000
731 -767.0000000000 -767.0000000000 -767.0000000000 -767.0000000000
1804 -748.0000000000 -748.0000000000 -748.0000000000 -748.0000000000
34071 -515.0000000000 -515.0000000000 -515.0000000000 -515.0000000000
100000 -1205.0000000000 -515.0000000000 -1205.0000000000 -515.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -1332.0000000000 -1332.0000000000 -1332.0000000000 -1332.0000000000
5 -1283.0000000000 -1283.0000000000 -1283.0000000000 -1283.0000000000
14 -1234.0000000000 -1234.0000000000 -1234.0000000000 -1234.0000000000
21 -1118.0000000000 -1118.0000000000 -1118.0000000000 -1118.0000000000
23 -1030.0000000000 -1030.0000000000 -1030.0000000000 -1030.0000000000
145 -875.0000000000 -875.0000000000 -875.0000000000 -875.0000000000
368 -865.0000000000 -865.0000000000 -865.0000000000 -865.0000000000
4464 -855.0000000000 -855.0000000000 -855.0000000000 -855.0000000000
5118 -748.0000000000 -748.0000000000 -748.0000000000 -748.0000000000
20695 -728.0000000000 -728.0000000000 -728.0000000000 -728.0000000000
35778 -719.0000000000 -719.0000000000 -719.0000000000 -719.0000000000
43670 -660.0000000000 -660.0000000000 -660.0000000000 -660.0000000000
44337 -622.0000000000 -622.0000000000 -622.0000000000 -622.0000000000
50723 -592.0000000000 -592.0000000000 -592.0000000000 -592.0000000000
100000 -1400.0000000000 -592.0000000000 -1400.0000000000 -592.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -1654.0000000000 -1654.0000000000 -1654.0000000000 -1654.0000000000
2 -894.0000000000 -894.0000000000 -894.0000000000 -894.0000000000
243 -884.0000000000 -884.0000000000 -884.0000000000 -884.0000000000
840 -874.0000000000 -874.0000000000 -874.0000000000 -874.0000000000
1454 -749.0000000000 -749.0000000000 -749.0000000000 -749.0000000000
26337 -748.0000000000 -748.0000000000 -748.0000000000 -748.0000000000
27203 -738.0000000000 -738.0000000000 -738.0000000000 -738.0000000000
39881 -729.0000000000 -729.0000000000 -729.0000000000 -729.0000000000
63800 -709.0000000000 -709.0000000000 -709.0000000000 -709.0000000000
100000 -1215.0000000000 -709.0000000000 -1215.0000000000 -709.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -1323.0000000000 -1323.0000000000 -1323.0000000000 -1323.0000000000
2 -962.0000000000 -962.0000000000 -962.0000000000 -962.0000000000
178 -914.0000000000 -914.0000000000 -914.0000000000 -914.0000000000
419 -903.0000000000 -903.0000000000 -903.0000000000 -903.0000000000
638 -875.0000000000 -875.0000000000 -875.0000000000 -875.0000000000
1207 -854.0000000000 -854.0000000000 -854.0000000000 -854.0000000000
1997 -768.0000000000 -768.0000000000 -768.0000000000 -768.0000000000
