"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 5.4000000000 5.4000000000 5.4000000000 5.4000000000
2 8.0000000000 8.0000000000 8.0000000000 8.0000000000
22 8.6000000000 8.6000000000 8.6000000000 8.6000000000
63 9.4000000000 9.4000000000 9.4000000000 9.4000000000
117 10.0000000000 10.0000000000 10.0000000000 10.0000000000
655 10.2000000000 10.2000000000 10.2000000000 10.2000000000
1258 10.8000000000 10.8000000000 10.8000000000 10.8000000000
14790 11.0000000000 11.0000000000 11.0000000000 11.0000000000
28210 11.6000000000 11.6000000000 11.6000000000 11.6000000000
70391 11.6000000000 11.6000000000 11.6000000000 11.6000000000
100000 9.0000000000 11.6000000000 9.0000000000 11.6000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 6.0000000000 6.0000000000 6.0000000000 6.0000000000
5 7.0000000000 7.0000000000 7.0000000000 7.0000000000
8 7.2000000000 7.2000000000 7.2000000000 7.2000000000
10 7.4000000000 7.4000000000 7.4000000000 7.4000000000
16 8.8000000000 8.8000000000 8.8000000000 8.8000000000
45 9.0000000000 9.0000000000 9.0000000000 9.0000000000
46 9.4000000000 9.4000000000 9.4000000000 9.4000000000
126 9.6000000000 9.6000000000 9.6000000000 9.6000000000
169 11.0000000000 11.0000000000 11.0000000000 11.0000000000
1077 11.4000000000 11.4000000000 11.4000000000 11.4000000000
31361 11.6000000000 11.6000000000 11.6000000000 11.6000000000
100000 8.0000000000 11.6000000000 8.0000000000 11.6000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 8.0000000000 8.0000000000 8.0000000000 8.0000000000
5 8.2000000000 8.2000000000 8.2000000000 8.2000000000
10 8.2000000000 8.2000000000 8.2000000000 8.2000000000
48 9.0000000000 9.0000000000 9.0000000000 9.0000000000
77 9.4000000000 9.4000000000 9.4000000000 9.4000000000
251 9.4000000000 9.4000000000 9.4000000000 9.4000000000
277 9.6000000000 9.6000000000 9.6000000000 9.6000000000
516 9.6000000000 9.6000000000 9.6000000000 9.6000000000
565 11.2000000000 11.2000000000 11.2000000000 11.2000000000
16758 11.4000000000 11.4000000000 11.4000000000 11.4000000000
100000 4.6000000000 11.4000000000 4.6000000000 11.4000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 5.4000000000 5.4000000000 5.4000000000 5.4000000000
2 6.6000000000 6.6000000000 6.6000000000 6.6000000000
3 7.2000000000 7.2000000000 7.2000000000 7.2000000000
4 8.0000000000 8.0000000000 8.0000000000 8.0000000000
19 8.2000000000 8.2000000000 8.2000000000 8.2000000000
33 8.4000000000 8.4000000000 8.4000000000 8.4000000000
38 9.2000000000 9.2000000000 9.2000000000 9.2000000000
106 9.4000000000 9.4000000000 9.4000000000 9.4000000000
216 10.2000000000 10.2000000000 10.2000000000 10.2000000000
738 10.8000000000 10.8000000000 10.8000000000 10.8000000000
9752 11.0000000000 11.0000000000 11.0000000000 11.0000000000
35976 11.8000000000 11.8000000000 11.8000000000 11.8000000000
100000 7.4000000000 11.8000000000 7.4000000000 11.8000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 7.0000000000 7.0000000000 7.0000000000 7.0000000000
3 7.0000000000 7.0000000000 7.0000000000 7.0000000000
4 7.4000000000 7.4000000000 7.4000000000 7.4000000000
9 8.2000000000 8.2000000000 8.2000000000 8.2000000000
28 8.4000000000 8.4000000000 8.4000000000 8.4000000000
36 8.6000000000 8.6000000000 8.6000000000 8.6000000000
79 9.4000000000 9.4000000000 9.4000000000 9.4000000000
333 10.0000000000 10.0000000000 10.0000000000 10.0000000000
387 10.6000000000 10.6000000000 10.6000000000 10.6000000000
3411 10.8000000000 10.8000000000 10.8000000000 10.8000000000
4154 11.0000000000 11.0000000000 11.0000000000 11.0000000000
8866 11.2000000000 11.2000000000 11.2000000000 11.2000000000
23292 12.4000000000 12.4000000000 12.4000000000 12.4000000000
100000 6.8000000000 12.4000000000 6.8000000000 12.4000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 8.6000000000 8.6000000000 8.6000000000 8.6000000000
8 9.0000000000 9.0000000000 9.0000000000 9.0000000000
19 10.0000000000 10.0000000000 10.0000000000 10.0000000000
500 10.8000000000 10.8000000000 10.8000000000 10.8000000000
3349 11.2000000000 11.2000000000 11.2000000000 11.2000000000
5866 11.4000000000 11.4000000000 11.4000000000 11.4000000000
29470 11.8000000000 11.8000000000 11.8000000000 11.8000000000
100000 6.8000000000 11.8000000000 6.8000000000 11.8000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 6.2000000000 6.2000000000 6.2000000000 6.2000000000
2 8.0000000000 8.0000000000 8.0000000000 8.0000000000
4 8.6000000000 8.6000000000 8.6000000000 8.6000000000
19 10.0000000000 10.0000000000 10.0000000000 10.0000000000
1629 10.2000000000 10.2000000000 10.2000000000 10.2000000000
2024 10.4000000000 10.4000000000 10.4000000000 10.4000000000
2118 11.4000000000 11.4000000000 11.4000000000 11.4000000000
62055 12.2000000000 12.2000000000 12.2000000000 12.2000000000
100000 7.6000000000 12.2000000000 7.6000000000 12.2000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 7.6000000000 7.6000000000 7.6000000000 7.6000000000
5 8.4000000000 8.4000000000 8.4000000000 8.4000000000
46 9.0000000000 9.0000000000 9.0000000000 9.0000000000
202 9.4000000000 9.4000000000 9.4000000000 9.4000000000
314 10.2000000000 10.2000000000 10.2000000000 10.2000000000
2574 10.4000000000 10.4000000000 10.4000000000 10.4000000000
2611 10.6000000000 10.6000000000 10.6000000000 10.6000000000
3177 10.8000000000 10.8000000000 10.8000000000 10.8000000000
9202 11.2000000000 11.2000000000 11.2000000000 11.2000000000
10587 11.4000000000 11.4000000000 11.4000000000 11.4000000000
20838 11.6000000000 11.6000000000 11.6000000000 11.6000000000
100000 6.6000000000 11.6000000000 6.6000000000 11.6000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 5.8000000000 5.8000000000 5.8000000000 5.8000000000
2 7.6000000000 7.6000000000 7.6000000000 7.6000000000
7 7.8000000000 7.8000000000 7.8000000000 7.8000000000
10 9.4000000000 9.4000000000 9.4000000000 9.4000000000
81 9.6000000000 9.6000000000 9.6000000000 9.6000000000
678 9.8000000000 9.8000000000 9.8000000000 9.8000000000
689 10.0000000000 10.0000000000 10.0000000000 10.0000000000
1033 10.2000000000 10.2000000000 10.2000000000 10.2000000000
1972 11.0000000000 11.0000000000 11.0000000000 11.0000000000
4935 11.2000000000 11.2000000000 11.2000000000 11.2000000000
17109 11.4000000000 11.4000000000 11.4000000000 11.4000000000
100000 7.6000000000 11.4000000000 7.6000000000 11.4000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 6.6000000000 6.6000000000 6.6000000000 6.6000000000
3 7.4000000000 7.4000000000 7.4000000000 7.4000000000
7 7.4000000000 7.4000000000 7.4000000000 7.4000000000
9 8.6000000000 8.6000000000 8.6000000000 8.6000000000
14 9.0000000000 9.0000000000 9.0000000000 9.0000000000
27 10.0000000000 10.0000000000 10.0000000000 10.0000000000
734 10.8000000000 10.8000000000 10.8000000000 10.8000000000
1336 11.0000000000 11.0000000000 11.0000000000 11.0000000000
21728 11.0000000000 11.0000000000 11.0000000000 11.0000000000
27859 11.2000000000 11.2000000000 11.2000000000 11.2000000000
31884 11.8000000000 11.8000000000 11.8000000000 11.8000000000
35474 12.0000000000 12.0000000000 12.0000000000 12.0000000000
100000 7.2000000000 12.0000000000 7.2000000000 12.0000000000
