"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -0.5452894137 -0.5452894137 -0.5452894137 -0.5452894137
2 -0.4938174369 -0.4938174369 -0.4938174369 -0.4938174369
6 -0.4608532815 -0.4608532815 -0.4608532815 -0.4608532815
18 -0.4593025122 -0.4593025122 -0.4593025122 -0.4593025122
47 -0.4577167502 -0.4577167502 -0.4577167502 -0.4577167502
164 -0.4552021637 -0.4552021637 -0.4552021637 -0.4552021637
212 -0.4300418399 -0.4300418399 -0.4300418399 -0.4300418399
261 -0.4241921091 -0.4241921091 -0.4241921091 -0.4241921091
10881 -0.4143399127 -0.4143399127 -0.4143399127 -0.4143399127
36526 -0.4017509564 -0.4017509564 -0.4017509564 -0.4017509564
57083 -0.3934461978 -0.3934461978 -0.3934461978 -0.3934461978
100000 -0.5076928115 -0.3934461978 -0.5076928115 -0.3934461978
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -0.5178929298 -0.5178929298 -0.5178929298 -0.5178929298
2 -0.4776174945 -0.4776174945 -0.4776174945 -0.4776174945
5 -0.4560058693 -0.4560058693 -0.4560058693 -0.4560058693
57 -0.4555014104 -0.4555014104 -0.4555014104 -0.4555014104
105 -0.4491429547 -0.4491429547 -0.4491429547 -0.4491429547
139 -0.4392281742 -0.4392281742 -0.4392281742 -0.4392281742
2848 -0.4363705029 -0.4363705029 -0.4363705029 -0.4363705029
3386 -0.4309160854 -0.4309160854 -0.4309160854 -0.4309160854
6185 -0.4111560135 -0.4111560135 -0.4111560135 -0.4111560135
31710 -0.4025437534 -0.4025437534 -0.4025437534 -0.4025437534
100000 -0.5003442672 -0.4025437534 -0.5003442672 -0.4025437534
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -0.5659564684 -0.5659564684 -0.5659564684 -0.5659564684
2 -0.4625684024 -0.4625684024 -0.4625684024 -0.4625684024
4 -0.4522426281 -0.4522426281 -0.4522426281 -0.4522426281
118 -0.4300385199 -0.4300385199 -0.4300385199 -0.4300385199
132 -0.4282206718 -0.4282206718 -0.4282206718 -0.4282206718
10290 -0.4232558750 -0.4232558750 -0.4232558750 -0.4232558750
19321 -0.4208465801 -0.4208465801 -0.4208465801 -0.4208465801
30274 -0.4136237298 -0.4136237298 -0.4136237298 -0.4136237298
35375 -0.4023985837 -0.4023985837 -0.4023985837 -0.4023985837
100000 -0.4998143862 -0.4023985837 -0.4998143862 -0.4023985837
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -0.5262275836 -0.5262275836 -0.5262275836 -0.5262275836
2 -0.4595384924 -0.4595384924 -0.4595384924 -0.4595384924
17 -0.4519236341 -0.4519236341 -0.4519236341 -0.4519236341
83 -0.4413054919 -0.4413054919 -0.4413054919 -0.4413054919
225 -0.4400929478 -0.4400929478 -0.4400929478 -0.4400929478
830 -0.4335161688 -0.4335161688 -0.4335161688 -0.4335161688
1109 -0.4309950791 -0.4309950791 -0.4309950791 -0.4309950791
1504 -0.4302278877 -0.4302278877 -0.4302278877 -0.4302278877
3244 -0.4182046588 -0.4182046588 -0.4182046588 -0.4182046588
4944 -0.4145518584 -0.4145518584 -0.4145518584 -0.4145518584
11290 -0.4142202962 -0.4142202962 -0.4142202962 -0.4142202962
