"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3 4.0000000000 4.0000000000 4.0000000000 4.0000000000
30 5.0000000000 5.0000000000 5.0000000000 5.0000000000
228 6.0000000000 6.0000000000 6.0000000000 6.0000000000
282 7.0000000000 7.0000000000 7.0000000000 7.0000000000
294 10.0000000000 10.0000000000 10.0000000000 10.0000000000
1088 12.0000000000 12.0000000000 12.0000000000 12.0000000000
23872 14.0000000000 14.0000000000 14.0000000000 14.0000000000
62334 15.0000000000 15.0000000000 15.0000000000 15.0000000000
100000 0.0000000000 15.0000000000 0.0000000000 15.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1.0000000000 1.0000000000 1.0000000000 1.0000000000
6 2.0000000000 2.0000000000 2.0000000000 2.0000000000
8 3.0000000000 3.0000000000 3.0000000000 3.0000000000
11 6.0000000000 6.0000000000 6.0000000000 6.0000000000
35 7.0000000000 7.0000000000 7.0000000000 7.0000000000
62 8.0000000000 8.0000000000 8.0000000000 8.0000000000
522 10.0000000000 10.0000000000 10.0000000000 10.0000000000
1615 11.0000000000 11.0000000000 11.0000000000 11.0000000000
8877 12.0000000000 12.0000000000 12.0000000000 12.0000000000
67362 13.0000000000 13.0000000000 13.0000000000 13.0000000000
69751 14.0000000000 14.0000000000 14.0000000000 14.0000000000
100000 0.0000000000 14.0000000000 0.0000000000 14.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1.0000000000 1.0000000000 1.0000000000 1.0000000000
6 3.0000000000 3.0000000000 3.0000000000 3.0000000000
7 8.0000000000 8.0000000000 8.0000000000 8.0000000000
136 10.0000000000 10.0000000000 10.0000000000 10.0000000000
647 11.0000000000 11.0000000000 11.0000000000 11.0000000000
3871 12.0000000000 12.0000000000 12.0000000000 12.0000000000
8128 16.0000000000 16.0000000000 16.0000000000 16.0000000000
10325 17.0000000000 17.0000000000 17.0000000000 17.0000000000
100000 0.0000000000 17.0000000000 0.0000000000 17.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3 1.0000000000 1.0000000000 1.0000000000 1.0000000000
5 3.0000000000 3.0000000000 3.0000000000 3.0000000000
12 5.0000000000 5.0000000000 5.0000000000 5.0000000000
44 6.0000000000 6.0000000000 6.0000000000 6.0000000000
