"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 2892.0000000000 2892.0000000000 2892.0000000000 2892.0000000000
5 3059.0000000000 3059.0000000000 3059.0000000000 3059.0000000000
48 3366.0000000000 3366.0000000000 3366.0000000000 3366.0000000000
144 3503.0000000000 3503.0000000000 3503.0000000000 3503.0000000000
1075 3512.0000000000 3512.0000000000 3512.0000000000 3512.0000000000
4867 3523.0000000000 3523.0000000000 3523.0000000000 3523.0000000000
7404 3597.0000000000 3597.0000000000 3597.0000000000 3597.0000000000
31787 3788.0000000000 3788.0000000000 3788.0000000000 3788.0000000000
100000 2126.0000000000 3788.0000000000 2126.0000000000 3788.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1831.0000000000 1831.0000000000 1831.0000000000 1831.0000000000
2 3176.0000000000 3176.0000000000 3176.0000000000 3176.0000000000
61 3199.0000000000 3199.0000000000 3199.0000000000 3199.0000000000
71 3279.0000000000 3279.0000000000 3279.0000000000 3279.0000000000
166 3293.0000000000 3293.0000000000 3293.0000000000 3293.0000000000
273 3385.0000000000 3385.0000000000 3385.0000000000 3385.0000000000
3251 3466.0000000000 3466.0000000000 3466.0000000000 3466.0000000000
5774 3515.0000000000 3515.0000000000 3515.0000000000 3515.0000000000
15713 3606.0000000000 3606.0000000000 3606.0000000000 3606.0000000000
46937 3642.0000000000 3642.0000000000 3642.0000000000 3642.0000000000
48505 3730.0000000000 3730.0000000000 3730.0000000000 3730.0000000000
98217 3771.0000000000 3771.0000000000 3771.0000000000 3771.0000000000
100000 2275.0000000000 3771.0000000000 2275.0000000000 3771.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 2875.0000000000 2875.0000000000 2875.0000000000 2875.0000000000
12 2976.0000000000 2976.0000000000 2976.0000000000 2976.0000000000
16 2991.0000000000 2991.0000000000 2991.0000000000 2991.0000000000
21 3027.0000000000 3027.0000000000 3027.0000000000 3027.0000000000
95 3192.0000000000 3192.0000000000 3192.0000000000 3192.0000000000
339 3231.0000000000 3231.0000000000 3231.0000000000 3231.0000000000
393 3444.0000000000 3444.0000000000 3444.0000000000 3444.0000000000
797 3510.0000000000 3510.0000000000 3510.0000000000 3510.0000000000
1005 3517.0000000000 3517.0000000000 3517.0000000000 3517.0000000000
3071 3613.0000000000 3613.0000000000 3613.0000000000 3613.0000000000
27272 3617.0000000000 3617.0000000000 3617.0000000000 3617.0000000000
31818 3692.0000000000 3692.0000000000 3692.0000000000 3692.0000000000
50655 3715.0000000000 3715.0000000000 3715.0000000000 3715.0000000000
100000 2374.0000000000 3715.0000000000 2374.0000000000 3715.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 2389.0000000000 2389.0000000000 2389.0000000000 2389.0000000000
2 2864.0000000000 2864.0000000000 2864.0000000000 2864.0000000000
4 2971.0000000000 2971.0000000000 2971.0000000000 2971.0000000000
17 3024.0000000000 3024.0000000000 3024.0000000000 3024.0000000000
90 3074.0000000000 3074.0000000000 3074.0000000000 3074.0000000000
112 3165.0000000000 3165.0000000000 3165.0000000000 3165.0000000000
114 3249.0000000000 3249.0000000000 3249.0000000000 3249.0000000000
553 3353.0000000000 3353.0000000000 3353.0000000000 3353.0000000000
2018 3614.0000000000 3614.0000000000 3614.0000000000 3614.0000000000
7184 3617.0000000000 3617.0000000000 3617.0000000000 3617.0000000000
19336 3637.0000000000 3637.0000000000 3637.0000000000 3637.0000000000
24530 3680.0000000000 3680.0000000000 3680.0000000000 3680.0000000000
40711 3693.0000000000 3693.0000000000 3693.0000000000 3693.0000000000
53831 3735.0000000000 3735.0000000000 3735.0000000000 3735.0000000000
78597 3751.0000000000 3751.0000000000 3751.0000000000 3751.0000000000
100000 2226.0000000000 3751.0000000000 2226.0000000000 3751.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 2805.0000000000 2805.0000000000 2805.0000000000 2805.0000000000
2 2866.0000000000 2866.0000000000 2866.0000000000 2866.0000000000
7 2919.0000000000 2919.0000000000 2919.0000000000 2919.0000000000
9 3010.0000000000 3010.0000000000 3010.0000000000 3010.0000000000
40 3051.0000000000 3051.0000000000 3051.0000000000 3051.0000000000
64 3061.0000000000 3061.0000000000 3061.0000000000 3061.0000000000
80 3178.0000000000 3178.0000000000 3178.0000000000 3178.0000000000
178 3426.0000000000 3426.0000000000 3426.0000000000 3426.0000000000
3374 3519.0000000000 3519.0000000000 3519.0000000000 3519.0000000000
4911 3525.0000000000 3525.0000000000 3525.0000000000 3525.0000000000
5515 3580.0000000000 3580.0000000000 3580.0000000000 3580.0000000000
9630 3733.0000000000 3733.0000000000 3733.0000000000 3733.0000000000
100000 2674.0000000000 3733.0000000000 2674.0000000000 3733.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
