"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1.0597710894 1.0597710894 1.0597710894 1.0597710894
2 1.0940919037 1.0940919037 1.0940919037 1.0940919037
5 1.1731581417 1.1731581417 1.1731581417 1.1731581417
7 1.2569130216 1.2569130216 1.2569130216 1.2569130216
11 1.3137151865 1.3137151865 1.3137151865 1.3137151865
14 1.3819789939 1.3819789939 1.3819789939 1.3819789939
16 1.3835085778 1.3835085778 1.3835085778 1.3835085778
25 1.4005602241 1.4005602241 1.4005602241 1.4005602241
28 1.5913430936 1.5913430936 1.5913430936 1.5913430936
29 1.5974440895 1.5974440895 1.5974440895 1.5974440895
39 1.6414970453 1.6414970453 1.6414970453 1.6414970453
40 1.6567263088 1.6567263088 1.6567263088 1.6567263088
43 1.7869907076 1.7869907076 1.7869907076 1.7869907076
46 1.9762845850 1.9762845850 1.9762845850 1.9762845850
70 2.0177562550 2.0177562550 2.0177562550 2.0177562550
75 2.2381378693 2.2381378693 2.2381378693 2.2381378693
84 2.2421524664 2.2421524664 2.2421524664 2.2421524664
92 2.2542831380 2.2542831380 2.2542831380 2.2542831380
99 2.3430178069 2.3430178069 2.3430178069 2.3430178069
122 2.5799793602 2.5799793602 2.5799793602 2.5799793602
129 2.7203482046 2.7203482046 2.7203482046 2.7203482046
142 2.9585798817 2.9585798817 2.9585798817 2.9585798817
192 3.0229746070 3.0229746070 3.0229746070 3.0229746070
214 3.1685678074 3.1685678074 3.1685678074 3.1685678074
218 3.2425421530 3.2425421530 3.2425421530 3.2425421530
244 3.3200531208 3.3200531208 3.3200531208 3.3200531208
407 3.5161744023 3.5161744023 3.5161744023 3.5161744023
551 3.7369207773 3.7369207773 3.7369207773 3.7369207773
100001 3.0978934325 3.7369207773 3.0978934325 3.7369207773
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 0.9807767752 0.9807767752 0.9807767752 0.9807767752
2 1.0133765707 1.0133765707 1.0133765707 1.0133765707
3 1.0660980810 1.0660980810 1.0660980810 1.0660980810
4 1.0817827780 1.0817827780 1.0817827780 1.0817827780
