"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 42.0000000000 42.0000000000 42.0000000000 42.0000000000
3 43.0000000000 43.0000000000 43.0000000000 43.0000000000
4 44.0000000000 44.0000000000 44.0000000000 44.0000000000
6 45.0000000000 45.0000000000 45.0000000000 45.0000000000
8 46.0000000000 46.0000000000 46.0000000000 46.0000000000
9 47.0000000000 47.0000000000 47.0000000000 47.0000000000
11 48.0000000000 48.0000000000 48.0000000000 48.0000000000
14 49.0000000000 49.0000000000 49.0000000000 49.0000000000
19 50.0000000000 50.0000000000 50.0000000000 50.0000000000
21 51.0000000000 51.0000000000 51.0000000000 51.0000000000
22 52.0000000000 52.0000000000 52.0000000000 52.0000000000
23 53.0000000000 53.0000000000 53.0000000000 53.0000000000
25 54.0000000000 54.0000000000 54.0000000000 54.0000000000
27 55.0000000000 55.0000000000 55.0000000000 55.0000000000
31 56.0000000000 56.0000000000 56.0000000000 56.0000000000
32 57.0000000000 57.0000000000 57.0000000000 57.0000000000
33 58.0000000000 58.0000000000 58.0000000000 58.0000000000
35 59.0000000000 59.0000000000 59.0000000000 59.0000000000
36 60.0000000000 60.0000000000 60.0000000000 60.0000000000
40 61.0000000000 61.0000000000 61.0000000000 61.0000000000
41 62.0000000000 62.0000000000 62.0000000000 62.0000000000
43 63.0000000000 63.0000000000 63.0000000000 63.0000000000
45 64.0000000000 64.0000000000 64.0000000000 64.0000000000
46 65.0000000000 65.0000000000 65.0000000000 65.0000000000
49 66.0000000000 66.0000000000 66.0000000000 66.0000000000
50 67.0000000000 67.0000000000 67.0000000000 67.0000000000
53 68.0000000000 68.0000000000 68.0000000000 68.0000000000
61 69.0000000000 69.0000000000 69.0000000000 69.0000000000
62 70.0000000000 70.0000000000 70.0000000000 70.0000000000
67 71.0000000000 71.0000000000 71.0000000000 71.0000000000
69 72.0000000000 72.0000000000 72.0000000000 72.0000000000
74 73.0000000000 73.0000000000 73.0000000000 73.0000000000
80 74.0000000000 74.0000000000 74.0000000000 74.0000000000
82 75.0000000000 75.0000000000 75.0000000000 75.0000000000
87 76.0000000000 76.0000000000 76.0000000000 76.0000000000
89 77.0000000000 77.0000000000 77.0000000000 77.0000000000
99 78.0000000000 78.0000000000 78.0000000000 78.0000000000
106 79.0000000000 79.0000000000 79.0000000000 79.0000000000
113 80.0000000000 80.0000000000 80.0000000000 80.0000000000
115 81.0000000000 81.0000000000 81.0000000000 81.0000000000
118 82.0000000000 82.0000000000 82.0000000000 82.0000000000
125 83.0000000000 83.0000000000 83.0000000000 83.0000000000
133 84.0000000000 84.0000000000 84.0000000000 84.0000000000
139 85.0000000000 85.0000000000 85.0000000000 85.0000000000
157 86.0000000000 86.0000000000 86.0000000000 86.0000000000
160 87.0000000000 87.0000000000 87.0000000000 87.0000000000
181 88.0000000000 88.0000000000 88.0000000000 88.0000000000
190 89.0000000000 89.0000000000 89.0000000000 89.0000000000
193 90.0000000000 90.0000000000 90.0000000000 90.0000000000
195 91.0000000000 91.0000000000 91.0000000000 91.0000000000
209 92.0000000000 92.0000000000 92.0000000000 92.0000000000
212 93.0000000000 93.0000000000 93.0000000000 93.0000000000
214 94.0000000000 94.0000000000 94.0000000000 94.0000000000
231 95.0000000000 95.0000000000 95.0000000000 95.0000000000
234 96.0000000000 96.0000000000 96.0000000000 96.0000000000
246 97.0000000000 97.0000000000 97.0000000000 97.0000000000
335 98.0000000000 98.0000000000 98.0000000000 98.0000000000
348 99.0000000000 99.0000000000 99.0000000000 99.0000000000
402 100.0000000000 100.0000000000 100.0000000000 100.0000000000
100001 99.0000000000 100.0000000000 99.0000000000 100.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 46.0000000000 46.0000000000 46.0000000000 46.0000000000
2 47.0000000000 47.0000000000 47.0000000000 47.0000000000
3 48.0000000000 48.0000000000 48.0000000000 48.0000000000
5 49.0000000000 49.0000000000 49.0000000000 49.0000000000
6 50.0000000000 50.0000000000 50.0000000000 50.0000000000
7 51.0000000000 51.0000000000 51.0000000000 51.0000000000
8 52.0000000000 52.0000000000 52.0000000000 52.0000000000
9 53.0000000000 53.0000000000 53.0000000000 53.0000000000
10 54.0000000000 54.0000000000 54.0000000000 54.0000000000
11 55.0000000000 55.0000000000 55.0000000000 55.0000000000
15 56.0000000000 56.0000000000 56.0000000000 56.0000000000
17 57.0000000000 57.0000000000 57.0000000000 57.0000000000
18 58.0000000000 58.0000000000 58.0000000000 58.0000000000
19 59.0000000000 59.0000000000 59.0000000000 59.0000000000
20 60.0000000000 60.0000000000 60.0000000000 60.0000000000
