"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -1410.0000000000 -1410.0000000000 -1410.0000000000 -1410.0000000000
3 -1381.0000000000 -1381.0000000000 -1381.0000000000 -1381.0000000000
5 -1342.0000000000 -1342.0000000000 -1342.0000000000 -1342.0000000000
6 -1303.0000000000 -1303.0000000000 -1303.0000000000 -1303.0000000000
14 -1264.0000000000 -1264.0000000000 -1264.0000000000 -1264.0000000000
16 -1225.0000000000 -1225.0000000000 -1225.0000000000 -1225.0000000000
18 -1186.0000000000 -1186.0000000000 -1186.0000000000 -1186.0000000000
22 -1147.0000000000 -1147.0000000000 -1147.0000000000 -1147.0000000000
25 -1108.0000000000 -1108.0000000000 -1108.0000000000 -1108.0000000000
27 -1079.0000000000 -1079.0000000000 -1079.0000000000 -1079.0000000000
28 -1040.0000000000 -1040.0000000000 -1040.0000000000 -1040.0000000000
29 -1001.0000000000 -1001.0000000000 -1001.0000000000 -1001.0000000000
30 -962.0000000000 -962.0000000000 -962.0000000000 -962.0000000000
33 -923.0000000000 -923.0000000000 -923.0000000000 -923.0000000000
40 -884.0000000000 -884.0000000000 -884.0000000000 -884.0000000000
45 -845.0000000000 -845.0000000000 -845.0000000000 -845.0000000000
48 -806.0000000000 -806.0000000000 -806.0000000000 -806.0000000000
49 -777.0000000000 -777.0000000000 -777.0000000000 -777.0000000000
54 -738.0000000000 -738.0000000000 -738.0000000000 -738.0000000000
56 -699.0000000000 -699.0000000000 -699.0000000000 -699.0000000000
64 -660.0000000000 -660.0000000000 -660.0000000000 -660.0000000000
70 -631.0000000000 -631.0000000000 -631.0000000000 -631.0000000000
75 -602.0000000000 -602.0000000000 -602.0000000000 -602.0000000000
84 -573.0000000000 -573.0000000000 -573.0000000000 -573.0000000000
90 -534.0000000000 -534.0000000000 -534.0000000000 -534.0000000000
98 -505.0000000000 -505.0000000000 -505.0000000000 -505.0000000000
102 -466.0000000000 -466.0000000000 -466.0000000000 -466.0000000000
105 -437.0000000000 -437.0000000000 -437.0000000000 -437.0000000000
110 -408.0000000000 -408.0000000000 -408.0000000000 -408.0000000000
111 -389.0000000000 -389.0000000000 -389.0000000000 -389.0000000000
129 -360.0000000000 -360.0000000000 -360.0000000000 -360.0000000000
132 -321.0000000000 -321.0000000000 -321.0000000000 -321.0000000000
133 -292.0000000000 -292.0000000000 -292.0000000000 -292.0000000000
