"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 8.6000000000 8.6000000000 8.6000000000 8.6000000000
2 8.8000000000 8.8000000000 8.8000000000 8.8000000000
4 9.0000000000 9.0000000000 9.0000000000 9.0000000000
6 9.2000000000 9.2000000000 9.2000000000 9.2000000000
10 9.4000000000 9.4000000000 9.4000000000 9.4000000000
13 9.6000000000 9.6000000000 9.6000000000 9.6000000000
21 9.8000000000 9.8000000000 9.8000000000 9.8000000000
24 10.0000000000 10.0000000000 10.0000000000 10.0000000000
28 10.2000000000 10.2000000000 10.2000000000 10.2000000000
34 10.4000000000 10.4000000000 10.4000000000 10.4000000000
36 10.6000000000 10.6000000000 10.6000000000 10.6000000000
60 10.8000000000 10.8000000000 10.8000000000 10.8000000000
62 11.0000000000 11.0000000000 11.0000000000 11.0000000000
65 11.2000000000 11.2000000000 11.2000000000 11.2000000000
66 11.4000000000 11.4000000000 11.4000000000 11.4000000000
67 11.6000000000 11.6000000000 11.6000000000 11.6000000000
81 11.8000000000 11.8000000000 11.8000000000 11.8000000000
84 12.0000000000 12.0000000000 12.0000000000 12.0000000000
93 12.2000000000 12.2000000000 12.2000000000 12.2000000000
94 12.4000000000 12.4000000000 12.4000000000 12.4000000000
100 12.6000000000 12.6000000000 12.6000000000 12.6000000000
101 12.8000000000 12.8000000000 12.8000000000 12.8000000000
110 13.0000000000 13.0000000000 13.0000000000 13.0000000000
112 13.2000000000 13.2000000000 13.2000000000 13.2000000000
119 13.4000000000 13.4000000000 13.4000000000 13.4000000000
121 13.6000000000 13.6000000000 13.6000000000 13.6000000000
127 13.8000000000 13.8000000000 13.8000000000 13.8000000000
132 14.0000000000 14.0000000000 14.0000000000 14.0000000000
138 14.2000000000 14.2000000000 14.2000000000 14.2000000000
146 14.4000000000 14.4000000000 14.4000000000 14.4000000000
149 14.6000000000 14.6000000000 14.6000000000 14.6000000000
160 14.8000000000 14.8000000000 14.8000000000 14.8000000000
166 15.0000000000 15.0000000000 15.0000000000 15.0000000000
172 15.2000000000 15.2000000000 15.2000000000 15.2000000000
174 15.4000000000 15.4000000000 15.4000000000 15.4000000000
194 15.6000000000 15.6000000000 15.6000000000 15.6000000000
217 15.8000000000 15.8000000000 15.8000000000 15.8000000000
249 16.0000000000 16.0000000000 16.0000000000 16.0000000000
293 16.2000000000 16.2000000000 16.2000000000 16.2000000000
100001 16.0000000000 16.2000000000 16.0000000000 16.2000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 8.0000000000 8.0000000000 8.0000000000 8.0000000000
2 8.2000000000 8.2000000000 8.2000000000 8.2000000000
5 8.4000000000 8.4000000000 8.4000000000 8.4000000000
8 8.6000000000 8.6000000000 8.6000000000 8.6000000000
13 8.8000000000 8.8000000000 8.8000000000 8.8000000000
20 9.0000000000 9.0000000000 9.0000000000 9.0000000000
22 9.2000000000 9.2000000000 9.2000000000 9.2000000000
23 9.4000000000 9.4000000000 9.4000000000 9.4000000000
27 9.6000000000 9.6000000000 9.6000000000 9.6000000000
33 9.8000000000 9.8000000000 9.8000000000 9.8000000000
41 10.0000000000 10.0000000000 10.0000000000 10.0000000000
42 10.2000000000 10.2000000000 10.2000000000 10.2000000000
49 10.4000000000 10.4000000000 10.4000000000 10.4000000000
50 10.6000000000 10.6000000000 10.6000000000 10.6000000000
51 10.8000000000 10.8000000000 10.8000000000 10.8000000000
60 11.0000000000 11.0000000000 11.0000000000 11.0000000000
61 11.2000000000 11.2000000000 11.2000000000 11.2000000000
64 11.4000000000 11.4000000000 11.4000000000 11.4000000000
68 11.6000000000 11.6000000000 11.6000000000 11.6000000000
73 11.8000000000 11.8000000000 11.8000000000 11.8000000000
75 12.0000000000 12.0000000000 12.0000000000 12.0000000000
