"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -0.4835523412 -0.4835523412 -0.4835523412 -0.4835523412
2 -0.4826243463 -0.4826243463 -0.4826243463 -0.4826243463
4 -0.4802415233 -0.4802415233 -0.4802415233 -0.4802415233
5 -0.4740768615 -0.4740768615 -0.4740768615 -0.4740768615
7 -0.4659774304 -0.4659774304 -0.4659774304 -0.4659774304
9 -0.4592871160 -0.4592871160 -0.4592871160 -0.4592871160
12 -0.4569230287 -0.4569230287 -0.4569230287 -0.4569230287
13 -0.4545604078 -0.4545604078 -0.4545604078 -0.4545604078
15 -0.4527574554 -0.4527574554 -0.4527574554 -0.4527574554
17 -0.4428354945 -0.4428354945 -0.4428354945 -0.4428354945
18 -0.4410641155 -0.4410641155 -0.4410641155 -0.4410641155
22 -0.4406243863 -0.4406243863 -0.4406243863 -0.4406243863
24 -0.4332473689 -0.4332473689 -0.4332473689 -0.4332473689
31 -0.4312757179 -0.4312757179 -0.4312757179 -0.4312757179
32 -0.4288543349 -0.4288543349 -0.4288543349 -0.4288543349
34 -0.4260325696 -0.4260325696 -0.4260325696 -0.4260325696
37 -0.4163121328 -0.4163121328 -0.4163121328 -0.4163121328
41 -0.4159641757 -0.4159641757 -0.4159641757 -0.4159641757
43 -0.4143152425 -0.4143152425 -0.4143152425 -0.4143152425
52 -0.4140491026 -0.4140491026 -0.4140491026 -0.4140491026
54 -0.4095047701 -0.4095047701 -0.4095047701 -0.4095047701
61 -0.4071777926 -0.4071777926 -0.4071777926 -0.4071777926
70 -0.4066079087 -0.4066079087 -0.4066079087 -0.4066079087
73 -0.3958452436 -0.3958452436 -0.3958452436 -0.3958452436
74 -0.3950829458 -0.3950829458 -0.3950829458 -0.3950829458
75 -0.3924288158 -0.3924288158 -0.3924288158 -0.3924288158
79 -0.3918122335 -0.3918122335 -0.3918122335 -0.3918122335
87 -0.3870388460 -0.3870388460 -0.3870388460 -0.3870388460
90 -0.3771205475 -0.3771205475 -0.3771205475 -0.3771205475
93 -0.3731732402 -0.3731732402 -0.3731732402 -0.3731732402
97 -0.3723120040 -0.3723120040 -0.3723120040 -0.3723120040
106 -0.3564193997 -0.3564193997 -0.3564193997 -0.3564193997
151 -0.3555910881 -0.3555910881 -0.3555910881 -0.3555910881
155 -0.3506595895 -0.3506595895 -0.3506595895 -0.3506595895
159 -0.3461457019 -0.3461457019 -0.3461457019 -0.3461457019
161 -0.3430529948 -0.3430529948 -0.3430529948 -0.3430529948
166 -0.3407452444 -0.3407452444 -0.3407452444 -0.3407452444
192 -0.3318660500 -0.3318660500 -0.3318660500 -0.3318660500
194 -0.3285406926 -0.3285406926 -0.3285406926 -0.3285406926
209 -0.3284836297 -0.3284836297 -0.3284836297 -0.3284836297
228 -0.3205042943 -0.3205042943 -0.3205042943 -0.3205042943
258 -0.3099080806 -0.3099080806 -0.3099080806 -0.3099080806
304 -0.3091062396 -0.3091062396 -0.3091062396 -0.3091062396
100001 -0.3114139900 -0.3091062396 -0.3114139900 -0.3091062396
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -0.5113242784 -0.5113242784 -0.5113242784 -0.5113242784
3 -0.5093678150 -0.5093678150 -0.5093678150 -0.5093678150
6 -0.5021180061 -0.5021180061 -0.5021180061 -0.5021180061
7 -0.4977737855 -0.4977737855 -0.4977737855 -0.4977737855
16 -0.4969454739 -0.4969454739 -0.4969454739 -0.4969454739
22 -0.4949761328 -0.4949761328 -0.4949761328 -0.4949761328
23 -0.4876936503 -0.4876936503 -0.4876936503 -0.4876936503
31 -0.4801888967 -0.4801888967 -0.4801888967 -0.4801888967
32 -0.4778248093 -0.4778248093 -0.4778248093 -0.4778248093
34 -0.4773640106 -0.4773640106 -0.4773640106 -0.4773640106
43 -0.4755610582 -0.4755610582 -0.4755610582 -0.4755610582
47 -0.4706295596 -0.4706295596 -0.4706295596 -0.4706295596
49 -0.4665642948 -0.4665642948 -0.4665642948 -0.4665642948
50 -0.4634715876 -0.4634715876 -0.4634715876 -0.4634715876
51 -0.4560428510 -0.4560428510 -0.4560428510 -0.4560428510
52 -0.4536802301 -0.4536802301 -0.4536802301 -0.4536802301
60 -0.4502399409 -0.4502399409 -0.4502399409 -0.4502399409
61 -0.4495438901 -0.4495438901 -0.4495438901 -0.4495438901
65 -0.4481640970 -0.4481640970 -0.4481640970 -0.4481640970
67 -0.4384436602 -0.4384436602 -0.4384436602 -0.4384436602
70 -0.4302713821 -0.4302713821 -0.4302713821 -0.4302713821
72 -0.4252489998 -0.4252489998 -0.4252489998 -0.4252489998
82 -0.4242448675 -0.4242448675 -0.4242448675 -0.4242448675
83 -0.4140677529 -0.4140677529 -0.4140677529 -0.4140677529
88 -0.4090697125 -0.4090697125 -0.4090697125 -0.4090697125
91 -0.4026920691 -0.4026920691 -0.4026920691 -0.4026920691
93 -0.3983268834 -0.3983268834 -0.3983268834 -0.3983268834
94 -0.3950766626 -0.3950766626 -0.3950766626 -0.3950766626
106 -0.3944600803 -0.3944600803 -0.3944600803 -0.3944600803
