"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 0.0000000000 0.0000000000 0.0000000000 0.0000000000
125 1.0000000000 1.0000000000 1.0000000000 1.0000000000
209 3.0000000000 3.0000000000 3.0000000000 3.0000000000
276 8.0000000000 8.0000000000 8.0000000000 8.0000000000
476 11.0000000000 11.0000000000 11.0000000000 11.0000000000
619 13.0000000000 13.0000000000 13.0000000000 13.0000000000
791 16.0000000000 16.0000000000 16.0000000000 16.0000000000
892 18.0000000000 18.0000000000 18.0000000000 18.0000000000
958 19.0000000000 19.0000000000 19.0000000000 19.0000000000
1009 20.0000000000 20.0000000000 20.0000000000 20.0000000000
1081 22.0000000000 22.0000000000 22.0000000000 22.0000000000
1118 30.0000000000 30.0000000000 30.0000000000 30.0000000000
1197 31.0000000000 31.0000000000 31.0000000000 31.0000000000
1256 32.0000000000 32.0000000000 32.0000000000 32.0000000000
1529 33.0000000000 33.0000000000 33.0000000000 33.0000000000
1630 34.0000000000 34.0000000000 34.0000000000 34.0000000000
1646 36.0000000000 36.0000000000 36.0000000000 36.0000000000
1656 38.0000000000 38.0000000000 38.0000000000 38.0000000000
1796 39.0000000000 39.0000000000 39.0000000000 39.0000000000
1851 40.0000000000 40.0000000000 40.0000000000 40.0000000000
1869 41.0000000000 41.0000000000 41.0000000000 41.0000000000
1883 42.0000000000 42.0000000000 42.0000000000 42.0000000000
2408 43.0000000000 43.0000000000 43.0000000000 43.0000000000
2437 44.0000000000 44.0000000000 44.0000000000 44.0000000000
2702 45.0000000000 45.0000000000 45.0000000000 45.0000000000
2729 46.0000000000 46.0000000000 46.0000000000 46.0000000000
2769 48.0000000000 48.0000000000 48.0000000000 48.0000000000
2775 49.0000000000 49.0000000000 49.0000000000 49.0000000000
2981 51.0000000000 51.0000000000 51.0000000000 51.0000000000
3045 54.0000000000 54.0000000000 54.0000000000 54.0000000000
3261 57.0000000000 57.0000000000 57.0000000000 57.0000000000
3365 61.0000000000 61.0000000000 61.0000000000 61.0000000000
3384 63.0000000000 63.0000000000 63.0000000000 63.0000000000
3633 64.0000000000 64.0000000000 64.0000000000 64.0000000000
3657 65.0000000000 65.0000000000 65.0000000000 65.0000000000
3672 68.0000000000 68.0000000000 68.0000000000 68.0000000000
3737 70.0000000000 70.0000000000 70.0000000000 70.0000000000
3820 73.0000000000 73.0000000000 73.0000000000 73.0000000000
3887 75.0000000000 75.0000000000 75.0000000000 75.0000000000
3897 76.0000000000 76.0000000000 76.0000000000 76.0000000000
4024 77.0000000000 77.0000000000 77.0000000000 77.0000000000
4062 78.0000000000 78.0000000000 78.0000000000 78.0000000000
4081 79.0000000000 79.0000000000 79.0000000000 79.0000000000
4261 80.0000000000 80.0000000000 80.0000000000 80.0000000000
4278 81.0000000000 81.0000000000 81.0000000000 81.0000000000
4625 83.0000000000 83.0000000000 83.0000000000 83.0000000000
4709 85.0000000000 85.0000000000 85.0000000000 85.0000000000
4821 88.0000000000 88.0000000000 88.0000000000 88.0000000000
5068 90.0000000000 90.0000000000 90.0000000000 90.0000000000
5134 93.0000000000 93.0000000000 93.0000000000 93.0000000000
5143 94.0000000000 94.0000000000 94.0000000000 94.0000000000
5146 95.0000000000 95.0000000000 95.0000000000 95.0000000000
5151 96.0000000000 96.0000000000 96.0000000000 96.0000000000
5160 97.0000000000 97.0000000000 97.0000000000 97.0000000000
5195 98.0000000000 98.0000000000 98.0000000000 98.0000000000
5196 99.0000000000 99.0000000000 99.0000000000 99.0000000000
5244 100.0000000000 100.0000000000 100.0000000000 100.0000000000
100001 56.0000000000 100.0000000000 56.0000000000 100.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 0.0000000000 0.0000000000 0.0000000000 0.0000000000
86 2.0000000000 2.0000000000 2.0000000000 2.0000000000
109 3.0000000000 3.0000000000 3.0000000000 3.0000000000
195 6.0000000000 6.0000000000 6.0000000000 6.0000000000
250 9.0000000000 9.0000000000 9.0000000000 9.0000000000
286 10.0000000000 10.0000000000 10.0000000000 10.0000000000
430 12.0000000000 12.0000000000 12.0000000000 12.0000000000
501 13.0000000000 13.0000000000 13.0000000000 13.0000000000
748 15.0000000000 15.0000000000 15.0000000000 15.0000000000
795 17.0000000000 17.0000000000 17.0000000000 17.0000000000
1184 18.0000000000 18.0000000000 18.0000000000 18.0000000000
1224 20.0000000000 20.0000000000 20.0000000000 20.0000000000
1231 22.0000000000 22.0000000000 22.0000000000 22.0000000000
1340 23.0000000000 23.0000000000 23.0000000000 23.0000000000
1406 24.0000000000 24.0000000000 24.0000000000 24.0000000000
1454 26.0000000000 26.0000000000 26.0000000000 26.0000000000
1539 27.0000000000 27.0000000000 27.0000000000 27.0000000000
1776 28.0000000000 28.0000000000 28.0000000000 28.0000000000
1897 30.0000000000 30.0000000000 30.0000000000 30.0000000000
2119 34.0000000000 34.0000000000 34.0000000000 34.0000000000
2177 36.0000000000 36.0000000000 36.0000000000 36.0000000000
2209 37.0000000000 37.0000000000 37.0000000000 37.0000000000
2358 40.0000000000 40.0000000000 40.0000000000 40.0000000000
2377 41.0000000000 41.0000000000 41.0000000000 41.0000000000
2390 42.0000000000 42.0000000000 42.0000000000 42.0000000000
2644 43.0000000000 43.0000000000 43.0000000000 43.0000000000
2833 44.0000000000 44.0000000000 44.0000000000 44.0000000000
2840 47.0000000000 47.0000000000 47.0000000000 47.0000000000
2883 48.0000000000 48.0000000000 48.0000000000 48.0000000000
2978 53.0000000000 53.0000000000 53.0000000000 53.0000000000
3000 54.0000000000 54.0000000000 54.0000000000 54.0000000000
3018 55.0000000000 55.0000000000 55.0000000000 55.0000000000
3048 57.0000000000 57.0000000000 57.0000000000 57.0000000000
3153 58.0000000000 58.0000000000 58.0000000000 58.0000000000
3251 60.0000000000 60.0000000000 60.0000000000 60.0000000000
3370 62.0000000000 62.0000000000 62.0000000000 62.0000000000
3381 63.0000000000 63.0000000000 63.0000000000 63.0000000000
3946 65.0000000000 65.0000000000 65.0000000000 65.0000000000
4106 66.0000000000 66.0000000000 66.0000000000 66.0000000000
4370 69.0000000000 69.0000000000 69.0000000000 69.0000000000
4453 70.0000000000 70.0000000000 70.0000000000 70.0000000000
4624 71.0000000000 71.0000000000 71.0000000000 71.0000000000
4826 72.0000000000 72.0000000000 72.0000000000 72.0000000000
4847 73.0000000000 73.0000000000 73.0000000000 73.0000000000
4898 76.0000000000 76.0000000000 76.0000000000 76.0000000000
4901 77.0000000000 77.0000000000 77.0000000000 77.0000000000
4918 78.0000000000 78.0000000000 78.0000000000 78.0000000000
5127 80.0000000000 80.0000000000 80.0000000000 80.0000000000
5149 81.0000000000 81.0000000000 81.0000000000 81.0000000000
5191 82.0000000000 82.0000000000 82.0000000000 82.0000000000
5450 86.0000000000 86.0000000000 86.0000000000 86.0000000000
5477 88.0000000000 88.0000000000 88.0000000000 88.0000000000
5479 90.0000000000 90.0000000000 90.0000000000 90.0000000000
5546 91.0000000000 91.0000000000 91.0000000000 91.0000000000
5556 92.0000000000 92.0000000000 92.0000000000 92.0000000000
5574 95.0000000000 95.0000000000 95.0000000000 95.0000000000
5904 98.0000000000 98.0000000000 98.0000000000 98.0000000000
6082 100.0000000000 100.0000000000 100.0000000000 100.0000000000
100001 5.0000000000 100.0000000000 5.0000000000 100.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
