"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 2673.0000000000 2673.0000000000 2673.0000000000 2673.0000000000
2 2735.0000000000 2735.0000000000 2735.0000000000 2735.0000000000
6 2815.0000000000 2815.0000000000 2815.0000000000 2815.0000000000
7 2853.0000000000 2853.0000000000 2853.0000000000 2853.0000000000
8 2936.0000000000 2936.0000000000 2936.0000000000 2936.0000000000
9 2951.0000000000 2951.0000000000 2951.0000000000 2951.0000000000
11 2963.0000000000 2963.0000000000 2963.0000000000 2963.0000000000
12 2993.0000000000 2993.0000000000 2993.0000000000 2993.0000000000
14 3075.0000000000 3075.0000000000 3075.0000000000 3075.0000000000
19 3152.0000000000 3152.0000000000 3152.0000000000 3152.0000000000
23 3208.0000000000 3208.0000000000 3208.0000000000 3208.0000000000
27 3210.0000000000 3210.0000000000 3210.0000000000 3210.0000000000
28 3264.0000000000 3264.0000000000 3264.0000000000 3264.0000000000
29 3269.0000000000 3269.0000000000 3269.0000000000 3269.0000000000
36 3305.0000000000 3305.0000000000 3305.0000000000 3305.0000000000
42 3328.0000000000 3328.0000000000 3328.0000000000 3328.0000000000
44 3363.0000000000 3363.0000000000 3363.0000000000 3363.0000000000
47 3366.0000000000 3366.0000000000 3366.0000000000 3366.0000000000
49 3374.0000000000 3374.0000000000 3374.0000000000 3374.0000000000
50 3424.0000000000 3424.0000000000 3424.0000000000 3424.0000000000
54 3461.0000000000 3461.0000000000 3461.0000000000 3461.0000000000
57 3558.0000000000 3558.0000000000 3558.0000000000 3558.0000000000
66 3656.0000000000 3656.0000000000 3656.0000000000 3656.0000000000
67 3749.0000000000 3749.0000000000 3749.0000000000 3749.0000000000
68 3835.0000000000 3835.0000000000 3835.0000000000 3835.0000000000
71 3868.0000000000 3868.0000000000 3868.0000000000 3868.0000000000
79 3884.0000000000 3884.0000000000 3884.0000000000 3884.0000000000
86 3913.0000000000 3913.0000000000 3913.0000000000 3913.0000000000
87 4007.0000000000 4007.0000000000 4007.0000000000 4007.0000000000
94 4011.0000000000 4011.0000000000 4011.0000000000 4011.0000000000
106 4071.0000000000 4071.0000000000 4071.0000000000 4071.0000000000
108 4130.0000000000 4130.0000000000 4130.0000000000 4130.0000000000
110 4162.0000000000 4162.0000000000 4162.0000000000 4162.0000000000
114 4176.0000000000 4176.0000000000 4176.0000000000 4176.0000000000
116 4251.0000000000 4251.0000000000 4251.0000000000 4251.0000000000
118 4282.0000000000 4282.0000000000 4282.0000000000 4282.0000000000
132 4353.0000000000 4353.0000000000 4353.0000000000 4353.0000000000
138 4366.0000000000 4366.0000000000 4366.0000000000 4366.0000000000
144 4454.0000000000 4454.0000000000 4454.0000000000 4454.0000000000
148 4530.0000000000 4530.0000000000 4530.0000000000 4530.0000000000
151 4585.0000000000 4585.0000000000 4585.0000000000 4585.0000000000
156 4659.0000000000 4659.0000000000 4659.0000000000 4659.0000000000
198 4685.0000000000 4685.0000000000 4685.0000000000 4685.0000000000
207 4774.0000000000 4774.0000000000 4774.0000000000 4774.0000000000
