evaluations raw_y
1 0.8226390260
2 0.9815469179
4 1.0679196924
5 1.1195700851
6 1.1358473421
7 1.4310246136
16 1.6857720836
106 1.7895490336
434 1.9485580670
1283 2.0048115477
1753 2.0374898126
8448 2.0781379884
36498 2.1132713440
37687 2.1949078139
66394 2.2026431718
86537 2.2421524664
100000 0.5767012687
evaluations raw_y
1 1.2321340562
4 1.5772870662
58 1.6926201760
292 1.7277125086
620 1.7445917655
674 1.7946877243
741 1.7998560115
775 1.8102824041
2377 1.8155410312
3107 1.8615040953
3400 1.8953752843
3588 1.9794140934
4975 2.1533161068
42077 2.2502250225
100000 0.9769441188
evaluations raw_y
1 1.1944577162
6 1.2285012285
10 1.5365703749
20 1.5595757954
25 1.5954052329
80 1.6949152542
167 1.7277125086
219 2.3169601483
75329 2.4777006938
100000 1.0969723563
evaluations raw_y
1 1.1515430677
7 1.1720581341
8 1.4560279557
30 1.6286644951
51 1.6371971185
71 1.6589250166
213 1.6655562958
331 1.7301038062
1367 1.8504811251
2434 1.9825535289
3858 2.0610057708
9475 2.3386342376
100000 0.9516558812
evaluations raw_y
1 0.9619084263
3 1.1410314925
7 1.1809163911
14 1.3137151865
17 1.4052838673
38 1.9334880124
2662 1.9794140934
3825 2.0177562550
5035 2.0781379884
6655 2.1204410517
18435 2.1872265967
22573 2.2065313327
99712 2.3741690408
100000 1.0827197921
evaluations raw_y
1 0.8397715821
3 0.8541168432
4 1.0412328197
9 1.2165450122
14 1.3027618551
16 1.3095861708
24 1.3448090371
29 1.4560279557
30 1.5852885225
136 1.6458196182
312 1.7229496899
439 1.8050541516
549 1.8811136193
565 1.9607843137
5217 1.9638648861
9889 2.0016012810
11568 2.0885547201
18406 2.1645021645
22035 2.2665457842
33214 2.3741690408
100000 1.1205737338
evaluations raw_y
1 0.9509319133
2 0.9996001599
3 1.2879958784
8 1.6329196604
108 1.6700066800
109 1.7229496899
206 1.7349063151
610 1.7869907076
653 1.8234865062
711 2.0177562550
2809 2.0576131687
4463 2.1570319241
42470 2.2624434389
100000 1.2696800406
evaluations raw_y
1 1.2357884330
13 1.4409221902
42 1.4628437683
100 1.6056518947
287 1.6393442623
342 1.6523463318
398 1.6633399867
467 1.7205781142
995 1.8155410312
2708 1.8670649739
3296 1.9425019425
5306 1.9888623707
6259 2.0048115477
6629 2.0408163265
8596 2.0644095789
9280 2.1168501270
21866 2.1758050479
66328 2.3877745941
100000 1.0326311442
evaluations raw_y
1 1.1076650421
2 1.1337868481
3 1.2827090816
11 1.3234515617
12 1.4475969890
78 1.7667844523
472 1.8395879323
688 1.8754688672
728 1.9516003123
7449 2.0920502092
10528 2.2261798753
13193 2.3299161230
100000 0.8297378029
evaluations raw_y
1 0.8454514711
2 0.9269558769
4 1.1956001913
5 1.2444001991
11 1.5271838729
43 1.6139444803
103 1.7921146953
240 1.9485580670
1937 2.1168501270
19800 2.4630541872
100000 1.0651896037
