evaluations raw_y
1 51.0000000000
2 57.0000000000
4 58.0000000000
9 59.0000000000
88 64.0000000000
871 66.0000000000
2793 67.0000000000
24104 69.0000000000
86727 70.0000000000
100000 48.0000000000
evaluations raw_y
1 52.0000000000
4 58.0000000000
7 59.0000000000
45 61.0000000000
98 65.0000000000
376 66.0000000000
13922 68.0000000000
37819 69.0000000000
44039 70.0000000000
100000 48.0000000000
evaluations raw_y
1 48.0000000000
2 52.0000000000
3 55.0000000000
4 57.0000000000
29 58.0000000000
51 61.0000000000
170 64.0000000000
496 65.0000000000
1190 66.0000000000
3063 68.0000000000
11840 71.0000000000
100000 51.0000000000
evaluations raw_y
1 49.0000000000
3 52.0000000000
4 61.0000000000
86 63.0000000000
495 65.0000000000
2930 66.0000000000
4495 68.0000000000
12131 69.0000000000
30002 70.0000000000
52130 71.0000000000
100000 53.0000000000
evaluations raw_y
1 55.0000000000
13 59.0000000000
22 67.0000000000
1366 68.0000000000
5839 70.0000000000
68152 71.0000000000
100000 49.0000000000
evaluations raw_y
1 56.0000000000
69 57.0000000000
72 58.0000000000
78 60.0000000000
98 65.0000000000
545 66.0000000000
2527 72.0000000000
100000 44.0000000000
evaluations raw_y
1 51.0000000000
3 59.0000000000
57 61.0000000000
801 62.0000000000
1365 64.0000000000
1588 65.0000000000
2535 66.0000000000
3754 67.0000000000
9946 68.0000000000
15218 71.0000000000
100000 52.0000000000
evaluations raw_y
1 43.0000000000
3 52.0000000000
6 54.0000000000
8 58.0000000000
53 61.0000000000
67 62.0000000000
186 64.0000000000
249 66.0000000000
1408 67.0000000000
3741 69.0000000000
91334 73.0000000000
100000 44.0000000000
evaluations raw_y
1 58.0000000000
7 59.0000000000
44 60.0000000000
69 62.0000000000
246 66.0000000000
649 67.0000000000
2500 68.0000000000
27870 69.0000000000
60347 71.0000000000
100000 47.0000000000
evaluations raw_y
1 51.0000000000
4 54.0000000000
11 64.0000000000
1210 65.0000000000
6467 68.0000000000
17298 69.0000000000
33570 71.0000000000
100000 56.0000000000
