evaluations raw_y
1 -1439.0000000000
2 -1176.0000000000
3 -1079.0000000000
31 -1059.0000000000
124 -1010.0000000000
203 -981.0000000000
307 -943.0000000000
421 -807.0000000000
743 -709.0000000000
39336 -690.0000000000
44118 -680.0000000000
97669 -583.0000000000
100000 -1235.0000000000
evaluations raw_y
1 -1342.0000000000
6 -1205.0000000000
11 -1089.0000000000
21 -1059.0000000000
32 -884.0000000000
1189 -738.0000000000
17004 -699.0000000000
30329 -680.0000000000
52759 -631.0000000000
100000 -1478.0000000000
evaluations raw_y
1 -1293.0000000000
4 -1245.0000000000
5 -1215.0000000000
8 -1098.0000000000
18 -1030.0000000000
111 -1021.0000000000
150 -797.0000000000
1122 -729.0000000000
3286 -669.0000000000
21395 -642.0000000000
100000 -1313.0000000000
evaluations raw_y
1 -1440.0000000000
2 -1264.0000000000
25 -1128.0000000000
49 -1030.0000000000
58 -972.0000000000
95 -904.0000000000
402 -894.0000000000
1758 -845.0000000000
2245 -758.0000000000
9326 -737.0000000000
35200 -670.0000000000
37512 -660.0000000000
96144 -650.0000000000
100000 -1088.0000000000
evaluations raw_y
1 -1702.0000000000
2 -1313.0000000000
7 -1176.0000000000
23 -1137.0000000000
26 -1098.0000000000
87 -1089.0000000000
106 -982.0000000000
178 -942.0000000000
1174 -933.0000000000
1477 -923.0000000000
1577 -913.0000000000
1882 -884.0000000000
2782 -875.0000000000
3607 -855.0000000000
4488 -845.0000000000
6772 -836.0000000000
7031 -758.0000000000
8963 -728.0000000000
50293 -679.0000000000
100000 -1224.0000000000
evaluations raw_y
1 -1303.0000000000
4 -1293.0000000000
11 -1215.0000000000
20 -1098.0000000000
82 -1079.0000000000
274 -1040.0000000000
295 -1021.0000000000
299 -884.0000000000
535 -874.0000000000
1475 -758.0000000000
1551 -709.0000000000
17925 -670.0000000000
96388 -661.0000000000
100000 -1313.0000000000
evaluations raw_y
1 -1439.0000000000
3 -1030.0000000000
123 -1001.0000000000
132 -1000.0000000000
291 -923.0000000000
298 -846.0000000000
1858 -757.0000000000
4687 -739.0000000000
32460 -670.0000000000
77413 -640.0000000000
100000 -1790.0000000000
evaluations raw_y
1 -1235.0000000000
3 -1147.0000000000
34 -1079.0000000000
95 -1030.0000000000
136 -972.0000000000
217 -874.0000000000
267 -855.0000000000
938 -777.0000000000
12809 -738.0000000000
28719 -729.0000000000
29125 -728.0000000000
36733 -719.0000000000
42605 -680.0000000000
43331 -661.0000000000
77646 -631.0000000000
100000 -1302.0000000000
evaluations raw_y
1 -1478.0000000000
2 -1186.0000000000
13 -1166.0000000000
28 -1118.0000000000
37 -1079.0000000000
50 -972.0000000000
58 -962.0000000000
124 -952.0000000000
210 -894.0000000000
889 -797.0000000000
3829 -738.0000000000
14805 -631.0000000000
100000 -1157.0000000000
evaluations raw_y
1 -1351.0000000000
3 -1196.0000000000
5 -1079.0000000000
50 -1030.0000000000
189 -991.0000000000
215 -952.0000000000
800 -903.0000000000
910 -856.0000000000
1932 -826.0000000000
2067 -817.0000000000
4196 -631.0000000000
100000 -1312.0000000000
